system,n_planets,n_swept,f_crit,disposition,reason,edge_on_survival,m95_factor
24 Sex,2,2,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 116029,2,2,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 127195,2,2,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 128311,2,1,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 133131 A,2,2,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 1461,2,2,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 153557,3,2,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 155358,2,2,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 160691,4,1,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 176986,3,1,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 200964,2,2,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 203387,2,1,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 204313,3,1,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 20794,4,2,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 33844,2,2,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 34445,6,6,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 37124,3,3,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 40307,5,2,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
gam Lib,2,2,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
TIC 279401253,2,1,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
NY Vir,2,1,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
Kepler-100,4,1,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
K2-157,3,2,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1); P_inner < 1.5 d,,
HIP 97166,2,1,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 114386,2,1,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HIP 54373,2,2,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 93385,3,3,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 81817,2,1,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 73526,2,2,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 5319,2,2,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 47366,2,2,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 45364,2,2,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 99706,2,2,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
HD 113538,2,2,1.0,excluded,resonance-protected / at stability limit (f_crit ~ 1),,
