system,planet,msini_mjup,msini_mearth,m95_factor,mass_95_mjup,mass_95_mearth,ceiling_factor,inc_floor_deg,tightened
TYC 1422-614-1,TYC 1422-614-1 b,2.5,794.5,2.01,5.035,1600,3.07,19.0,True
TYC 1422-614-1,TYC 1422-614-1 c,10,3178,2.01,20.14,6400,3.07,19.0,True
Barnard's star,Barnard b,0.0009408,0.299,2.18,0.00205,0.6515,1.22,55.0,True
Barnard's star,Barnard c,0.001054,0.335,2.18,0.002297,0.73,1.22,55.0,True
Barnard's star,Barnard d,0.0008275,0.263,2.18,0.001803,0.5731,1.22,55.0,True
Barnard's star,Barnard e,0.0006073,0.193,2.18,0.001323,0.4206,1.22,55.0,True
HD 95089,HD 95089 b,1.26,400.4,2.31,2.904,923,3.07,19.0,True
HD 95089,HD 95089 c,3.45,1096,2.31,7.953,2527,3.07,19.0,True
HIP 111909,HIP 111909 b,1.21,384.5,2.33,2.823,897.2,4.28,13.5,True
HIP 111909,HIP 111909 c,0.81,257.4,2.33,1.89,600.6,4.28,13.5,True
47 UMa,47 UMa b,2.53,804,2.35,5.947,1890,3.63,16.0,True
47 UMa,47 UMa c,0.54,171.6,2.35,1.269,403.4,3.63,16.0,True
47 UMa,47 UMa d,1.64,521.2,2.35,3.855,1225,3.63,16.0,True
HD 147873,HD 147873 b,5.14,1633,2.42,12.46,3961,4.28,13.5,True
HD 147873,HD 147873 c,2.3,730.9,2.42,5.577,1772,4.28,13.5,True
HD 184010,HD 184010 b,0.31,98.52,2.42,0.7497,238.2,4.28,13.5,True
HD 184010,HD 184010 c,0.3,95.34,2.42,0.7255,230.6,4.28,13.5,True
HD 184010,HD 184010 d,0.45,143,2.42,1.088,345.8,4.28,13.5,True
HIP 65407,HIP 65407 b,0.428,136,2.49,1.064,338.1,4.28,13.5,True
HIP 65407,HIP 65407 c,0.784,249.2,2.49,1.949,619.3,4.28,13.5,True
HD 28471,HD 28471 b,0.0117,3.72,2.58,0.03023,9.607,5.76,10.0,True
HD 28471,HD 28471 c,0.018,5.719,2.58,0.04648,14.77,5.76,10.0,True
HD 28471,HD 28471 d,0.01545,4.91,2.58,0.0399,12.68,5.76,10.0,True
HD 96700,HD 96700 b,0.028,8.899,2.61,0.073,23.2,4.28,13.5,True
HD 96700,HD 96700 c,0.01101,3.5,2.61,0.02871,9.123,4.28,13.5,True
HD 96700,HD 96700 d,0.03996,12.7,2.61,0.1042,33.1,4.28,13.5,True
GJ 229,GJ 229 A c,0.027,8.581,2.68,0.07223,22.95,,,True
GJ 229,GJ 229 b,0.047,14.94,2.68,0.1257,39.96,,,True
GJ 887,GJ 887 b,0.01227,3.9,2.68,0.03283,10.43,9.57,6.0,True
GJ 887,GJ 887 c,0.02045,6.499,2.68,0.05471,17.39,9.57,6.0,True
GJ 887,GJ 887 d,0.01919,6.099,2.68,0.05134,16.32,9.57,6.0,True
GJ 887,GJ 887 e,0.004594,1.46,2.68,0.01229,3.905,9.57,6.0,True
HD 141399,HD 141399 b,0.451,143.3,2.71,1.223,388.6,6.77,8.5,True
HD 141399,HD 141399 c,1.33,422.7,2.71,3.606,1146,6.77,8.5,True
HD 141399,HD 141399 d,1.18,375,2.71,3.199,1017,6.77,8.5,True
HD 141399,HD 141399 e,0.66,209.7,2.71,1.789,568.7,6.77,8.5,True
HD 94890,HD 94890 b,2.13,676.9,2.71,5.775,1835,6.77,8.5,True
HD 94890,HD 94890 c,8.91,2832,2.71,24.16,7677,6.77,8.5,True
YZ Cet,YZ Cet b,0.002202,0.6999,2.72,0.005992,1.904,5.76,10.0,True
YZ Cet,YZ Cet c,0.003587,1.14,2.72,0.009759,3.101,5.76,10.0,True
YZ Cet,YZ Cet d,0.00343,1.09,2.72,0.009331,2.965,5.76,10.0,True
HD 33142,HD 33142 b,1.26,400.4,2.73,3.44,1093,4.28,13.5,True
HD 33142,HD 33142 c,0.89,282.8,2.73,2.43,772.2,4.28,13.5,True
