system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
47 UMa,90.0,1.0,0,True,100000.07232800664,survived
47 UMa,90.0,1.0,1,True,100000.07232800664,survived
47 UMa,90.0,1.0,2,True,100000.07232800664,survived
47 UMa,90.0,1.0,3,True,100000.07232800664,survived
47 UMa,90.0,1.0,4,True,100000.07232800664,survived
47 UMa,70.0,1.0641777724759123,0,True,100000.07232800664,survived
47 UMa,70.0,1.0641777724759123,1,True,100000.07232800664,survived
47 UMa,70.0,1.0641777724759123,2,True,100000.07232800664,survived
47 UMa,70.0,1.0641777724759123,3,True,100000.07232800664,survived
47 UMa,70.0,1.0641777724759123,4,True,100000.07232800664,survived
47 UMa,55.0,1.220774588761456,0,True,100000.07232800664,survived
47 UMa,55.0,1.220774588761456,1,True,100000.07232800664,survived
47 UMa,55.0,1.220774588761456,2,True,100000.07232800664,survived
47 UMa,55.0,1.220774588761456,3,True,100000.07232800664,survived
47 UMa,55.0,1.220774588761456,4,True,100000.07232800664,survived
47 UMa,40.0,1.5557238268604126,0,True,100000.07232800664,survived
47 UMa,40.0,1.5557238268604126,1,True,100000.07232800664,survived
47 UMa,40.0,1.5557238268604126,2,True,100000.07232800664,survived
47 UMa,40.0,1.5557238268604126,3,True,100000.07232800664,survived
47 UMa,40.0,1.5557238268604126,4,True,100000.07232800664,survived
47 UMa,30.0,2.0000000000000004,0,True,100000.07232800664,survived
47 UMa,30.0,2.0000000000000004,1,True,100000.07232800664,survived
47 UMa,30.0,2.0000000000000004,2,True,100000.07232800664,survived
47 UMa,30.0,2.0000000000000004,3,True,100000.07232800664,survived
47 UMa,30.0,2.0000000000000004,4,True,100000.07232800664,survived
47 UMa,22.0,2.6694671625540143,0,True,100000.07232800664,survived
47 UMa,22.0,2.6694671625540143,1,True,100000.07232800664,survived
47 UMa,22.0,2.6694671625540143,2,True,100000.07232800664,survived
47 UMa,22.0,2.6694671625540143,3,True,100000.07232800664,survived
47 UMa,22.0,2.6694671625540143,4,True,100000.07232800664,survived
47 UMa,16.0,3.6279552785433005,0,True,100000.07232800664,survived
47 UMa,16.0,3.6279552785433005,1,False,35993.54116544381,close_encounter
47 UMa,16.0,3.6279552785433005,2,True,100000.07232800664,survived
47 UMa,16.0,3.6279552785433005,3,True,100000.07232800664,survived
47 UMa,16.0,3.6279552785433005,4,True,100000.07232800664,survived
47 UMa,12.0,4.809734344744131,0,True,100000.07232800664,survived
47 UMa,12.0,4.809734344744131,1,False,47535.205245028104,close_encounter
47 UMa,12.0,4.809734344744131,2,False,74955.94507099825,close_encounter
47 UMa,12.0,4.809734344744131,3,True,100000.07232800664,survived
47 UMa,12.0,4.809734344744131,4,False,21023.006492435616,close_encounter
47 UMa,9.0,6.392453221499662,0,False,70171.93155857365,close_encounter
47 UMa,9.0,6.392453221499662,1,False,2254.822393775703,close_encounter
47 UMa,9.0,6.392453221499662,2,True,100000.07232800664,survived
47 UMa,9.0,6.392453221499662,3,False,1744.826035350421,close_encounter
47 UMa,9.0,6.392453221499662,4,False,10506.78842133096,close_encounter
47 UMa,7.0,8.205509048125078,0,False,771.0726853702877,close_encounter
47 UMa,7.0,8.205509048125078,1,False,1493.4065786350839,close_encounter
47 UMa,7.0,8.205509048125078,2,False,1248.4629054862962,close_encounter
47 UMa,7.0,8.205509048125078,3,False,14358.629930748184,close_encounter
47 UMa,7.0,8.205509048125078,4,False,15409.297411844529,close_encounter
47 UMa,5.0,11.473713245669856,0,False,57.714000908818505,close_encounter
47 UMa,5.0,11.473713245669856,1,False,851.9631748329907,close_encounter
47 UMa,5.0,11.473713245669856,2,False,1274.7068704665235,escape
47 UMa,5.0,11.473713245669856,3,False,552.941028392212,close_encounter
47 UMa,5.0,11.473713245669856,4,False,77.93662327450517,close_encounter
