system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
47 UMa,90.0,1.0,0,True,1000000.0417316152,survived
47 UMa,90.0,1.0,1,True,1000000.0417316152,survived
47 UMa,90.0,1.0,2,True,1000000.0417316152,survived
47 UMa,90.0,1.0,3,True,1000000.0417316152,survived
47 UMa,90.0,1.0,4,True,1000000.0417316152,survived
47 UMa,90.0,1.0,5,True,1000000.0417316152,survived
47 UMa,90.0,1.0,6,True,1000000.0417316152,survived
47 UMa,90.0,1.0,7,True,1000000.0417316152,survived
47 UMa,40.0,1.5557238268604126,0,True,1000000.0417316152,survived
47 UMa,40.0,1.5557238268604126,1,True,1000000.0417316152,survived
47 UMa,40.0,1.5557238268604126,2,True,1000000.0417316152,survived
47 UMa,40.0,1.5557238268604126,3,True,1000000.0417316152,survived
47 UMa,40.0,1.5557238268604126,4,True,1000000.0417316152,survived
47 UMa,40.0,1.5557238268604126,5,True,1000000.0417316152,survived
47 UMa,40.0,1.5557238268604126,6,True,1000000.0417316152,survived
47 UMa,40.0,1.5557238268604126,7,True,1000000.0417316152,survived
47 UMa,30.0,2.0000000000000004,0,True,1000000.0417316152,survived
47 UMa,30.0,2.0000000000000004,1,True,1000000.0417316152,survived
47 UMa,30.0,2.0000000000000004,2,True,1000000.0417316152,survived
47 UMa,30.0,2.0000000000000004,3,True,1000000.0417316152,survived
47 UMa,30.0,2.0000000000000004,4,True,1000000.0417316152,survived
47 UMa,30.0,2.0000000000000004,5,True,1000000.0417316152,survived
47 UMa,30.0,2.0000000000000004,6,True,1000000.0417316152,survived
47 UMa,30.0,2.0000000000000004,7,True,1000000.0417316152,survived
47 UMa,26.0,2.281172032704859,0,True,1000000.0417316152,survived
47 UMa,26.0,2.281172032704859,1,True,1000000.0417316152,survived
47 UMa,26.0,2.281172032704859,2,True,1000000.0417316152,survived
47 UMa,26.0,2.281172032704859,3,True,1000000.0417316152,survived
47 UMa,26.0,2.281172032704859,4,True,1000000.0417316152,survived
47 UMa,26.0,2.281172032704859,5,True,1000000.0417316152,survived
47 UMa,26.0,2.281172032704859,6,True,1000000.0417316152,survived
47 UMa,26.0,2.281172032704859,7,True,1000000.0417316152,survived
47 UMa,22.0,2.6694671625540143,0,True,1000000.0417316152,survived
47 UMa,22.0,2.6694671625540143,1,True,1000000.0417316152,survived
47 UMa,22.0,2.6694671625540143,2,True,1000000.0417316152,survived
47 UMa,22.0,2.6694671625540143,3,True,1000000.0417316152,survived
47 UMa,22.0,2.6694671625540143,4,True,1000000.0417316152,survived
47 UMa,22.0,2.6694671625540143,5,True,1000000.0417316152,survived
47 UMa,22.0,2.6694671625540143,6,True,1000000.0417316152,survived
47 UMa,22.0,2.6694671625540143,7,True,1000000.0417316152,survived
