system,sigma_deg,edge_on_survival,m95_factor
Barnard's star,0.0,0.6,2.085172471910934
Barnard's star,5.0,0.8,2.374560172012963
Barnard's star,10.0,0.8,2.4785983028559913
Barnard's star,15.0,0.8,2.101286699227426
Barnard's star,20.0,0.6,2.08916283168973
Barnard's star,30.0,0.4,1.3964573801071236
YZ Cet,0.0,1.0,2.896206603656445
YZ Cet,5.0,1.0,2.4997832313214556
YZ Cet,10.0,1.0,2.1053798026662975
YZ Cet,15.0,0.9,1.9012308774421067
YZ Cet,20.0,0.9,1.946852158424875
YZ Cet,30.0,0.4,1.785749163968256
L 98-59,0.0,1.0,3.156793548996442
L 98-59,5.0,1.0,3.2025630761017436
L 98-59,10.0,1.0,2.8517036184587257
L 98-59,15.0,1.0,2.4716630052173176
L 98-59,20.0,1.0,2.085172471910934
L 98-59,30.0,0.7,1.878326795802862
K2-18,0.0,1.0,2.9672447459630056
K2-18,5.0,1.0,3.084833312604798
K2-18,10.0,1.0,3.1129997760523618
K2-18,15.0,1.0,3.057446401762336
K2-18,20.0,1.0,3.017751702496436
K2-18,30.0,0.9,3.071044654128125
HD 147873,0.0,1.0,2.543946663237219
HD 147873,5.0,1.0,2.3162301254482913
HD 147873,10.0,1.0,2.2727507516786285
HD 147873,15.0,1.0,2.3992546193890103
HD 147873,20.0,1.0,2.36851309264076
HD 147873,30.0,0.6,2.4313149104333047
HIP 111909,0.0,1.0,2.3390037142659996
HIP 111909,5.0,1.0,2.418326647207642
HIP 111909,10.0,1.0,2.4997832313214556
HIP 111909,15.0,0.7,2.5827121581465673
HIP 111909,20.0,0.6,2.6068928871358583
HIP 111909,30.0,0.2,2.6234184375661664
47 UMa,0.0,0.7,2.278041744459796
47 UMa,5.0,0.7,2.356566063503427
47 UMa,10.0,0.5,2.411915350974739
47 UMa,15.0,0.4,2.3162301254482913
47 UMa,20.0,0.2,2.3106476222852637
47 UMa,30.0,0.1,2.2996117691948395
HD 141399,0.0,0.9,2.7589382646795926
HD 141399,5.0,0.9,3.127386917749207
HD 141399,10.0,0.9,3.030804031055452
HD 141399,15.0,0.8,3.017751702496436
HD 141399,20.0,0.6,2.9796234971089235
HD 141399,30.0,0.2,2.217061925905556
HD 50499,0.0,1.0,2.6402807063321334
HD 50499,5.0,1.0,2.631806779839077
HD 50499,10.0,1.0,2.6402807063321334
HD 50499,15.0,1.0,2.551551815399144
HD 50499,20.0,1.0,2.559229775456486
HD 50499,30.0,0.9,2.374560172012963
HD 95089,0.0,1.0,2.374560172012963
HD 95089,5.0,0.9,2.5364131913391836
HD 95089,10.0,0.9,2.451223370760588
HD 95089,15.0,1.0,2.374560172012963
HD 95089,20.0,1.0,2.4313149104333047
HD 95089,30.0,0.8,2.5364131913391836
