system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
BD-210397,90.0,1.0,0,False,47.49932996622744,close_encounter
BD-210397,90.0,1.0,1,True,517727.75258363277,survived
BD-210397,90.0,1.0,2,True,517727.6366414157,survived
BD-210397,90.0,1.0,3,False,12.79793862093919,close_encounter
BD-210397,90.0,1.0,4,True,517727.6776226153,survived
BD-210397,90.0,1.0,5,False,74.79680760312878,close_encounter
BD-210397,90.0,1.0,6,False,119490.88260665405,close_encounter
BD-210397,90.0,1.0,7,False,159.06123220487692,close_encounter
BD-210397,90.0,1.0,8,False,268.7849328276284,close_encounter
BD-210397,90.0,1.0,9,False,344.840590576418,close_encounter
BD-210397,90.0,1.0,10,True,517727.72340942523,survived
BD-210397,90.0,1.0,11,True,517727.6614012216,survived
BD-210397,90.0,1.0,12,True,517727.59899878915,survived
BD-210397,90.0,1.0,13,False,20.287408449488385,close_encounter
BD-210397,90.0,1.0,14,False,155510.03791524612,escape
BD-210397,90.0,1.0,15,True,517727.6768993949,survived
BD-210397,90.0,1.0,16,False,2465.5975359493136,close_encounter
BD-210397,90.0,1.0,17,True,517727.7996325267,survived
BD-210397,90.0,1.0,18,False,14.934213007336764,close_encounter
BD-210397,90.0,1.0,19,True,517727.6486134379,survived
BD-210397,85.0,1.0038198375433474,0,True,517727.6914900965,survived
BD-210397,85.0,1.0038198375433474,1,False,6786.471759029683,close_encounter
BD-210397,85.0,1.0038198375433474,2,False,58.178423953748236,close_encounter
BD-210397,85.0,1.0038198375433474,3,True,517727.7250610517,survived
BD-210397,85.0,1.0038198375433474,4,False,14.47847477297527,close_encounter
BD-210397,85.0,1.0038198375433474,5,False,41.22327294589599,close_encounter
BD-210397,85.0,1.0038198375433474,6,True,517727.69062068156,survived
BD-210397,85.0,1.0038198375433474,7,True,517727.7397628044,survived
BD-210397,85.0,1.0038198375433474,8,True,517727.71093192534,survived
BD-210397,85.0,1.0038198375433474,9,False,6.4644388255102765,close_encounter
BD-210397,85.0,1.0038198375433474,10,False,60768.827753704194,close_encounter
BD-210397,85.0,1.0038198375433474,11,True,517727.6606060331,survived
BD-210397,85.0,1.0038198375433474,12,True,517727.63884884457,survived
BD-210397,85.0,1.0038198375433474,13,True,517727.6549899335,survived
BD-210397,85.0,1.0038198375433474,14,True,517727.7340174491,survived
BD-210397,85.0,1.0038198375433474,15,True,517727.6146729613,survived
BD-210397,85.0,1.0038198375433474,16,True,517727.7630839767,survived
BD-210397,85.0,1.0038198375433474,17,False,15.836546278629841,close_encounter
BD-210397,85.0,1.0038198375433474,18,False,56644.14776882045,escape
BD-210397,85.0,1.0038198375433474,19,True,517727.6114972064,survived
BD-210397,80.0,1.0154266118857451,0,True,517727.615635628,survived
BD-210397,80.0,1.0154266118857451,1,True,517727.5892932961,survived
BD-210397,80.0,1.0154266118857451,2,True,517727.6130561158,survived
BD-210397,80.0,1.0154266118857451,3,True,517727.69037380535,survived
BD-210397,80.0,1.0154266118857451,4,True,517727.723190134,survived
BD-210397,80.0,1.0154266118857451,5,True,517727.6372268487,survived
BD-210397,80.0,1.0154266118857451,6,False,93.27968499470215,close_encounter
BD-210397,80.0,1.0154266118857451,7,True,517727.6292591479,survived
BD-210397,80.0,1.0154266118857451,8,True,517727.6522747406,survived
BD-210397,80.0,1.0154266118857451,9,True,517727.8303528098,survived
BD-210397,80.0,1.0154266118857451,10,True,517727.7436449833,survived
BD-210397,80.0,1.0154266118857451,11,False,53.19497038475726,close_encounter
BD-210397,80.0,1.0154266118857451,12,True,517727.6195788276,survived
BD-210397,80.0,1.0154266118857451,13,False,40.85871473488967,close_encounter
BD-210397,80.0,1.0154266118857451,14,True,517727.5868570214,survived
BD-210397,80.0,1.0154266118857451,15,True,517727.82746141596,survived
BD-210397,80.0,1.0154266118857451,16,True,517727.62683114957,survived
BD-210397,80.0,1.0154266118857451,17,True,517727.7564720151,survived
BD-210397,80.0,1.0154266118857451,18,True,517727.62542021915,survived
BD-210397,80.0,1.0154266118857451,19,True,517727.8347222451,survived
BD-210397,75.0,1.035276180410083,0,True,517727.65055864427,survived
BD-210397,75.0,1.035276180410083,1,True,517727.79032280593,survived
BD-210397,75.0,1.035276180410083,2,True,517727.6939416044,survived
BD-210397,75.0,1.035276180410083,3,False,3925.8272219591086,close_encounter
BD-210397,75.0,1.035276180410083,4,False,6.586010605388211,close_encounter
BD-210397,75.0,1.035276180410083,5,True,517727.5883031149,survived
BD-210397,75.0,1.035276180410083,6,True,517727.6001050672,survived
BD-210397,75.0,1.035276180410083,7,True,517727.7878350516,survived
BD-210397,75.0,1.035276180410083,8,True,517727.6942311599,survived
BD-210397,75.0,1.035276180410083,9,True,517727.5843002916,survived
BD-210397,75.0,1.035276180410083,10,True,517727.589033707,survived
BD-210397,75.0,1.035276180410083,11,True,517727.6426985085,survived
