system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
gam Lib,90.0,1.0,0,True,113587.9834314455,survived
gam Lib,90.0,1.0,1,True,113587.97702943187,survived
gam Lib,90.0,1.0,2,True,113587.98725938838,survived
gam Lib,90.0,1.0,3,True,113588.0004242427,survived
gam Lib,90.0,1.0,4,True,113587.99536340321,survived
gam Lib,90.0,1.0,5,True,113587.99076755423,survived
gam Lib,90.0,1.0,6,True,113587.96387665227,survived
gam Lib,90.0,1.0,7,True,113587.96148489055,survived
gam Lib,90.0,1.0,8,True,113587.97335423663,survived
gam Lib,90.0,1.0,9,True,113587.98317119667,survived
gam Lib,90.0,1.0,10,True,113587.99539758886,survived
gam Lib,90.0,1.0,11,True,113587.95571293982,survived
gam Lib,90.0,1.0,12,True,113587.96339920415,survived
gam Lib,90.0,1.0,13,True,113587.97970310874,survived
gam Lib,90.0,1.0,14,True,113587.96094889668,survived
gam Lib,90.0,1.0,15,True,113587.95610234997,survived
gam Lib,90.0,1.0,16,True,113587.99625565289,survived
gam Lib,90.0,1.0,17,True,113588.00232876702,survived
gam Lib,90.0,1.0,18,True,113587.95454805174,survived
gam Lib,90.0,1.0,19,True,113587.95844464492,survived
gam Lib,85.0,1.0038198375433474,0,True,113587.97555128593,survived
gam Lib,85.0,1.0038198375433474,1,True,113587.98084333421,survived
gam Lib,85.0,1.0038198375433474,2,True,113587.96172104382,survived
gam Lib,85.0,1.0038198375433474,3,True,113587.96551059771,survived
gam Lib,85.0,1.0038198375433474,4,True,113587.96819853631,survived
gam Lib,85.0,1.0038198375433474,5,True,113587.9545730231,survived
gam Lib,85.0,1.0038198375433474,6,True,113587.98914181648,survived
gam Lib,85.0,1.0038198375433474,7,True,113588.00192590167,survived
gam Lib,85.0,1.0038198375433474,8,True,113587.96749646436,survived
gam Lib,85.0,1.0038198375433474,9,True,113587.96422262193,survived
gam Lib,85.0,1.0038198375433474,10,True,113587.9578983468,survived
gam Lib,85.0,1.0038198375433474,11,True,113587.9609103647,survived
gam Lib,85.0,1.0038198375433474,12,True,113587.96054658291,survived
gam Lib,85.0,1.0038198375433474,13,True,113587.97432378012,survived
gam Lib,85.0,1.0038198375433474,14,True,113588.00239855236,survived
gam Lib,85.0,1.0038198375433474,15,True,113587.96496535532,survived
gam Lib,85.0,1.0038198375433474,16,True,113587.98956233665,survived
gam Lib,85.0,1.0038198375433474,17,True,113587.98520762175,survived
gam Lib,85.0,1.0038198375433474,18,True,113587.99355387417,survived
gam Lib,85.0,1.0038198375433474,19,True,113587.96762205962,survived
gam Lib,80.0,1.0154266118857451,0,True,113587.99405518723,survived
gam Lib,80.0,1.0154266118857451,1,True,113587.99404683965,survived
gam Lib,80.0,1.0154266118857451,2,True,113587.9730222012,survived
gam Lib,80.0,1.0154266118857451,3,True,113587.97468225782,survived
gam Lib,80.0,1.0154266118857451,4,True,113587.96305880407,survived
gam Lib,80.0,1.0154266118857451,5,True,113587.96792172438,survived
gam Lib,80.0,1.0154266118857451,6,False,13863.389016009522,close_encounter
gam Lib,80.0,1.0154266118857451,7,True,113587.96773985047,survived
gam Lib,80.0,1.0154266118857451,8,True,113587.98549676631,survived
gam Lib,80.0,1.0154266118857451,9,False,4194.950455543754,close_encounter
gam Lib,80.0,1.0154266118857451,10,True,113587.97128935908,survived
gam Lib,80.0,1.0154266118857451,11,True,113588.00095887351,survived
gam Lib,80.0,1.0154266118857451,12,True,113587.97796464534,survived
gam Lib,80.0,1.0154266118857451,13,True,113587.96078931114,survived
gam Lib,80.0,1.0154266118857451,14,True,113587.98915969598,survived
gam Lib,80.0,1.0154266118857451,15,True,113587.99071148229,survived
gam Lib,80.0,1.0154266118857451,16,True,113587.98753135384,survived
gam Lib,80.0,1.0154266118857451,17,True,113587.97739217523,survived
gam Lib,80.0,1.0154266118857451,18,True,113587.97250432514,survived
gam Lib,80.0,1.0154266118857451,19,True,113587.95543204999,survived
gam Lib,75.0,1.035276180410083,0,True,113587.98697369099,survived
gam Lib,75.0,1.035276180410083,1,True,113587.98262434301,survived
gam Lib,75.0,1.035276180410083,2,True,113587.97431121225,survived
gam Lib,75.0,1.035276180410083,3,True,113587.97783785351,survived
gam Lib,75.0,1.035276180410083,4,True,113587.99126070796,survived
gam Lib,75.0,1.035276180410083,5,True,113587.9902594109,survived
gam Lib,75.0,1.035276180410083,6,True,113587.98718270009,survived
gam Lib,75.0,1.035276180410083,7,True,113587.9852980954,survived
gam Lib,75.0,1.035276180410083,8,True,113587.97770547093,survived
gam Lib,75.0,1.035276180410083,9,True,113587.95706760472,survived
gam Lib,75.0,1.035276180410083,10,True,113587.98985429999,survived
gam Lib,75.0,1.035276180410083,11,True,113587.9596261323,survived
gam Lib,75.0,1.035276180410083,12,True,113587.96174040427,survived
gam Lib,75.0,1.035276180410083,13,True,113587.96786655464,survived
gam Lib,75.0,1.035276180410083,14,True,113587.96036497469,survived
gam Lib,75.0,1.035276180410083,15,True,113587.95649517508,survived
