system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
HD 200964,90.0,1.0,0,False,102.0680568999992,close_encounter
HD 200964,90.0,1.0,1,False,79.504235773661,close_encounter
HD 200964,90.0,1.0,2,False,28.54494591414088,close_encounter
HD 200964,90.0,1.0,3,False,29.43871602031571,close_encounter
HD 200964,90.0,1.0,4,False,4.072079896182663,close_encounter
HD 200964,90.0,1.0,5,False,58.522479838989206,close_encounter
HD 200964,90.0,1.0,6,False,4.152626516014006,close_encounter
HD 200964,90.0,1.0,7,False,6.532935225294753,close_encounter
HD 200964,90.0,1.0,8,False,10.864985784626901,close_encounter
HD 200964,90.0,1.0,9,False,7.821814538722569,close_encounter
HD 200964,90.0,1.0,10,False,25.736988725947587,close_encounter
HD 200964,90.0,1.0,11,False,13.098153431490898,close_encounter
HD 200964,90.0,1.0,12,False,4.018818297565571,close_encounter
HD 200964,90.0,1.0,13,False,12.739791036032845,close_encounter
HD 200964,90.0,1.0,14,False,107.1450185877245,close_encounter
HD 200964,90.0,1.0,15,False,6.6838178716556715,close_encounter
HD 200964,90.0,1.0,16,False,11.231414544619819,close_encounter
HD 200964,90.0,1.0,17,False,10.839132128447643,close_encounter
HD 200964,90.0,1.0,18,False,6.102343651574798,close_encounter
HD 200964,90.0,1.0,19,False,11.11731580211719,close_encounter
HD 200964,85.0,1.0038198375433474,0,False,4.075672417590917,close_encounter
HD 200964,85.0,1.0038198375433474,1,False,4.028395020623273,close_encounter
HD 200964,85.0,1.0038198375433474,2,False,6.398403354960308,close_encounter
HD 200964,85.0,1.0038198375433474,3,False,16.99509361318799,close_encounter
HD 200964,85.0,1.0038198375433474,4,False,6.373932701428604,close_encounter
HD 200964,85.0,1.0038198375433474,5,False,11.198073507767559,close_encounter
HD 200964,85.0,1.0038198375433474,6,False,4.420124898797496,close_encounter
HD 200964,85.0,1.0038198375433474,7,False,56.537893404182206,close_encounter
HD 200964,85.0,1.0038198375433474,8,False,76.53550581663899,close_encounter
HD 200964,85.0,1.0038198375433474,9,False,28.6923299388032,close_encounter
HD 200964,85.0,1.0038198375433474,10,False,47.792723694106456,close_encounter
HD 200964,85.0,1.0038198375433474,11,False,33.87797682468967,close_encounter
HD 200964,85.0,1.0038198375433474,12,False,11.316615175301385,close_encounter
HD 200964,85.0,1.0038198375433474,13,False,33.673620008403105,close_encounter
HD 200964,85.0,1.0038198375433474,14,False,4.041863633415931,close_encounter
HD 200964,85.0,1.0038198375433474,15,False,56.83748230408184,close_encounter
HD 200964,85.0,1.0038198375433474,16,False,155.2641780099989,close_encounter
HD 200964,85.0,1.0038198375433474,17,False,11.119217300738983,close_encounter
HD 200964,85.0,1.0038198375433474,18,False,4.277063616907068,close_encounter
HD 200964,85.0,1.0038198375433474,19,False,4.0314606940394935,close_encounter
HD 200964,80.0,1.0154266118857451,0,False,11.12500883567351,close_encounter
HD 200964,80.0,1.0154266118857451,1,False,5.897115999686824,close_encounter
HD 200964,80.0,1.0154266118857451,2,False,6.480958984892966,close_encounter
HD 200964,80.0,1.0154266118857451,3,False,66.49511018834033,close_encounter
HD 200964,80.0,1.0154266118857451,4,False,11.280021069418202,close_encounter
HD 200964,80.0,1.0154266118857451,5,False,11.008337383846849,close_encounter
HD 200964,80.0,1.0154266118857451,6,False,10.9206269484267,close_encounter
HD 200964,80.0,1.0154266118857451,7,False,30.84295401976478,close_encounter
HD 200964,80.0,1.0154266118857451,8,False,59.590129682989804,close_encounter
HD 200964,80.0,1.0154266118857451,9,False,4.440128373769593,close_encounter
HD 200964,80.0,1.0154266118857451,10,False,18.61061906969132,close_encounter
HD 200964,80.0,1.0154266118857451,11,False,6.559142579340222,close_encounter
HD 200964,80.0,1.0154266118857451,12,False,3.9001683169012207,close_encounter
HD 200964,80.0,1.0154266118857451,13,False,4.42416699437811,close_encounter
HD 200964,80.0,1.0154266118857451,14,False,11.271974885648614,close_encounter
HD 200964,80.0,1.0154266118857451,15,False,54.04579462116658,close_encounter
HD 200964,80.0,1.0154266118857451,16,False,30.049169314710824,close_encounter
HD 200964,80.0,1.0154266118857451,17,False,6.029188301243182,close_encounter
HD 200964,80.0,1.0154266118857451,18,False,4.108274914833878,close_encounter
HD 200964,80.0,1.0154266118857451,19,False,6.696988520796388,close_encounter
HD 200964,75.0,1.035276180410083,0,False,13.026394711876772,close_encounter
HD 200964,75.0,1.035276180410083,1,False,12.909778705500269,close_encounter
HD 200964,75.0,1.035276180410083,2,False,19.33834878276428,close_encounter
HD 200964,75.0,1.035276180410083,3,False,3.9878726067898493,close_encounter
HD 200964,75.0,1.035276180410083,4,False,29.732734074427846,close_encounter
HD 200964,75.0,1.035276180410083,5,False,71.32474698096364,close_encounter
HD 200964,75.0,1.035276180410083,6,False,3.9582653245540524,close_encounter
HD 200964,75.0,1.035276180410083,7,False,10.892624853796107,close_encounter
