system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
NY Vir,90.0,1.0,0,False,30211.230472561314,close_encounter
NY Vir,90.0,1.0,1,False,688225.1506062776,close_encounter
NY Vir,90.0,1.0,2,True,865160.8803009003,survived
NY Vir,90.0,1.0,3,True,865160.9580474327,survived
NY Vir,90.0,1.0,4,True,865161.09914787,survived
NY Vir,90.0,1.0,5,True,865160.9166594483,survived
NY Vir,90.0,1.0,6,False,553841.8494903602,close_encounter
NY Vir,90.0,1.0,7,False,347795.91081107577,close_encounter
NY Vir,90.0,1.0,8,False,4676.426707305523,close_encounter
NY Vir,90.0,1.0,9,True,865161.1651440742,survived
NY Vir,90.0,1.0,10,False,2520.745595952625,close_encounter
NY Vir,90.0,1.0,11,True,865160.9407091553,survived
NY Vir,90.0,1.0,12,False,54833.08902641145,close_encounter
NY Vir,90.0,1.0,13,False,557640.4090146315,close_encounter
NY Vir,90.0,1.0,14,True,865161.0754913233,survived
NY Vir,90.0,1.0,15,True,865161.0966319985,survived
NY Vir,90.0,1.0,16,False,250654.17346956138,close_encounter
NY Vir,90.0,1.0,17,False,4030.385160937112,close_encounter
NY Vir,90.0,1.0,18,False,9986.900151461345,close_encounter
NY Vir,90.0,1.0,19,False,244020.53491559843,close_encounter
NY Vir,85.0,1.0038198375433474,0,True,865161.2212843581,survived
NY Vir,85.0,1.0038198375433474,1,False,47303.33279602579,close_encounter
NY Vir,85.0,1.0038198375433474,2,False,77870.91696748047,close_encounter
NY Vir,85.0,1.0038198375433474,3,False,827065.1961787455,close_encounter
NY Vir,85.0,1.0038198375433474,4,True,865160.8930691321,survived
NY Vir,85.0,1.0038198375433474,5,False,24774.686769846947,close_encounter
NY Vir,85.0,1.0038198375433474,6,True,865161.0298837596,survived
NY Vir,85.0,1.0038198375433474,7,False,7319.701396488545,close_encounter
NY Vir,85.0,1.0038198375433474,8,True,865161.1215816144,survived
NY Vir,85.0,1.0038198375433474,9,False,49959.055950181995,close_encounter
NY Vir,85.0,1.0038198375433474,10,True,865160.9935505377,survived
NY Vir,85.0,1.0038198375433474,11,False,2970.3399463526075,close_encounter
NY Vir,85.0,1.0038198375433474,12,False,617468.1642586867,close_encounter
NY Vir,85.0,1.0038198375433474,13,False,26294.830549749673,close_encounter
NY Vir,85.0,1.0038198375433474,14,True,865160.9336745423,survived
NY Vir,85.0,1.0038198375433474,15,False,67778.43801901296,close_encounter
NY Vir,85.0,1.0038198375433474,16,False,18604.48171027561,close_encounter
NY Vir,85.0,1.0038198375433474,17,False,70266.69066143956,close_encounter
NY Vir,85.0,1.0038198375433474,18,True,865160.8813417907,survived
NY Vir,85.0,1.0038198375433474,19,True,865161.0815390187,survived
NY Vir,80.0,1.0154266118857451,0,True,865161.11142056,survived
NY Vir,80.0,1.0154266118857451,1,True,865161.146356242,survived
NY Vir,80.0,1.0154266118857451,2,True,865160.9610679091,survived
NY Vir,80.0,1.0154266118857451,3,True,865161.0454183773,survived
NY Vir,80.0,1.0154266118857451,4,False,57854.30548172869,close_encounter
NY Vir,80.0,1.0154266118857451,5,False,386587.07732724794,close_encounter
NY Vir,80.0,1.0154266118857451,6,True,865161.1109685351,survived
NY Vir,80.0,1.0154266118857451,7,True,865160.8681902873,survived
NY Vir,80.0,1.0154266118857451,8,False,301022.34992144967,close_encounter
NY Vir,80.0,1.0154266118857451,9,True,865161.1593471282,survived
NY Vir,80.0,1.0154266118857451,10,False,10366.222218934192,close_encounter
NY Vir,80.0,1.0154266118857451,11,False,141243.1547203453,close_encounter
NY Vir,80.0,1.0154266118857451,12,True,865160.9000137481,survived
NY Vir,80.0,1.0154266118857451,13,False,28038.413019815587,close_encounter
NY Vir,80.0,1.0154266118857451,14,False,680341.4451641415,close_encounter
NY Vir,80.0,1.0154266118857451,15,False,460165.35058155085,close_encounter
NY Vir,80.0,1.0154266118857451,16,False,46803.704337266856,close_encounter
NY Vir,80.0,1.0154266118857451,17,True,865160.9015856241,survived
NY Vir,80.0,1.0154266118857451,18,False,12282.019571390689,close_encounter
NY Vir,80.0,1.0154266118857451,19,False,32025.452952621592,close_encounter
NY Vir,75.0,1.035276180410083,0,False,104809.67622142646,close_encounter
NY Vir,75.0,1.035276180410083,1,False,201761.08611897202,close_encounter
NY Vir,75.0,1.035276180410083,2,False,10654.024124434321,close_encounter
NY Vir,75.0,1.035276180410083,3,False,50171.79887793485,close_encounter
NY Vir,75.0,1.035276180410083,4,False,817517.3847323192,close_encounter
NY Vir,75.0,1.035276180410083,5,False,19361.469804378714,close_encounter
NY Vir,75.0,1.035276180410083,6,False,238709.63933856046,close_encounter
NY Vir,75.0,1.035276180410083,7,False,128283.53042348509,close_encounter
NY Vir,75.0,1.035276180410083,8,True,865161.1113878575,survived
NY Vir,75.0,1.035276180410083,9,False,29882.989770528173,close_encounter
NY Vir,75.0,1.035276180410083,10,True,865160.9222778727,survived
NY Vir,75.0,1.035276180410083,11,False,8793.508903345888,close_encounter
NY Vir,75.0,1.035276180410083,12,False,19268.332553282915,close_encounter
NY Vir,75.0,1.035276180410083,13,False,87355.60913631172,close_encounter
NY Vir,75.0,1.035276180410083,14,False,15156.05682823104,close_encounter
NY Vir,75.0,1.035276180410083,15,False,120318.26045137887,close_encounter
NY Vir,75.0,1.035276180410083,16,False,54383.363396312074,close_encounter
NY Vir,75.0,1.035276180410083,17,False,299691.030404892,close_encounter
