system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
ups And,90.0,1.0,0,True,1264.0748039415005,survived
ups And,90.0,1.0,1,True,1264.0750580491642,survived
ups And,90.0,1.0,2,True,1264.0750934089685,survived
ups And,90.0,1.0,3,True,1264.075128151149,survived
ups And,90.0,1.0,4,True,1264.0751621442907,survived
ups And,90.0,1.0,5,True,1264.0751881920194,survived
ups And,90.0,1.0,6,True,1264.0750736745586,survived
ups And,90.0,1.0,7,True,1264.0752929590508,survived
ups And,90.0,1.0,8,True,1264.0750744961597,survived
ups And,90.0,1.0,9,True,1264.075338683717,survived
ups And,90.0,1.0,10,True,1264.0752173070682,survived
ups And,90.0,1.0,11,True,1264.074853937639,survived
ups And,90.0,1.0,12,True,1264.075057065468,survived
ups And,90.0,1.0,13,True,1264.075341985139,survived
ups And,90.0,1.0,14,True,1264.0748299803383,survived
ups And,90.0,1.0,15,True,1264.0752873700815,survived
ups And,90.0,1.0,16,True,1264.0753103168859,survived
ups And,90.0,1.0,17,True,1264.0753499739096,survived
ups And,90.0,1.0,18,True,1264.0748779741916,survived
ups And,90.0,1.0,19,True,1264.0747526713692,survived
ups And,85.0,1.0038198375433474,0,True,1264.0749398652433,survived
ups And,85.0,1.0038198375433474,1,True,1264.0751784146062,survived
ups And,85.0,1.0038198375433474,2,True,1264.0747718454468,survived
ups And,85.0,1.0038198375433474,3,True,1264.075024491336,survived
ups And,85.0,1.0038198375433474,4,True,1264.0752387984032,survived
ups And,85.0,1.0038198375433474,5,True,1264.0747591753436,survived
ups And,85.0,1.0038198375433474,6,True,1264.0751927890692,survived
ups And,85.0,1.0038198375433474,7,True,1264.0748175144008,survived
ups And,85.0,1.0038198375433474,8,True,1264.0751590260859,survived
ups And,85.0,1.0038198375433474,9,True,1264.075054929914,survived
ups And,85.0,1.0038198375433474,10,True,1264.074983981984,survived
ups And,85.0,1.0038198375433474,11,True,1264.0751206833374,survived
ups And,85.0,1.0038198375433474,12,True,1264.0750354543634,survived
ups And,85.0,1.0038198375433474,13,True,1264.0749186534574,survived
