system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
gam Lib,90.0,1.0,0,True,1135879.5454597103,survived
gam Lib,90.0,1.0,1,True,1135879.5731659713,survived
gam Lib,90.0,1.0,2,True,1135879.5574384714,survived
gam Lib,90.0,1.0,3,True,1135879.5577865385,survived
gam Lib,90.0,1.0,4,True,1135879.560399335,survived
gam Lib,90.0,1.0,5,True,1135879.5643644158,survived
gam Lib,90.0,1.0,6,True,1135879.5448482754,survived
gam Lib,90.0,1.0,7,True,1135879.5472053331,survived
gam Lib,90.0,1.0,8,True,1135879.5665592812,survived
gam Lib,90.0,1.0,9,True,1135879.5620300353,survived
gam Lib,90.0,1.0,10,True,1135879.5676026458,survived
gam Lib,90.0,1.0,11,True,1135879.5569388885,survived
gam Lib,90.0,1.0,12,True,1135879.544311714,survived
gam Lib,90.0,1.0,13,True,1135879.5679079287,survived
gam Lib,90.0,1.0,14,True,1135879.5663011253,survived
gam Lib,90.0,1.0,15,True,1135879.5616904106,survived
gam Lib,90.0,1.0,16,True,1135879.5499296018,survived
gam Lib,90.0,1.0,17,True,1135879.557574995,survived
gam Lib,90.0,1.0,18,True,1135879.5446835868,survived
gam Lib,90.0,1.0,19,True,1135879.5383020462,survived
gam Lib,85.0,1.0038198375433474,0,True,1135879.5507777648,survived
gam Lib,85.0,1.0038198375433474,1,True,1135879.5812377012,survived
gam Lib,85.0,1.0038198375433474,2,True,1135879.5736379144,survived
gam Lib,85.0,1.0038198375433474,3,True,1135879.535440448,survived
gam Lib,85.0,1.0038198375433474,4,True,1135879.5469783396,survived
gam Lib,85.0,1.0038198375433474,5,True,1135879.5461387872,survived
gam Lib,85.0,1.0038198375433474,6,True,1135879.5423260026,survived
gam Lib,85.0,1.0038198375433474,7,True,1135879.5357413183,survived
gam Lib,85.0,1.0038198375433474,8,True,1135879.5416942236,survived
gam Lib,85.0,1.0038198375433474,9,True,1135879.5865077907,survived
gam Lib,85.0,1.0038198375433474,10,True,1135879.540322696,survived
gam Lib,85.0,1.0038198375433474,11,True,1135879.570599306,survived
gam Lib,85.0,1.0038198375433474,12,True,1135879.5654067346,survived
gam Lib,85.0,1.0038198375433474,13,True,1135879.5399208507,survived
gam Lib,85.0,1.0038198375433474,14,True,1135879.5758197966,survived
gam Lib,85.0,1.0038198375433474,15,True,1135879.5444964455,survived
gam Lib,85.0,1.0038198375433474,16,True,1135879.5636523806,survived
gam Lib,85.0,1.0038198375433474,17,True,1135879.558585065,survived
gam Lib,85.0,1.0038198375433474,18,True,1135879.551748626,survived
gam Lib,85.0,1.0038198375433474,19,True,1135879.5660100044,survived
gam Lib,80.0,1.0154266118857451,0,True,1135879.5354055802,survived
gam Lib,80.0,1.0154266118857451,1,True,1135879.5591456268,survived
gam Lib,80.0,1.0154266118857451,2,True,1135879.539016513,survived
gam Lib,80.0,1.0154266118857451,3,True,1135879.537266591,survived
gam Lib,80.0,1.0154266118857451,4,True,1135879.5786470966,survived
gam Lib,80.0,1.0154266118857451,5,True,1135879.5528434583,survived
gam Lib,80.0,1.0154266118857451,6,False,13863.389016009522,close_encounter
gam Lib,80.0,1.0154266118857451,7,True,1135879.5614694215,survived
gam Lib,80.0,1.0154266118857451,8,True,1135879.536623869,survived
gam Lib,80.0,1.0154266118857451,9,False,4194.950455543754,close_encounter
gam Lib,80.0,1.0154266118857451,10,True,1135879.5425108215,survived
gam Lib,80.0,1.0154266118857451,11,True,1135879.554971899,survived
gam Lib,80.0,1.0154266118857451,12,True,1135879.5412546298,survived
gam Lib,80.0,1.0154266118857451,13,True,1135879.5620806136,survived
gam Lib,80.0,1.0154266118857451,14,True,1135879.5363673535,survived
gam Lib,80.0,1.0154266118857451,15,True,1135879.5711247742,survived
gam Lib,80.0,1.0154266118857451,16,True,1135879.5567489187,survived
gam Lib,80.0,1.0154266118857451,17,True,1135879.5669098166,survived
gam Lib,80.0,1.0154266118857451,18,True,1135879.5563028958,survived
gam Lib,80.0,1.0154266118857451,19,True,1135879.5538020171,survived
gam Lib,75.0,1.035276180410083,0,True,1135879.5678132332,survived
gam Lib,75.0,1.035276180410083,1,True,1135879.5579330774,survived
gam Lib,75.0,1.035276180410083,2,True,1135879.5668533295,survived
