system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
HD 114386,90.0,1.0,0,True,1215605.794171875,survived
HD 114386,90.0,1.0,1,True,1215605.7836971027,survived
HD 114386,90.0,1.0,2,True,1215605.7730962865,survived
HD 114386,90.0,1.0,3,True,1215605.7954407777,survived
HD 114386,90.0,1.0,4,True,1215605.7844234442,survived
HD 114386,90.0,1.0,5,True,1215605.7684766077,survived
HD 114386,90.0,1.0,6,True,1215605.766808977,survived
HD 114386,90.0,1.0,7,True,1215605.7524710847,survived
HD 114386,90.0,1.0,8,True,1215605.7536587273,survived
HD 114386,90.0,1.0,9,True,1215605.7748733044,survived
HD 114386,90.0,1.0,10,True,1215605.771336362,survived
HD 114386,90.0,1.0,11,True,1215605.7798849838,survived
HD 114386,90.0,1.0,12,True,1215605.7957265915,survived
HD 114386,90.0,1.0,13,True,1215605.77664053,survived
HD 114386,90.0,1.0,14,True,1215605.7951265972,survived
HD 114386,90.0,1.0,15,True,1215605.7991580477,survived
HD 114386,90.0,1.0,16,True,1215605.7583449096,survived
HD 114386,90.0,1.0,17,True,1215605.7758698342,survived
HD 114386,90.0,1.0,18,True,1215605.779434772,survived
HD 114386,90.0,1.0,19,True,1215605.7912671713,survived
HD 114386,85.0,1.0038198375433474,0,True,1215605.782080057,survived
HD 114386,85.0,1.0038198375433474,1,True,1215605.7528357073,survived
HD 114386,85.0,1.0038198375433474,2,True,1215605.7731466435,survived
HD 114386,85.0,1.0038198375433474,3,True,1215605.783766001,survived
HD 114386,85.0,1.0038198375433474,4,True,1215605.7812537542,survived
HD 114386,85.0,1.0038198375433474,5,True,1215605.7848820142,survived
HD 114386,85.0,1.0038198375433474,6,True,1215605.7904850186,survived
HD 114386,85.0,1.0038198375433474,7,True,1215605.7646201523,survived
HD 114386,85.0,1.0038198375433474,8,True,1215605.7807293744,survived
HD 114386,85.0,1.0038198375433474,9,True,1215605.795925057,survived
HD 114386,85.0,1.0038198375433474,10,True,1215605.7834486652,survived
HD 114386,85.0,1.0038198375433474,11,True,1215605.7960016057,survived
HD 114386,85.0,1.0038198375433474,12,True,1215605.7785222535,survived
HD 114386,85.0,1.0038198375433474,13,True,1215605.7717182804,survived
HD 114386,85.0,1.0038198375433474,14,True,1215605.774322949,survived
HD 114386,85.0,1.0038198375433474,15,True,1215605.7731772347,survived
HD 114386,85.0,1.0038198375433474,16,True,1215605.7523451864,survived
HD 114386,85.0,1.0038198375433474,17,True,1215605.784671905,survived
HD 114386,85.0,1.0038198375433474,18,True,1215605.765834462,survived
HD 114386,85.0,1.0038198375433474,19,True,1215605.757228459,survived
HD 114386,80.0,1.0154266118857451,0,True,1215605.7707496798,survived
HD 114386,80.0,1.0154266118857451,1,True,1215605.783365459,survived
HD 114386,80.0,1.0154266118857451,2,True,1215605.794573042,survived
HD 114386,80.0,1.0154266118857451,3,True,1215605.7792534544,survived
HD 114386,80.0,1.0154266118857451,4,True,1215605.7670870072,survived
HD 114386,80.0,1.0154266118857451,5,True,1215605.7809955312,survived
HD 114386,80.0,1.0154266118857451,6,True,1215605.7544778306,survived
HD 114386,80.0,1.0154266118857451,7,True,1215605.7891684992,survived
HD 114386,80.0,1.0154266118857451,8,True,1215605.7603528355,survived
HD 114386,80.0,1.0154266118857451,9,True,1215605.7925947309,survived
HD 114386,80.0,1.0154266118857451,10,True,1215605.7894217165,survived
HD 114386,80.0,1.0154266118857451,11,True,1215605.7791065415,survived
HD 114386,80.0,1.0154266118857451,12,True,1215605.796500793,survived
HD 114386,80.0,1.0154266118857451,13,True,1215605.767231305,survived
HD 114386,80.0,1.0154266118857451,14,True,1215605.7700929933,survived
HD 114386,80.0,1.0154266118857451,15,True,1215605.7801122211,survived
HD 114386,80.0,1.0154266118857451,16,True,1215605.7591103388,survived
HD 114386,80.0,1.0154266118857451,17,True,1215605.7991584542,survived
