system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
ups And,90.0,1.0,0,True,12640.747435371248,survived
ups And,90.0,1.0,1,True,12640.747516540852,survived
ups And,90.0,1.0,2,True,12640.747863824976,survived
ups And,90.0,1.0,3,True,12640.747620521019,survived
ups And,90.0,1.0,4,True,12640.747958985594,survived
ups And,90.0,1.0,5,True,12640.747586180263,survived
ups And,90.0,1.0,6,True,12640.747683599273,survived
ups And,90.0,1.0,7,True,12640.748032736172,survived
ups And,90.0,1.0,8,True,12640.747691549277,survived
ups And,90.0,1.0,9,True,12640.747888467122,survived
ups And,90.0,1.0,10,True,12640.74787843098,survived
ups And,90.0,1.0,11,True,12640.747922542072,survived
ups And,90.0,1.0,12,True,12640.747515410938,survived
ups And,90.0,1.0,13,True,12640.747900554696,survived
ups And,90.0,1.0,14,True,12640.747691241444,survived
ups And,90.0,1.0,15,True,12640.74797141372,survived
ups And,90.0,1.0,16,True,12640.74758513122,survived
ups And,90.0,1.0,17,True,12640.747996132552,survived
ups And,90.0,1.0,18,True,12640.747570570957,survived
ups And,90.0,1.0,19,True,12640.747521241123,survived
ups And,85.0,1.0038198375433474,0,True,12640.74756877886,survived
ups And,85.0,1.0038198375433474,1,True,12640.747510683686,survived
ups And,85.0,1.0038198375433474,2,True,12640.747713432002,survived
ups And,85.0,1.0038198375433474,3,True,12640.747805133207,survived
ups And,85.0,1.0038198375433474,4,True,12640.747505919622,survived
ups And,85.0,1.0038198375433474,5,True,12640.747598832115,survived
ups And,85.0,1.0038198375433474,6,True,12640.747654226885,survived
ups And,85.0,1.0038198375433474,7,True,12640.74755554333,survived
ups And,85.0,1.0038198375433474,8,True,12640.747914788511,survived
ups And,85.0,1.0038198375433474,9,True,12640.74748415944,survived
ups And,85.0,1.0038198375433474,10,True,12640.747996576125,survived
ups And,85.0,1.0038198375433474,11,True,12640.747524059027,survived
ups And,85.0,1.0038198375433474,12,True,12640.747904613798,survived
ups And,85.0,1.0038198375433474,13,True,12640.74795537377,survived
ups And,85.0,1.0038198375433474,14,True,12640.747765751272,survived
ups And,85.0,1.0038198375433474,15,True,12640.747586482428,survived
ups And,85.0,1.0038198375433474,16,True,12640.747891797408,survived
ups And,85.0,1.0038198375433474,17,True,12640.747747815885,survived
ups And,85.0,1.0038198375433474,18,True,12640.74769634617,survived
ups And,85.0,1.0038198375433474,19,True,12640.74748443045,survived
ups And,80.0,1.0154266118857451,0,True,12640.747753923615,survived
ups And,80.0,1.0154266118857451,1,True,12640.74763046797,survived
ups And,80.0,1.0154266118857451,2,True,12640.747493285133,survived
ups And,80.0,1.0154266118857451,3,True,12640.747524230062,survived
ups And,80.0,1.0154266118857451,4,True,12640.74779476725,survived
ups And,80.0,1.0154266118857451,5,True,12640.747857037484,survived
ups And,80.0,1.0154266118857451,6,True,12640.747998997573,survived
ups And,80.0,1.0154266118857451,7,True,12640.747798269398,survived
ups And,80.0,1.0154266118857451,8,True,12640.747527763971,survived
ups And,80.0,1.0154266118857451,9,True,12640.74776480582,survived
ups And,80.0,1.0154266118857451,10,True,12640.747475193753,survived
ups And,80.0,1.0154266118857451,11,True,12640.747708273215,survived
ups And,80.0,1.0154266118857451,12,True,12640.74795013775,survived
ups And,80.0,1.0154266118857451,13,True,12640.747783950566,survived
ups And,80.0,1.0154266118857451,14,True,12640.747752707663,survived
ups And,80.0,1.0154266118857451,15,True,12640.74794234122,survived
ups And,80.0,1.0154266118857451,16,True,12640.747502825761,survived
ups And,80.0,1.0154266118857451,17,True,12640.747789407678,survived
ups And,80.0,1.0154266118857451,18,True,12640.747893090462,survived
ups And,80.0,1.0154266118857451,19,True,12640.747535793422,survived
ups And,75.0,1.035276180410083,0,True,12640.74778292208,survived
ups And,75.0,1.035276180410083,1,True,12640.747836217357,survived
ups And,75.0,1.035276180410083,2,True,12640.74787483786,survived
ups And,75.0,1.035276180410083,3,True,12640.747809745042,survived
ups And,75.0,1.035276180410083,4,True,12640.747592826345,survived
ups And,75.0,1.035276180410083,5,True,12640.747519159333,survived
ups And,75.0,1.035276180410083,6,True,12640.747866590955,survived
ups And,75.0,1.035276180410083,7,True,12640.747464515413,survived
ups And,75.0,1.035276180410083,8,True,12640.747477608966,survived
ups And,75.0,1.035276180410083,9,True,12640.747915558315,survived
ups And,75.0,1.035276180410083,10,True,12640.747482662258,survived
ups And,75.0,1.035276180410083,11,True,12640.747918220177,survived
ups And,75.0,1.035276180410083,12,True,12640.747539641941,survived
ups And,75.0,1.035276180410083,13,True,12640.747772821021,survived
ups And,75.0,1.035276180410083,14,True,12640.747696532206,survived
ups And,75.0,1.035276180410083,15,True,12640.747729147919,survived
ups And,75.0,1.035276180410083,16,True,12640.747636049136,survived
ups And,75.0,1.035276180410083,17,True,12640.74783816621,survived
ups And,75.0,1.035276180410083,18,True,12640.747916859793,survived
ups And,75.0,1.035276180410083,19,True,12640.7478146343,survived
ups And,70.0,1.0641777724759123,0,True,12640.747730678719,survived
ups And,70.0,1.0641777724759123,1,True,12640.747982504085,survived
ups And,70.0,1.0641777724759123,2,True,12640.747789562505,survived
ups And,70.0,1.0641777724759123,3,True,12640.747518792547,survived
ups And,70.0,1.0641777724759123,4,True,12640.747909697506,survived
ups And,70.0,1.0641777724759123,5,True,12640.74802436601,survived
ups And,70.0,1.0641777724759123,6,True,12640.747966460076,survived
ups And,70.0,1.0641777724759123,7,True,12640.747873125418,survived
ups And,70.0,1.0641777724759123,8,True,12640.747825280565,survived
ups And,70.0,1.0641777724759123,9,True,12640.747820135475,survived
ups And,70.0,1.0641777724759123,10,True,12640.74777637286,survived
ups And,70.0,1.0641777724759123,11,True,12640.74752556756,survived
ups And,70.0,1.0641777724759123,12,True,12640.747543009664,survived
ups And,70.0,1.0641777724759123,13,True,12640.747847861252,survived
ups And,70.0,1.0641777724759123,14,True,12640.747731017394,survived
ups And,70.0,1.0641777724759123,15,True,12640.747903833944,survived
ups And,70.0,1.0641777724759123,16,True,12640.747441435627,survived
ups And,70.0,1.0641777724759123,17,True,12640.74769503015,survived
ups And,70.0,1.0641777724759123,18,True,12640.747829205604,survived
ups And,70.0,1.0641777724759123,19,True,12640.747870161422,survived
ups And,65.0,1.1033779189624917,0,True,12640.747622317596,survived
ups And,65.0,1.1033779189624917,1,True,12640.748016355283,survived
ups And,65.0,1.1033779189624917,2,True,12640.747636258198,survived
ups And,65.0,1.1033779189624917,3,True,12640.747448082791,survived
ups And,65.0,1.1033779189624917,4,True,12640.74778699142,survived
ups And,65.0,1.1033779189624917,5,True,12640.747582965028,survived
ups And,65.0,1.1033779189624917,6,True,12640.747473252488,survived
ups And,65.0,1.1033779189624917,7,True,12640.747767524384,survived
ups And,65.0,1.1033779189624917,8,True,12640.74790482282,survived
ups And,65.0,1.1033779189624917,9,True,12640.747524644925,survived
ups And,65.0,1.1033779189624917,10,True,12640.74749796358,survived
ups And,65.0,1.1033779189624917,11,True,12640.747593513632,survived
ups And,65.0,1.1033779189624917,12,True,12640.74747824456,survived
ups And,65.0,1.1033779189624917,13,True,12640.747868144577,survived
ups And,65.0,1.1033779189624917,14,True,12640.748004176086,survived
ups And,65.0,1.1033779189624917,15,True,12640.74774510117,survived
ups And,65.0,1.1033779189624917,16,True,12640.747731252457,survived
ups And,65.0,1.1033779189624917,17,True,12640.747717446086,survived
ups And,65.0,1.1033779189624917,18,True,12640.747747215848,survived
ups And,65.0,1.1033779189624917,19,True,12640.747818330736,survived
ups And,60.0,1.1547005383792517,0,True,12640.74779188933,survived
ups And,60.0,1.1547005383792517,1,True,12640.747519703087,survived
ups And,60.0,1.1547005383792517,2,True,12640.747806032241,survived
ups And,60.0,1.1547005383792517,3,True,12640.747563298575,survived
ups And,60.0,1.1547005383792517,4,True,12640.747750761104,survived
ups And,60.0,1.1547005383792517,5,True,12640.747436665004,survived
ups And,60.0,1.1547005383792517,6,True,12640.747953314838,survived
ups And,60.0,1.1547005383792517,7,True,12640.747595130235,survived
ups And,60.0,1.1547005383792517,8,True,12640.747639451916,survived
ups And,60.0,1.1547005383792517,9,True,12640.747679436228,survived
ups And,60.0,1.1547005383792517,10,True,12640.747869647912,survived
ups And,60.0,1.1547005383792517,11,True,12640.747664636869,survived
ups And,60.0,1.1547005383792517,12,True,12640.747959365222,survived
ups And,60.0,1.1547005383792517,13,True,12640.747594775221,survived
ups And,60.0,1.1547005383792517,14,True,12640.747654206525,survived
ups And,60.0,1.1547005383792517,15,True,12640.74749443499,survived
ups And,60.0,1.1547005383792517,16,True,12640.748037354728,survived
ups And,60.0,1.1547005383792517,17,True,12640.74748442081,survived
ups And,60.0,1.1547005383792517,18,True,12640.747538299349,survived
ups And,60.0,1.1547005383792517,19,True,12640.747472417735,survived
ups And,55.0,1.220774588761456,0,True,12640.74789915282,survived
ups And,55.0,1.220774588761456,1,True,12640.747756039314,survived
ups And,55.0,1.220774588761456,2,True,12640.74747410868,survived
ups And,55.0,1.220774588761456,3,True,12640.747642268116,survived
ups And,55.0,1.220774588761456,4,True,12640.747613752415,survived
ups And,55.0,1.220774588761456,5,True,12640.74746237288,survived
ups And,55.0,1.220774588761456,6,True,12640.747729244036,survived
ups And,55.0,1.220774588761456,7,True,12640.747955311756,survived
ups And,55.0,1.220774588761456,8,True,12640.747577379005,survived
ups And,55.0,1.220774588761456,9,True,12640.747939827315,survived
ups And,55.0,1.220774588761456,10,True,12640.747462060135,survived
ups And,55.0,1.220774588761456,11,True,12640.747690530188,survived
ups And,55.0,1.220774588761456,12,True,12640.747471245288,survived
ups And,55.0,1.220774588761456,13,True,12640.74758172674,survived
ups And,55.0,1.220774588761456,14,True,12640.74751590227,survived
ups And,55.0,1.220774588761456,15,True,12640.747644549265,survived
ups And,55.0,1.220774588761456,16,True,12640.747905783599,survived
ups And,55.0,1.220774588761456,17,True,12640.747954423961,survived
ups And,55.0,1.220774588761456,18,True,12640.747851312426,survived
ups And,55.0,1.220774588761456,19,True,12640.747588343318,survived
ups And,50.0,1.3054072893322786,0,True,12640.747757786516,survived
ups And,50.0,1.3054072893322786,1,True,12640.747703168225,survived
ups And,50.0,1.3054072893322786,2,True,12640.747553919236,survived
ups And,50.0,1.3054072893322786,3,True,12640.747639783685,survived
ups And,50.0,1.3054072893322786,4,True,12640.747518209906,survived
ups And,50.0,1.3054072893322786,5,True,12640.747805657133,survived
ups And,50.0,1.3054072893322786,6,True,12640.747542615321,survived
ups And,50.0,1.3054072893322786,7,True,12640.747469918273,survived
ups And,50.0,1.3054072893322786,8,True,12640.747748764641,survived
ups And,50.0,1.3054072893322786,9,True,12640.747688470843,survived
ups And,50.0,1.3054072893322786,10,True,12640.74801438664,survived
ups And,50.0,1.3054072893322786,11,True,12640.747504017307,survived
ups And,50.0,1.3054072893322786,12,True,12640.747706129147,survived
ups And,50.0,1.3054072893322786,13,True,12640.747591366211,survived
ups And,50.0,1.3054072893322786,14,True,12640.747801818748,survived
ups And,50.0,1.3054072893322786,15,True,12640.747824819273,survived
ups And,50.0,1.3054072893322786,16,True,12640.74758271019,survived
ups And,50.0,1.3054072893322786,17,True,12640.747792794999,survived
ups And,50.0,1.3054072893322786,18,True,12640.747914094722,survived
ups And,50.0,1.3054072893322786,19,True,12640.74753663091,survived
ups And,45.0,1.4142135623730951,0,True,12640.747457374388,survived
ups And,45.0,1.4142135623730951,1,True,12640.747441562668,survived
ups And,45.0,1.4142135623730951,2,True,12640.747864326748,survived
ups And,45.0,1.4142135623730951,3,True,12640.747820462544,survived
ups And,45.0,1.4142135623730951,4,True,12640.74794982099,survived
ups And,45.0,1.4142135623730951,5,True,12640.747552428387,survived
ups And,45.0,1.4142135623730951,6,True,12640.747955922496,survived
ups And,45.0,1.4142135623730951,7,True,12640.747840458842,survived
ups And,45.0,1.4142135623730951,8,True,12640.74755623476,survived
ups And,45.0,1.4142135623730951,9,True,12640.74766522481,survived
ups And,45.0,1.4142135623730951,10,True,12640.74776976867,survived
ups And,45.0,1.4142135623730951,11,True,12640.747733200213,survived
ups And,45.0,1.4142135623730951,12,True,12640.74797844096,survived
ups And,45.0,1.4142135623730951,13,True,12640.747835311846,survived
ups And,45.0,1.4142135623730951,14,True,12640.747856535481,survived
ups And,45.0,1.4142135623730951,15,True,12640.747878847093,survived
ups And,45.0,1.4142135623730951,16,True,12640.747710483676,survived
ups And,45.0,1.4142135623730951,17,True,12640.747754344957,survived
ups And,45.0,1.4142135623730951,18,True,12640.747575024585,survived
ups And,45.0,1.4142135623730951,19,True,12640.747762428964,survived
ups And,40.0,1.5557238268604126,0,True,12640.747733578395,survived
ups And,40.0,1.5557238268604126,1,True,12640.74793836542,survived
ups And,40.0,1.5557238268604126,2,True,12640.747972559902,survived
ups And,40.0,1.5557238268604126,3,True,12640.747762854613,survived
ups And,40.0,1.5557238268604126,4,True,12640.748007757456,survived
ups And,40.0,1.5557238268604126,5,True,12640.747606784707,survived
ups And,40.0,1.5557238268604126,6,True,12640.747554443486,survived
ups And,40.0,1.5557238268604126,7,True,12640.747617461158,survived
ups And,40.0,1.5557238268604126,8,True,12640.747624084199,survived
ups And,40.0,1.5557238268604126,9,True,12640.747801288728,survived
ups And,40.0,1.5557238268604126,10,True,12640.747788265797,survived
ups And,40.0,1.5557238268604126,11,True,12640.747690160679,survived
ups And,40.0,1.5557238268604126,12,True,12640.747690272376,survived
ups And,40.0,1.5557238268604126,13,True,12640.747462987887,survived
ups And,40.0,1.5557238268604126,14,True,12640.747815957833,survived
ups And,40.0,1.5557238268604126,15,True,12640.747443641232,survived
ups And,40.0,1.5557238268604126,16,True,12640.747616231496,survived
ups And,40.0,1.5557238268604126,17,True,12640.747557055744,survived
ups And,40.0,1.5557238268604126,18,True,12640.747471055203,survived
ups And,40.0,1.5557238268604126,19,True,12640.747790526486,survived
ups And,34.0,1.7882916499714003,0,True,12640.747811760908,survived
ups And,34.0,1.7882916499714003,1,True,12640.747887313837,survived
ups And,34.0,1.7882916499714003,2,True,12640.747436699727,survived
ups And,34.0,1.7882916499714003,3,True,12640.747449562348,survived
ups And,34.0,1.7882916499714003,4,True,12640.747733570573,survived
ups And,34.0,1.7882916499714003,5,True,12640.747879969455,survived
ups And,34.0,1.7882916499714003,6,True,12640.74745195707,survived
ups And,34.0,1.7882916499714003,7,True,12640.747718551575,survived
ups And,34.0,1.7882916499714003,8,True,12640.747499936286,survived
ups And,34.0,1.7882916499714003,9,True,12640.748023666947,survived
