system,planet,msini_mjup,swept,edge_on_survival,ceiling_factor,m95_factor,mass_ceiling_mjup,mass_95_mjup,inc_floor_deg,t_max_yr,ref
BD+20 2457,BD+20 2457 b,21.42,True,0.0,1.0,,21.42,,90.0,324.90222922112105,Niedzielski et al. 2009
BD+20 2457,BD+20 2457 c,12.47,True,0.0,1.0,,12.47,,90.0,324.90222922112105,Niedzielski et al. 2009
24 Sex,24 Sex b,1.99,True,0.4,1.1547005383792517,1.7672154744965076,2.2978540713747106,3.5167587942480503,59.999999999999986,123969.94102727441,Johnson et al. 2010
24 Sex,24 Sex c,0.86,True,0.4,1.1547005383792517,1.7672154744965076,0.9930424630061564,1.5198053080669964,59.999999999999986,123969.94102727441,Johnson et al. 2010
HD 153557,HD 153557 b,0.064,True,0.0,1.0,,0.064,,90.0,7.347506902111644,Feng et al. 2022
HD 153557,HD 153557 c,0.055,True,0.0,1.0,,0.055,,90.0,7.347506902111644,Feng et al. 2022
HD 153557,HD 153557 d,27.454,False,0.0,1.0,,,,90.0,7.347506902111644,Feng et al. 2022
DMPP-2,DMPP-2 c,0.16294956,True,0.1,2.1300544681895124,2.3106476222852637,0.34709143836751505,0.3765190133664299,28.000000000000007,867.3514159655278,Standing et al. 2026
DMPP-2,DMPP-2 b,0.53953642,True,0.1,2.1300544681895124,2.3106476222852637,1.1492419621719734,1.2466785460093035,28.000000000000007,867.3514159655278,Standing et al. 2026
DMPP-2,DMPP-2 d,0.28880364,True,0.1,2.1300544681895124,2.3106476222852637,0.6151674838113953,0.6673234440733292,28.000000000000007,867.3514159655278,Standing et al. 2026
2MASS J19383260+4603591,Kepler-451 d,1.76,True,0.75,1.5557238268604126,1.7559648271686727,2.738073935274326,3.090498095816864,39.99999999999999,11772.764277834645,Esmer et al. 2022
2MASS J19383260+4603591,2MASS J19383260+4603591 b,1.86,True,0.75,1.5557238268604126,1.7559648271686727,2.8936463179603673,3.2660945785337314,39.99999999999999,11772.764277834645,Esmer et al. 2022
2MASS J19383260+4603591,Kepler-451 c,1.61,True,0.75,1.5557238268604126,1.7559648271686727,2.5047153612452644,2.8271033717415635,39.99999999999999,11772.764277834645,Esmer et al. 2022
HD 200964,HD 200964 b,1.599,True,0.0,1.0,,1.599,,90.0,1198.0104945334224,Luhn et al. 2019
HD 200964,HD 200964 c,1.214,True,0.0,1.0,,1.214,,90.0,1198.0104945334224,Luhn et al. 2019
HD 33844,HD 33844 b,1.96,True,0.0,1.0,2.057926853178991,1.96,4.033536632230822,90.0,150965.16241949395,Wittenmyer et al. 2016
HD 33844,HD 33844 c,1.75,True,0.0,1.0,2.057926853178991,1.75,3.6013719930632346,90.0,150965.16241949395,Wittenmyer et al. 2016
HD 113538,HD 113538 b,0.36,True,0.9,3.6279552785433005,2.139097381818452,1.306063900275588,0.7700750574546427,16.0,181574.35078834492,Moutou et al. 2015
HD 113538,HD 113538 c,0.93,True,0.9,3.6279552785433005,2.139097381818452,3.3739984090452695,1.9893605650911605,16.0,181574.35078834492,Moutou et al. 2015
HD 155358,HD 155358 b,0.85,True,0.55,3.6279552785433005,2.156635402437404,3.083761986761805,1.8331400920717933,16.0,53196.4626210288,Robertson et al. 2012
HD 155358,HD 155358 c,0.82,True,0.55,3.6279552785433005,2.156635402437404,2.9749233284055063,1.768441029998671,16.0,53196.4626210288,Robertson et al. 2012
BD-210397,BD-210397 b,0.7,True,0.45,,3.0048733490978945,,2.103411344368526,,517727.8455893225,Frensch et al. 2023
BD-210397,BD-210397 c,2.4,True,0.45,,3.0048733490978945,,7.211696037834947,,517727.8455893225,Frensch et al. 2023
HD 5319,HD 5319 b,1.556,True,0.0,1.0,1.1367308506407168,1.556,1.7687532035969553,90.0,174428.49854125743,Luhn et al. 2019
HD 5319,HD 5319 c,1.053,True,0.0,1.0,1.1367308506407168,1.053,1.1969775857246747,90.0,174428.49854125743,Luhn et al. 2019
HD 114386,HD 114386 c,0.37,True,1.0,,3.1129997760523618,,1.1518099171393739,,121560.6305697382,Wu et al. 2026
HD 114386,HD 114386 b,1.46,False,1.0,,3.1129997760523618,,,,121560.6305697382,Wu et al. 2026
HD 81817,HD 81817 c,22.609,True,0.0,1.0,,22.609,,90.0,292.447477263171,Feng et al. 2022
HD 81817,HD 81817 b,24.128,False,0.0,1.0,,,,90.0,292.447477263171,Feng et al. 2022
HD 47366,HD 47366 b,2.082,True,0.35,1.035276180410083,1.7278406536633144,2.1554450076137925,3.5973642409270203,75.00000000000003,98584.57465249093,Teng et al. 2023
HD 47366,HD 47366 c,1.522,True,0.35,1.035276180410083,1.7278406536633144,1.5756903465841463,2.6297734748755643,75.00000000000003,98584.57465249093,Teng et al. 2023
HD 37124,HD 37124 b,0.675,True,0.75,4.445411482585801,2.521556898525662,3.0006527507454157,1.7020509065048217,13.000000000000002,42266.41249579716,Wright et al. 2011
HD 37124,HD 37124 c,0.652,True,0.75,4.445411482585801,2.521556898525662,2.898408286645942,1.6440550978387316,13.000000000000002,42266.41249579716,Wright et al. 2011
HD 37124,HD 37124 d,0.696,True,0.75,4.445411482585801,2.521556898525662,3.094006391879717,1.7550036013738606,13.000000000000002,42266.41249579716,Wright et al. 2011
NY Vir,NY Vir b,2.66,True,0.4,1.035276180410083,1.2849946803900334,2.7538346398908207,3.418085849837489,75.00000000000003,865161.2310018288,Song et al. 2019
NY Vir,NY Vir c,5.54,True,0.4,1.035276180410083,1.2849946803900334,5.73543003947186,7.118870529360785,75.00000000000003,865161.2310018288,Song et al. 2019
HD 45364,HD 45364 b,0.1893,True,1.0,4.445411482585801,2.2887445342704553,0.8415163936534921,0.43325934033739716,13.000000000000002,61817.96158822909,Li et al. 2022
HD 45364,HD 45364 c,0.549,True,1.0,4.445411482585801,2.2887445342704553,2.440530903939605,1.25652074931448,13.000000000000002,61817.96158822909,Li et al. 2022
HD 73526,HD 73526 b,2.25,True,0.85,2.5593046652474523,2.061747206076856,5.758435496806768,4.638931213672926,23.0,51718.01816235802,Wittenmyer et al. 2014
HD 73526,HD 73526 c,2.25,True,0.85,2.5593046652474523,2.061747206076856,5.758435496806768,4.638931213672926,23.0,51718.01816235802,Wittenmyer et al. 2014
HD 93385,HD 93385 b,0.01321468,True,0.3,5.758770483143634,2.464789343580056,0.0761003091281885,0.032571402442820495,10.0,2010.2949076969132,Unger et al. 2021
HD 93385,HD 93385 c,0.0223391,True,0.3,5.758770483143634,2.464789343580056,0.12864574969999396,0.05506117562516923,10.0,2010.2949076969132,Unger et al. 2021
HD 93385,HD 93385 d,0.02737326,True,0.3,5.758770483143634,2.464789343580056,0.1576363217154163,0.0674693195470462,10.0,2010.2949076969132,Unger et al. 2021
gam Lib,gam Lib b,1.126,True,1.0,2.5593046652474523,2.2122161383412458,2.881777053068631,2.4909553717722424,23.0,113588.00604372034,Teng et al. 2023
gam Lib,gam Lib c,5.231,True,1.0,2.5593046652474523,2.2122161383412458,13.387722703909423,11.572102619663056,23.0,113588.00604372034,Teng et al. 2023
ups And,ups And b,0.6876,True,1.0,,3.156793548996442,,2.1706112442899537,,1264.0753527503355,Curiel et al. 2011
ups And,ups And c,1.981,True,1.0,,3.156793548996442,,6.253608020561952,,1264.0753527503355,Curiel et al. 2011
ups And,ups And d,4.132,True,1.0,,3.156793548996442,,13.043870944453298,,1264.0753527503355,Curiel et al. 2011
HD 160691,HD 160691 d,0.032,True,1.0,,2.9921651744703697,,0.09574928558305183,,2638.4406123595204,Gozdziewski et al. 2007
HD 160691,HD 160691 e,0.48,True,1.0,,2.9921651744703697,,1.4362392837457774,,2638.4406123595204,Gozdziewski et al. 2007
HD 160691,HD 160691 b,1.677,True,1.0,,2.9921651744703697,,5.01786099758681,,2638.4406123595204,Gozdziewski et al. 2007
HD 160691,HD 160691 c,2.423,True,1.0,,2.9921651744703697,,7.250016217741706,,2638.4406123595204,Gozdziewski et al. 2007
