system,planet,msini_mjup,swept,edge_on_survival,ceiling_factor,m95_factor,mass_ceiling_mjup,mass_95_mjup,inc_floor_deg,t_max_yr,ref
BD+20 2457,BD+20 2457 b,21.42,True,0.0,1.0,,21.42,,90.0,324.90222922112105,Niedzielski et al. 2009
BD+20 2457,BD+20 2457 c,12.47,True,0.0,1.0,,12.47,,90.0,324.90222922112105,Niedzielski et al. 2009
DMPP-2,DMPP-2 c,0.16294956,True,0.05,1.035276180410083,2.543946663237219,0.16869779807630364,0.414534989437973,75.00000000000003,8673.511559478244,Standing et al. 2026
DMPP-2,DMPP-2 b,0.53953642,True,0.05,1.035276180410083,2.543946663237219,0.5585692040897303,1.3725518753539547,75.00000000000003,8673.511559478244,Standing et al. 2026
DMPP-2,DMPP-2 d,0.28880364,True,0.05,1.035276180410083,2.543946663237219,0.2989915293077286,0.7347010563087629,75.00000000000003,8673.511559478244,Standing et al. 2026
HD 153557,HD 153557 b,0.064,True,0.0,1.0,,0.064,,90.0,7.347506902111644,Feng et al. 2022
HD 153557,HD 153557 c,0.055,True,0.0,1.0,,0.055,,90.0,7.347506902111644,Feng et al. 2022
HD 153557,HD 153557 d,27.454,False,0.0,1.0,,,,90.0,7.347506902111644,Feng et al. 2022
24 Sex,24 Sex b,1.99,True,0.35,1.0038198375433474,1.8074260274128655,1.9976014767112613,3.596777794551602,85.0,1239698.8959806333,Johnson et al. 2010
24 Sex,24 Sex c,0.86,True,0.35,1.0038198375433474,1.8074260274128655,0.8632850602872787,1.5543863835750644,85.0,1239698.8959806333,Johnson et al. 2010
2MASS J19383260+4603591,Kepler-451 d,1.76,True,0.4,1.0038198375433474,1.38249027750822,1.7667229140762915,2.4331828884144673,85.0,117727.58964404548,Esmer et al. 2022
2MASS J19383260+4603591,2MASS J19383260+4603591 b,1.86,True,0.4,1.0038198375433474,1.38249027750822,1.8671048978306262,2.5714319161652894,85.0,117727.58964404548,Esmer et al. 2022
2MASS J19383260+4603591,Kepler-451 c,1.61,True,0.4,1.0038198375433474,1.38249027750822,1.6161499384447893,2.225809346788234,85.0,117727.58964404548,Esmer et al. 2022
HD 200964,HD 200964 b,1.599,True,0.0,1.0,,1.599,,90.0,1198.0104945334224,Luhn et al. 2019
HD 200964,HD 200964 c,1.214,True,0.0,1.0,,1.214,,90.0,1198.0104945334224,Luhn et al. 2019
HD 33844,HD 33844 b,1.96,True,0.0,1.0,2.1178183818713068,1.96,4.150924028467761,90.0,1509650.99734626,Wittenmyer et al. 2016
HD 33844,HD 33844 c,1.75,True,0.0,1.0,2.1178183818713068,1.75,3.706182168274787,90.0,1509650.99734626,Wittenmyer et al. 2016
HD 113538,HD 113538 b,0.36,True,0.9,2.5593046652474523,1.9596545041740512,0.9213496794890828,0.7054756215026584,23.0,1815742.7297862414,Moutou et al. 2015
HD 113538,HD 113538 c,0.93,True,0.9,2.5593046652474523,1.9596545041740512,2.3801533386801306,1.8224786888818676,23.0,1815742.7297862414,Moutou et al. 2015
HD 155358,HD 155358 b,0.85,True,0.5,2.5593046652474523,2.156635402437404,2.1754089654603344,1.8331400920717933,23.0,531964.4278541303,Robertson et al. 2012
HD 155358,HD 155358 c,0.82,True,0.5,2.5593046652474523,2.156635402437404,2.0986298255029108,1.768441029998671,23.0,531964.4278541303,Robertson et al. 2012
HD 47366,HD 47366 b,2.082,True,0.25,1.035276180410083,1.7299484676786179,2.1554450076137925,3.601752709706882,75.00000000000003,985845.3578200554,Teng et al. 2023
HD 47366,HD 47366 c,1.522,True,0.25,1.035276180410083,1.7299484676786179,1.5756903465841463,2.6329815678068567,75.00000000000003,985845.3578200554,Teng et al. 2023
HD 5319,HD 5319 b,1.556,True,0.0,1.0,1.1367308506407168,1.556,1.7687532035969553,90.0,1744284.7375515215,Luhn et al. 2019
HD 5319,HD 5319 c,1.053,True,0.0,1.0,1.1367308506407168,1.053,1.1969775857246747,90.0,1744284.7375515215,Luhn et al. 2019
BD-210397,BD-210397 b,0.7,True,0.45,,2.9921651744703697,,2.0945156221292587,,5177276.098235302,Frensch et al. 2023
BD-210397,BD-210397 c,2.4,True,0.45,,2.9921651744703697,,7.181196418728887,,5177276.098235302,Frensch et al. 2023
HD 81817,HD 81817 c,22.609,True,0.0,1.0,,22.609,,90.0,292.447477263171,Feng et al. 2022
HD 81817,HD 81817 b,24.128,False,0.0,1.0,,,,90.0,292.447477263171,Feng et al. 2022
HD 37124,HD 37124 b,0.675,True,0.65,3.6279552785433005,2.4716630052173176,2.448869813016728,1.6683725285216895,16.0,422663.9490394156,Wright et al. 2011
HD 37124,HD 37124 c,0.652,True,0.65,3.6279552785433005,2.4716630052173176,2.365426841610232,1.611524279401691,16.0,422663.9490394156,Wright et al. 2011
HD 37124,HD 37124 d,0.696,True,0.65,3.6279552785433005,2.4716630052173176,2.525056873866137,1.720277451631253,16.0,422663.9490394156,Wright et al. 2011
NY Vir,NY Vir b,2.66,True,0.3,1.035276180410083,1.1766570766956292,2.7538346398908207,3.129907824010374,75.00000000000003,8651608.877788153,Song et al. 2019
NY Vir,NY Vir c,5.54,True,0.3,1.035276180410083,1.1766570766956292,5.73543003947186,6.518680204893786,75.00000000000003,8651608.877788153,Song et al. 2019
HD 114386,HD 114386 c,0.37,True,1.0,11.473713245669856,3.098816822595088,4.245273900897847,1.1465622243601825,5.0,1215605.803491091,Wu et al. 2026
HD 114386,HD 114386 b,1.46,False,1.0,11.473713245669856,3.098816822595088,,,5.0,1215605.803491091,Wu et al. 2026
HD 93385,HD 93385 b,0.01321468,True,0.15,3.6279552785433005,2.207404675496004,0.04794226806026058,0.029170146417183532,16.0,20102.943784549752,Unger et al. 2021
HD 93385,HD 93385 c,0.0223391,True,0.15,3.6279552785433005,2.207404675496004,0.08104525576290665,0.04931143378637278,16.0,20102.943784549752,Unger et al. 2021
HD 93385,HD 93385 d,0.02737326,True,0.15,3.6279552785433005,2.207404675496004,0.09930896310793819,0.06042386210756775,16.0,20102.943784549752,Unger et al. 2021
HD 45364,HD 45364 b,0.1893,True,1.0,4.445411482585801,2.278041744459796,0.8415163936534921,0.4312333022262394,13.000000000000002,618179.3570274448,Li et al. 2022
HD 45364,HD 45364 c,0.549,True,1.0,4.445411482585801,2.278041744459796,2.440530903939605,1.250644917708428,13.000000000000002,618179.3570274448,Li et al. 2022
HD 73526,HD 73526 b,2.25,True,0.85,2.5593046652474523,2.0032971354417017,5.758435496806768,4.507418554743829,23.0,517180.0291497867,Wittenmyer et al. 2014
HD 73526,HD 73526 c,2.25,True,0.85,2.5593046652474523,2.0032971354417017,5.758435496806768,4.507418554743829,23.0,517180.0291497867,Wittenmyer et al. 2014
gam Lib,gam Lib b,1.126,True,1.0,2.5593046652474523,2.13478540535212,2.881777053068631,2.403768366426487,23.0,1135879.5888058715,Teng et al. 2023
gam Lib,gam Lib c,5.231,True,1.0,2.5593046652474523,2.13478540535212,13.387722703909423,11.167062455396938,23.0,1135879.5888058715,Teng et al. 2023
ups And,ups And b,0.6876,True,1.0,9.566772233505626,3.017751702496436,6.5781125877584685,2.0750060706365496,6.000000000000001,12640.748042540376,Curiel et al. 2011
ups And,ups And c,1.981,True,1.0,9.566772233505626,3.017751702496436,18.951775794574644,5.97816612264544,6.000000000000001,12640.748042540376,Curiel et al. 2011
ups And,ups And d,4.132,True,1.0,9.566772233505626,3.017751702496436,39.52990286884524,12.469350034715273,6.000000000000001,12640.748042540376,Curiel et al. 2011
HD 160691,HD 160691 d,0.032,True,1.0,9.566772233505626,2.862628000128954,0.30613671147218,0.09160409600412653,6.000000000000001,26384.395404721807,Gozdziewski et al. 2007
HD 160691,HD 160691 e,0.48,True,1.0,9.566772233505626,2.862628000128954,4.5920506720827,1.374061440061898,6.000000000000001,26384.395404721807,Gozdziewski et al. 2007
HD 160691,HD 160691 b,1.677,True,1.0,9.566772233505626,2.862628000128954,16.043477035588936,4.800627156216256,6.000000000000001,26384.395404721807,Gozdziewski et al. 2007
HD 160691,HD 160691 c,2.423,True,1.0,9.566772233505626,2.862628000128954,23.18028912178413,6.936147644312456,6.000000000000001,26384.395404721807,Gozdziewski et al. 2007
