system,variant,edge_on_survival,m95_factor
Barnard's star,baseline,0.6,2.085172471910934
Barnard's star,dt_half,0.7,2.0503558932190886
Barnard's star,rcoll_050,0.6,2.0541298256838068
Barnard's star,rcoll_025,0.6,2.0541298256838068
Barnard's star,mutinc_2deg,0.8,2.217061925905556
Barnard's star,mutinc_5deg,0.8,2.374560172012963
K2-18,baseline,1.0,2.9672447459630056
K2-18,dt_half,1.0,2.955025456213378
K2-18,rcoll_050,1.0,2.9796234971089235
K2-18,rcoll_025,1.0,2.9921651744703697
K2-18,mutinc_2deg,0.9,3.030804031055452
K2-18,mutinc_5deg,1.0,3.084833312604798
YZ Cet,baseline,1.0,2.896206603656445
YZ Cet,dt_half,0.9,2.955025456213378
YZ Cet,rcoll_050,1.0,2.907677112452296
YZ Cet,rcoll_025,1.0,2.907677112452296
YZ Cet,mutinc_2deg,1.0,2.8196995629187587
YZ Cet,mutinc_5deg,1.0,2.4997832313214556
HD 147873,baseline,1.0,2.543946663237219
HD 147873,dt_half,1.0,2.5142319410837266
HD 147873,rcoll_050,1.0,2.543946663237219
HD 147873,rcoll_025,1.0,2.543946663237219
HD 147873,mutinc_2deg,1.0,2.283372838879413
HD 147873,mutinc_5deg,1.0,2.3162301254482913
HIP 111909,baseline,1.0,2.3390037142659996
HIP 111909,dt_half,1.0,2.36851309264076
HIP 111909,rcoll_050,1.0,2.3390037142659996
HIP 111909,rcoll_025,1.0,2.3390037142659996
HIP 111909,mutinc_2deg,1.0,2.3162301254482913
HIP 111909,mutinc_5deg,1.0,2.418326647207642
HD 50499,baseline,1.0,2.6402807063321334
HD 50499,dt_half,1.0,2.6574911308893667
HD 50499,rcoll_050,1.0,2.7021204969463115
HD 50499,rcoll_025,1.0,2.720647808954717
HD 50499,mutinc_2deg,1.0,2.768779445815037
HD 50499,mutinc_5deg,1.0,2.631806779839077
