system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
47 UMa,90.0,1.0,0,True,295140.3557166463,survived
47 UMa,90.0,1.0,1,True,295140.3557166463,survived
47 UMa,90.0,1.0,2,True,295140.3557166463,survived
47 UMa,90.0,1.0,3,True,295140.3557166463,survived
47 UMa,90.0,1.0,4,True,295140.3557166463,survived
47 UMa,70.0,1.0641777724759123,0,True,295140.3557166463,survived
47 UMa,70.0,1.0641777724759123,1,True,295140.3557166463,survived
47 UMa,70.0,1.0641777724759123,2,True,295140.3557166463,survived
47 UMa,70.0,1.0641777724759123,3,True,295140.3557166463,survived
47 UMa,70.0,1.0641777724759123,4,True,295140.3557166463,survived
47 UMa,55.0,1.220774588761456,0,True,295140.3557166463,survived
47 UMa,55.0,1.220774588761456,1,True,295140.3557166463,survived
47 UMa,55.0,1.220774588761456,2,True,295140.3557166463,survived
47 UMa,55.0,1.220774588761456,3,True,295140.3557166463,survived
47 UMa,55.0,1.220774588761456,4,True,295140.3557166463,survived
47 UMa,40.0,1.5557238268604126,0,True,295140.3557166463,survived
47 UMa,40.0,1.5557238268604126,1,True,295140.3557166463,survived
47 UMa,40.0,1.5557238268604126,2,True,295140.3557166463,survived
47 UMa,40.0,1.5557238268604126,3,True,295140.3557166463,survived
47 UMa,40.0,1.5557238268604126,4,True,295140.3557166463,survived
47 UMa,30.0,2.0000000000000004,0,True,295140.3557166463,survived
47 UMa,30.0,2.0000000000000004,1,True,295140.3557166463,survived
47 UMa,30.0,2.0000000000000004,2,True,295140.3557166463,survived
47 UMa,30.0,2.0000000000000004,3,True,295140.3557166463,survived
47 UMa,30.0,2.0000000000000004,4,True,295140.3557166463,survived
47 UMa,22.0,2.6694671625540143,0,True,295140.3557166463,survived
47 UMa,22.0,2.6694671625540143,1,True,295140.3557166463,survived
47 UMa,22.0,2.6694671625540143,2,True,295140.3557166463,survived
47 UMa,22.0,2.6694671625540143,3,True,295140.3557166463,survived
47 UMa,22.0,2.6694671625540143,4,True,295140.3557166463,survived
47 UMa,16.0,3.6279552785433005,0,True,295140.3557166463,survived
47 UMa,16.0,3.6279552785433005,1,True,295140.3557166463,survived
47 UMa,16.0,3.6279552785433005,2,False,31326.080359880205,close_encounter
47 UMa,16.0,3.6279552785433005,3,True,295140.3557166463,survived
47 UMa,16.0,3.6279552785433005,4,False,115739.33457899175,close_encounter
47 UMa,12.0,4.809734344744131,0,True,295140.3557166463,survived
47 UMa,12.0,4.809734344744131,1,False,73041.85837990197,close_encounter
47 UMa,12.0,4.809734344744131,2,False,4648.625495725467,close_encounter
47 UMa,12.0,4.809734344744131,3,False,21395.53917374097,close_encounter
47 UMa,12.0,4.809734344744131,4,True,295140.3557166463,survived
47 UMa,9.0,6.392453221499662,0,False,1288.505216616384,close_encounter
47 UMa,9.0,6.392453221499662,1,False,79095.21878362214,close_encounter
47 UMa,9.0,6.392453221499662,2,False,5287.959072338618,close_encounter
47 UMa,9.0,6.392453221499662,3,False,4581.72666467076,close_encounter
47 UMa,9.0,6.392453221499662,4,False,6904.493431143733,close_encounter
47 UMa,7.0,8.205509048125078,0,False,963.0058621569294,close_encounter
47 UMa,7.0,8.205509048125078,1,False,126.91101773607704,close_encounter
47 UMa,7.0,8.205509048125078,2,False,1662.9138005023885,close_encounter
47 UMa,7.0,8.205509048125078,3,False,70.13133759723144,close_encounter
47 UMa,7.0,8.205509048125078,4,False,90.93181447977884,close_encounter
47 UMa,5.0,11.473713245669856,0,False,819.7917679452783,close_encounter
47 UMa,5.0,11.473713245669856,1,False,103.15912183641143,close_encounter
47 UMa,5.0,11.473713245669856,2,False,495.13567606215724,close_encounter
47 UMa,5.0,11.473713245669856,3,False,34.292678103656144,close_encounter
47 UMa,5.0,11.473713245669856,4,False,62.682518173076076,close_encounter
