system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
GJ 667 C,90.0,1.0,0,True,1972.073941626745,survived
GJ 667 C,90.0,1.0,1,True,1972.073941626745,survived
GJ 667 C,90.0,1.0,2,True,1972.073941626745,survived
GJ 667 C,90.0,1.0,3,True,1972.073941626745,survived
GJ 667 C,90.0,1.0,4,True,1972.073941626745,survived
GJ 667 C,70.0,1.0641777724759123,0,True,1972.073941626745,survived
GJ 667 C,70.0,1.0641777724759123,1,True,1972.073941626745,survived
GJ 667 C,70.0,1.0641777724759123,2,True,1972.073941626745,survived
GJ 667 C,70.0,1.0641777724759123,3,True,1972.073941626745,survived
GJ 667 C,70.0,1.0641777724759123,4,True,1972.073941626745,survived
GJ 667 C,55.0,1.220774588761456,0,True,1972.073941626745,survived
GJ 667 C,55.0,1.220774588761456,1,True,1972.073941626745,survived
GJ 667 C,55.0,1.220774588761456,2,True,1972.073941626745,survived
GJ 667 C,55.0,1.220774588761456,3,True,1972.073941626745,survived
GJ 667 C,55.0,1.220774588761456,4,True,1972.073941626745,survived
GJ 667 C,40.0,1.5557238268604126,0,True,1972.073941626745,survived
GJ 667 C,40.0,1.5557238268604126,1,True,1972.073941626745,survived
GJ 667 C,40.0,1.5557238268604126,2,True,1972.073941626745,survived
GJ 667 C,40.0,1.5557238268604126,3,True,1972.073941626745,survived
GJ 667 C,40.0,1.5557238268604126,4,True,1972.073941626745,survived
GJ 667 C,30.0,2.0000000000000004,0,True,1972.073941626745,survived
GJ 667 C,30.0,2.0000000000000004,1,True,1972.073941626745,survived
GJ 667 C,30.0,2.0000000000000004,2,True,1972.073941626745,survived
GJ 667 C,30.0,2.0000000000000004,3,True,1972.073941626745,survived
GJ 667 C,30.0,2.0000000000000004,4,True,1972.073941626745,survived
GJ 667 C,22.0,2.6694671625540143,0,True,1972.073941626745,survived
GJ 667 C,22.0,2.6694671625540143,1,True,1972.073941626745,survived
GJ 667 C,22.0,2.6694671625540143,2,True,1972.073941626745,survived
GJ 667 C,22.0,2.6694671625540143,3,True,1972.073941626745,survived
GJ 667 C,22.0,2.6694671625540143,4,True,1972.073941626745,survived
GJ 667 C,16.0,3.6279552785433005,0,False,1082.2920663193247,close_encounter
GJ 667 C,16.0,3.6279552785433005,1,True,1972.073941626745,survived
GJ 667 C,16.0,3.6279552785433005,2,True,1972.073941626745,survived
GJ 667 C,16.0,3.6279552785433005,3,False,635.7081599642172,close_encounter
GJ 667 C,16.0,3.6279552785433005,4,False,1331.6075483913735,close_encounter
GJ 667 C,12.0,4.809734344744131,0,False,318.0417564537173,close_encounter
GJ 667 C,12.0,4.809734344744131,1,False,924.8293966499093,close_encounter
GJ 667 C,12.0,4.809734344744131,2,False,791.1402549628172,close_encounter
GJ 667 C,12.0,4.809734344744131,3,False,137.16327293478733,close_encounter
GJ 667 C,12.0,4.809734344744131,4,False,1288.189374627426,close_encounter
GJ 667 C,9.0,6.392453221499662,0,False,180.32250962987624,close_encounter
GJ 667 C,9.0,6.392453221499662,1,False,405.8432972374816,close_encounter
GJ 667 C,9.0,6.392453221499662,2,False,519.0601822883152,close_encounter
GJ 667 C,9.0,6.392453221499662,3,False,417.15468470369376,close_encounter
GJ 667 C,9.0,6.392453221499662,4,False,245.93871686276876,close_encounter
GJ 667 C,7.0,8.205509048125078,0,False,273.9074488081353,close_encounter
GJ 667 C,7.0,8.205509048125078,1,False,1113.5606584879135,close_encounter
GJ 667 C,7.0,8.205509048125078,2,False,14.106073453482093,close_encounter
GJ 667 C,7.0,8.205509048125078,3,False,327.5165956680239,close_encounter
GJ 667 C,7.0,8.205509048125078,4,False,1938.886251784557,close_encounter
GJ 667 C,5.0,11.473713245669856,0,False,63.56446604176185,close_encounter
GJ 667 C,5.0,11.473713245669856,1,False,32.84902555123273,close_encounter
GJ 667 C,5.0,11.473713245669856,2,False,77.8236439785807,close_encounter
GJ 667 C,5.0,11.473713245669856,3,False,490.685758740227,close_encounter
GJ 667 C,5.0,11.473713245669856,4,False,12.381707749469708,close_encounter
