system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
HD 191939,90.0,1.0,0,True,2431.3008854528825,survived
HD 191939,90.0,1.0,1,True,2431.3008854528825,survived
HD 191939,90.0,1.0,2,True,2431.3008854528825,survived
HD 191939,90.0,1.0,3,True,2431.3008854528825,survived
HD 191939,90.0,1.0,4,True,2431.3008854528825,survived
HD 191939,70.0,1.0641777724759123,0,True,2431.3008854528825,survived
HD 191939,70.0,1.0641777724759123,1,True,2431.3008854528825,survived
HD 191939,70.0,1.0641777724759123,2,True,2431.3008854528825,survived
HD 191939,70.0,1.0641777724759123,3,True,2431.3008854528825,survived
HD 191939,70.0,1.0641777724759123,4,True,2431.3008854528825,survived
HD 191939,55.0,1.220774588761456,0,True,2431.3008854528825,survived
HD 191939,55.0,1.220774588761456,1,True,2431.3008854528825,survived
HD 191939,55.0,1.220774588761456,2,True,2431.3008854528825,survived
HD 191939,55.0,1.220774588761456,3,True,2431.3008854528825,survived
HD 191939,55.0,1.220774588761456,4,True,2431.3008854528825,survived
HD 191939,40.0,1.5557238268604126,0,True,2431.3008854528825,survived
HD 191939,40.0,1.5557238268604126,1,True,2431.3008854528825,survived
HD 191939,40.0,1.5557238268604126,2,True,2431.3008854528825,survived
HD 191939,40.0,1.5557238268604126,3,True,2431.3008854528825,survived
HD 191939,40.0,1.5557238268604126,4,True,2431.3008854528825,survived
HD 191939,30.0,2.0000000000000004,0,True,2431.3008854528825,survived
HD 191939,30.0,2.0000000000000004,1,True,2431.3008854528825,survived
HD 191939,30.0,2.0000000000000004,2,True,2431.3008854528825,survived
HD 191939,30.0,2.0000000000000004,3,True,2431.3008854528825,survived
HD 191939,30.0,2.0000000000000004,4,True,2431.3008854528825,survived
HD 191939,22.0,2.6694671625540143,0,True,2431.3008854528825,survived
HD 191939,22.0,2.6694671625540143,1,True,2431.3008854528825,survived
HD 191939,22.0,2.6694671625540143,2,True,2431.3008854528825,survived
HD 191939,22.0,2.6694671625540143,3,True,2431.3008854528825,survived
HD 191939,22.0,2.6694671625540143,4,True,2431.3008854528825,survived
HD 191939,16.0,3.6279552785433005,0,True,2431.3008854528825,survived
HD 191939,16.0,3.6279552785433005,1,True,2431.3008854528825,survived
HD 191939,16.0,3.6279552785433005,2,True,2431.3008854528825,survived
HD 191939,16.0,3.6279552785433005,3,True,2431.3008854528825,survived
HD 191939,16.0,3.6279552785433005,4,True,2431.3008854528825,survived
HD 191939,12.0,4.809734344744131,0,True,2431.3008854528825,survived
HD 191939,12.0,4.809734344744131,1,True,2431.3008854528825,survived
HD 191939,12.0,4.809734344744131,2,True,2431.3008854528825,survived
HD 191939,12.0,4.809734344744131,3,True,2431.3008854528825,survived
HD 191939,12.0,4.809734344744131,4,True,2431.3008854528825,survived
HD 191939,9.0,6.392453221499662,0,True,2431.3008854528825,survived
HD 191939,9.0,6.392453221499662,1,True,2431.3008854528825,survived
HD 191939,9.0,6.392453221499662,2,True,2431.3008854528825,survived
HD 191939,9.0,6.392453221499662,3,True,2431.3008854528825,survived
HD 191939,9.0,6.392453221499662,4,True,2431.3008854528825,survived
HD 191939,7.0,8.205509048125078,0,True,2431.3008854528825,survived
HD 191939,7.0,8.205509048125078,1,True,2431.3008854528825,survived
HD 191939,7.0,8.205509048125078,2,True,2431.3008854528825,survived
HD 191939,7.0,8.205509048125078,3,True,2431.3008854528825,survived
HD 191939,7.0,8.205509048125078,4,True,2431.3008854528825,survived
HD 191939,5.0,11.473713245669856,0,True,2431.3008854528825,survived
HD 191939,5.0,11.473713245669856,1,True,2431.3008854528825,survived
HD 191939,5.0,11.473713245669856,2,True,2431.3008854528825,survived
HD 191939,5.0,11.473713245669856,3,True,2431.3008854528825,survived
HD 191939,5.0,11.473713245669856,4,True,2431.3008854528825,survived
