system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
HIP 57274,90.0,1.0,0,False,160.87934981087793,close_encounter
HIP 57274,90.0,1.0,1,True,2227.2970013603954,survived
HIP 57274,90.0,1.0,2,True,2227.2970013603954,survived
HIP 57274,90.0,1.0,3,False,140.5181636552633,close_encounter
HIP 57274,90.0,1.0,4,False,2111.672579738348,close_encounter
HIP 57274,70.0,1.0641777724759123,0,False,79.99802876234855,close_encounter
HIP 57274,70.0,1.0641777724759123,1,False,582.7382843596644,close_encounter
HIP 57274,70.0,1.0641777724759123,2,False,174.08651792808442,close_encounter
HIP 57274,70.0,1.0641777724759123,3,False,465.6151885417993,close_encounter
HIP 57274,70.0,1.0641777724759123,4,False,175.4455540375142,close_encounter
HIP 57274,55.0,1.220774588761456,0,False,618.668308908669,close_encounter
HIP 57274,55.0,1.220774588761456,1,True,2227.2970013603954,survived
HIP 57274,55.0,1.220774588761456,2,True,2227.2970013603954,survived
HIP 57274,55.0,1.220774588761456,3,False,189.53601444089728,close_encounter
HIP 57274,55.0,1.220774588761456,4,False,48.728832352902685,close_encounter
HIP 57274,40.0,1.5557238268604126,0,False,593.2785267782587,close_encounter
HIP 57274,40.0,1.5557238268604126,1,False,383.2514302539438,close_encounter
HIP 57274,40.0,1.5557238268604126,2,False,99.39149028022314,close_encounter
HIP 57274,40.0,1.5557238268604126,3,True,2227.2970013603954,survived
HIP 57274,40.0,1.5557238268604126,4,False,1027.8315405416495,escape
HIP 57274,30.0,2.0000000000000004,0,True,2227.2970013603954,survived
HIP 57274,30.0,2.0000000000000004,1,True,2227.2970013603954,survived
HIP 57274,30.0,2.0000000000000004,2,True,2227.2970013603954,survived
HIP 57274,30.0,2.0000000000000004,3,False,25.618723696779057,close_encounter
HIP 57274,30.0,2.0000000000000004,4,False,1324.8775404626638,close_encounter
HIP 57274,22.0,2.6694671625540143,0,False,183.1946577797527,escape
HIP 57274,22.0,2.6694671625540143,1,True,2227.2970013603954,survived
HIP 57274,22.0,2.6694671625540143,2,False,1058.5746584493397,close_encounter
HIP 57274,22.0,2.6694671625540143,3,False,94.28739229952666,close_encounter
HIP 57274,22.0,2.6694671625540143,4,False,121.88134589677378,close_encounter
HIP 57274,16.0,3.6279552785433005,0,False,108.9640080614212,close_encounter
HIP 57274,16.0,3.6279552785433005,1,False,1716.147608395837,escape
HIP 57274,16.0,3.6279552785433005,2,False,151.62182964610625,close_encounter
HIP 57274,16.0,3.6279552785433005,3,False,77.10134964748852,close_encounter
HIP 57274,16.0,3.6279552785433005,4,False,16.28732522514676,close_encounter
HIP 57274,12.0,4.809734344744131,0,False,1467.1436161146632,close_encounter
HIP 57274,12.0,4.809734344744131,1,False,444.330929473149,close_encounter
HIP 57274,12.0,4.809734344744131,2,False,1184.2359757152087,close_encounter
HIP 57274,12.0,4.809734344744131,3,False,441.05105738109626,close_encounter
HIP 57274,12.0,4.809734344744131,4,True,2227.2970013603954,survived
HIP 57274,9.0,6.392453221499662,0,False,339.36609218265573,close_encounter
HIP 57274,9.0,6.392453221499662,1,False,212.57792773709562,close_encounter
HIP 57274,9.0,6.392453221499662,2,False,611.4696391462354,close_encounter
HIP 57274,9.0,6.392453221499662,3,False,76.0362030671364,close_encounter
HIP 57274,9.0,6.392453221499662,4,False,312.3883323759941,close_encounter
HIP 57274,7.0,8.205509048125078,0,False,290.23945356030515,close_encounter
HIP 57274,7.0,8.205509048125078,1,False,192.95065355455418,close_encounter
HIP 57274,7.0,8.205509048125078,2,True,2227.2970013603954,survived
HIP 57274,7.0,8.205509048125078,3,True,2227.2970013603954,survived
HIP 57274,7.0,8.205509048125078,4,False,548.4611854491299,close_encounter
HIP 57274,5.0,11.473713245669856,0,True,2227.2970013603954,survived
HIP 57274,5.0,11.473713245669856,1,False,32.60631258187904,close_encounter
HIP 57274,5.0,11.473713245669856,2,False,201.86882061673228,close_encounter
HIP 57274,5.0,11.473713245669856,3,False,478.9887858121916,close_encounter
HIP 57274,5.0,11.473713245669856,4,False,28.7484036261459,close_encounter
