system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
HD 48948,90.0,1.0,0,True,20096.180932648178,survived
HD 48948,90.0,1.0,1,True,20096.180932648178,survived
HD 48948,90.0,1.0,2,True,20096.180932648178,survived
HD 48948,90.0,1.0,3,True,20096.180932648178,survived
HD 48948,90.0,1.0,4,True,20096.180932648178,survived
HD 48948,70.0,1.0641777724759123,0,True,20096.180932648178,survived
HD 48948,70.0,1.0641777724759123,1,True,20096.180932648178,survived
HD 48948,70.0,1.0641777724759123,2,True,20096.180932648178,survived
HD 48948,70.0,1.0641777724759123,3,True,20096.180932648178,survived
HD 48948,70.0,1.0641777724759123,4,True,20096.180932648178,survived
HD 48948,55.0,1.220774588761456,0,True,20096.180932648178,survived
HD 48948,55.0,1.220774588761456,1,True,20096.180932648178,survived
HD 48948,55.0,1.220774588761456,2,True,20096.180932648178,survived
HD 48948,55.0,1.220774588761456,3,True,20096.180932648178,survived
HD 48948,55.0,1.220774588761456,4,True,20096.180932648178,survived
HD 48948,40.0,1.5557238268604126,0,True,20096.180932648178,survived
HD 48948,40.0,1.5557238268604126,1,True,20096.180932648178,survived
HD 48948,40.0,1.5557238268604126,2,True,20096.180932648178,survived
HD 48948,40.0,1.5557238268604126,3,True,20096.180932648178,survived
HD 48948,40.0,1.5557238268604126,4,True,20096.180932648178,survived
HD 48948,30.0,2.0000000000000004,0,True,20096.180932648178,survived
HD 48948,30.0,2.0000000000000004,1,True,20096.180932648178,survived
HD 48948,30.0,2.0000000000000004,2,True,20096.180932648178,survived
HD 48948,30.0,2.0000000000000004,3,True,20096.180932648178,survived
HD 48948,30.0,2.0000000000000004,4,True,20096.180932648178,survived
HD 48948,22.0,2.6694671625540143,0,True,20096.180932648178,survived
HD 48948,22.0,2.6694671625540143,1,False,7353.03695310499,close_encounter
HD 48948,22.0,2.6694671625540143,2,True,20096.180932648178,survived
HD 48948,22.0,2.6694671625540143,3,True,20096.180932648178,survived
HD 48948,22.0,2.6694671625540143,4,True,20096.180932648178,survived
HD 48948,16.0,3.6279552785433005,0,True,20096.180932648178,survived
HD 48948,16.0,3.6279552785433005,1,True,20096.180932648178,survived
HD 48948,16.0,3.6279552785433005,2,True,20096.180932648178,survived
HD 48948,16.0,3.6279552785433005,3,True,20096.180932648178,survived
HD 48948,16.0,3.6279552785433005,4,True,20096.180932648178,survived
HD 48948,12.0,4.809734344744131,0,False,18323.036386931944,close_encounter
HD 48948,12.0,4.809734344744131,1,False,10595.027317039136,close_encounter
HD 48948,12.0,4.809734344744131,2,True,20096.180932648178,survived
HD 48948,12.0,4.809734344744131,3,True,20096.180932648178,survived
HD 48948,12.0,4.809734344744131,4,True,20096.180932648178,survived
HD 48948,9.0,6.392453221499662,0,False,4293.191804929972,close_encounter
HD 48948,9.0,6.392453221499662,1,True,20096.180932648178,survived
HD 48948,9.0,6.392453221499662,2,True,20096.180932648178,survived
HD 48948,9.0,6.392453221499662,3,False,8266.198048007956,close_encounter
HD 48948,9.0,6.392453221499662,4,False,13431.454353282044,close_encounter
HD 48948,7.0,8.205509048125078,0,False,4034.4573050292315,close_encounter
HD 48948,7.0,8.205509048125078,1,False,16521.99688366817,close_encounter
HD 48948,7.0,8.205509048125078,2,True,20096.180932648178,survived
HD 48948,7.0,8.205509048125078,3,True,20096.180932648178,survived
HD 48948,7.0,8.205509048125078,4,False,3735.7911086298413,close_encounter
HD 48948,5.0,11.473713245669856,0,False,11064.217364575297,close_encounter
HD 48948,5.0,11.473713245669856,1,False,13501.798199404662,close_encounter
HD 48948,5.0,11.473713245669856,2,False,2714.6750504702673,close_encounter
HD 48948,5.0,11.473713245669856,3,False,2841.3866488703584,close_encounter
HD 48948,5.0,11.473713245669856,4,False,2304.588713853356,close_encounter
