system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
HIP 65407,90.0,1.0,0,True,77002.05603510691,survived
HIP 65407,90.0,1.0,1,True,77002.05603510691,survived
HIP 65407,90.0,1.0,2,True,77002.05603510691,survived
HIP 65407,90.0,1.0,3,True,77002.05603510691,survived
HIP 65407,90.0,1.0,4,True,77002.05603510691,survived
HIP 65407,70.0,1.0641777724759123,0,True,77002.05603510691,survived
HIP 65407,70.0,1.0641777724759123,1,True,77002.05603510691,survived
HIP 65407,70.0,1.0641777724759123,2,True,77002.05603510691,survived
HIP 65407,70.0,1.0641777724759123,3,True,77002.05603510691,survived
HIP 65407,70.0,1.0641777724759123,4,True,77002.05603510691,survived
HIP 65407,55.0,1.220774588761456,0,True,77002.05603510691,survived
HIP 65407,55.0,1.220774588761456,1,True,77002.05603510691,survived
HIP 65407,55.0,1.220774588761456,2,True,77002.05603510691,survived
HIP 65407,55.0,1.220774588761456,3,True,77002.05603510691,survived
HIP 65407,55.0,1.220774588761456,4,True,77002.05603510691,survived
HIP 65407,40.0,1.5557238268604126,0,True,77002.05603510691,survived
HIP 65407,40.0,1.5557238268604126,1,True,77002.05603510691,survived
HIP 65407,40.0,1.5557238268604126,2,True,77002.05603510691,survived
HIP 65407,40.0,1.5557238268604126,3,True,77002.05603510691,survived
HIP 65407,40.0,1.5557238268604126,4,True,77002.05603510691,survived
HIP 65407,30.0,2.0000000000000004,0,True,77002.05603510691,survived
HIP 65407,30.0,2.0000000000000004,1,True,77002.05603510691,survived
HIP 65407,30.0,2.0000000000000004,2,True,77002.05603510691,survived
HIP 65407,30.0,2.0000000000000004,3,True,77002.05603510691,survived
HIP 65407,30.0,2.0000000000000004,4,True,77002.05603510691,survived
HIP 65407,22.0,2.6694671625540143,0,True,77002.05603510691,survived
HIP 65407,22.0,2.6694671625540143,1,True,77002.05603510691,survived
HIP 65407,22.0,2.6694671625540143,2,True,77002.05603510691,survived
HIP 65407,22.0,2.6694671625540143,3,True,77002.05603510691,survived
HIP 65407,22.0,2.6694671625540143,4,True,77002.05603510691,survived
HIP 65407,16.0,3.6279552785433005,0,True,77002.05603510691,survived
HIP 65407,16.0,3.6279552785433005,1,True,77002.05603510691,survived
HIP 65407,16.0,3.6279552785433005,2,True,77002.05603510691,survived
HIP 65407,16.0,3.6279552785433005,3,True,77002.05603510691,survived
HIP 65407,16.0,3.6279552785433005,4,True,77002.05603510691,survived
HIP 65407,12.0,4.809734344744131,0,True,77002.05603510691,survived
HIP 65407,12.0,4.809734344744131,1,False,8814.607037945858,close_encounter
HIP 65407,12.0,4.809734344744131,2,True,77002.05603510691,survived
HIP 65407,12.0,4.809734344744131,3,False,38425.67916591753,close_encounter
HIP 65407,12.0,4.809734344744131,4,False,33024.6939624813,close_encounter
HIP 65407,9.0,6.392453221499662,0,False,2793.383700890107,close_encounter
HIP 65407,9.0,6.392453221499662,1,False,3456.0879039808246,close_encounter
HIP 65407,9.0,6.392453221499662,2,False,1775.9480232355859,close_encounter
HIP 65407,9.0,6.392453221499662,3,False,1284.2903100309254,close_encounter
HIP 65407,9.0,6.392453221499662,4,False,685.8624945676169,close_encounter
HIP 65407,7.0,8.205509048125078,0,False,307.899034679733,close_encounter
HIP 65407,7.0,8.205509048125078,1,False,7087.321518097197,close_encounter
HIP 65407,7.0,8.205509048125078,2,False,200.5270993357665,close_encounter
HIP 65407,7.0,8.205509048125078,3,False,106.22968071264792,close_encounter
HIP 65407,7.0,8.205509048125078,4,False,86.15731908648947,close_encounter
HIP 65407,5.0,11.473713245669856,0,False,131.12284817528624,close_encounter
HIP 65407,5.0,11.473713245669856,1,False,31.009756778732715,close_encounter
HIP 65407,5.0,11.473713245669856,2,False,2.9446833103086263,close_encounter
HIP 65407,5.0,11.473713245669856,3,False,7.91287684115219,close_encounter
HIP 65407,5.0,11.473713245669856,4,False,19.87277412337449,close_encounter
