system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
K2-18,90.0,1.0,0,True,24536.618778330387,survived
K2-18,90.0,1.0,1,True,24536.618778330387,survived
K2-18,90.0,1.0,2,True,24536.618778330387,survived
K2-18,90.0,1.0,3,True,24536.618778330387,survived
K2-18,90.0,1.0,4,True,24536.618778330387,survived
K2-18,70.0,1.0641777724759123,0,True,24536.618778330387,survived
K2-18,70.0,1.0641777724759123,1,True,24536.618778330387,survived
K2-18,70.0,1.0641777724759123,2,True,24536.618778330387,survived
K2-18,70.0,1.0641777724759123,3,True,24536.618778330387,survived
K2-18,70.0,1.0641777724759123,4,True,24536.618778330387,survived
K2-18,55.0,1.220774588761456,0,True,24536.618778330387,survived
K2-18,55.0,1.220774588761456,1,True,24536.618778330387,survived
K2-18,55.0,1.220774588761456,2,True,24536.618778330387,survived
K2-18,55.0,1.220774588761456,3,True,24536.618778330387,survived
K2-18,55.0,1.220774588761456,4,True,24536.618778330387,survived
K2-18,40.0,1.5557238268604126,0,True,24536.618778330387,survived
K2-18,40.0,1.5557238268604126,1,True,24536.618778330387,survived
K2-18,40.0,1.5557238268604126,2,True,24536.618778330387,survived
K2-18,40.0,1.5557238268604126,3,False,20154.323584962196,close_encounter
K2-18,40.0,1.5557238268604126,4,True,24536.618778330387,survived
K2-18,30.0,2.0000000000000004,0,False,518.1372812152327,close_encounter
K2-18,30.0,2.0000000000000004,1,True,24536.618778330387,survived
K2-18,30.0,2.0000000000000004,2,False,1379.3723413249043,close_encounter
K2-18,30.0,2.0000000000000004,3,True,24536.618778330387,survived
K2-18,30.0,2.0000000000000004,4,False,18158.62615508793,close_encounter
K2-18,22.0,2.6694671625540143,0,True,24536.618778330387,survived
K2-18,22.0,2.6694671625540143,1,True,24536.618778330387,survived
K2-18,22.0,2.6694671625540143,2,True,24536.618778330387,survived
K2-18,22.0,2.6694671625540143,3,False,6885.4686949933985,close_encounter
K2-18,22.0,2.6694671625540143,4,True,24536.618778330387,survived
K2-18,16.0,3.6279552785433005,0,True,24536.618778330387,survived
K2-18,16.0,3.6279552785433005,1,False,661.0739398474012,close_encounter
K2-18,16.0,3.6279552785433005,2,True,24536.618778330387,survived
K2-18,16.0,3.6279552785433005,3,False,13572.389053605502,escape
K2-18,16.0,3.6279552785433005,4,False,925.6476088445576,close_encounter
K2-18,12.0,4.809734344744131,0,True,24536.618778330387,survived
K2-18,12.0,4.809734344744131,1,True,24536.618778330387,survived
K2-18,12.0,4.809734344744131,2,False,363.85447468287344,close_encounter
K2-18,12.0,4.809734344744131,3,True,24536.618778330387,survived
K2-18,12.0,4.809734344744131,4,True,24536.618778330387,survived
K2-18,9.0,6.392453221499662,0,True,24536.618778330387,survived
K2-18,9.0,6.392453221499662,1,True,24536.618778330387,survived
K2-18,9.0,6.392453221499662,2,True,24536.618778330387,survived
K2-18,9.0,6.392453221499662,3,True,24536.618778330387,survived
K2-18,9.0,6.392453221499662,4,True,24536.618778330387,survived
K2-18,7.0,8.205509048125078,0,True,24536.618778330387,survived
K2-18,7.0,8.205509048125078,1,True,24536.618778330387,survived
K2-18,7.0,8.205509048125078,2,False,13073.926347884923,escape
K2-18,7.0,8.205509048125078,3,True,24536.618778330387,survived
K2-18,7.0,8.205509048125078,4,True,24536.618778330387,survived
K2-18,5.0,11.473713245669856,0,True,24536.618778330387,survived
K2-18,5.0,11.473713245669856,1,False,588.1601825825252,close_encounter
K2-18,5.0,11.473713245669856,2,False,3600.313685966101,close_encounter
K2-18,5.0,11.473713245669856,3,True,24536.618778330387,survived
K2-18,5.0,11.473713245669856,4,True,24536.618778330387,survived
