system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
Kepler-20,90.0,1.0,0,True,10119.384011557353,survived
Kepler-20,90.0,1.0,1,True,10119.384011557353,survived
Kepler-20,90.0,1.0,2,True,10119.384011557353,survived
Kepler-20,90.0,1.0,3,True,10119.384011557353,survived
Kepler-20,90.0,1.0,4,False,434.289902294405,close_encounter
Kepler-20,70.0,1.0641777724759123,0,False,1865.472191875611,close_encounter
Kepler-20,70.0,1.0641777724759123,1,False,1999.251019323284,close_encounter
Kepler-20,70.0,1.0641777724759123,2,True,10119.384011557353,survived
Kepler-20,70.0,1.0641777724759123,3,False,1068.8657239563197,close_encounter
Kepler-20,70.0,1.0641777724759123,4,False,4946.790028242758,close_encounter
Kepler-20,55.0,1.220774588761456,0,True,10119.384011557353,survived
Kepler-20,55.0,1.220774588761456,1,True,10119.384011557353,survived
Kepler-20,55.0,1.220774588761456,2,False,2311.6262850411763,close_encounter
Kepler-20,55.0,1.220774588761456,3,False,676.3850652535343,close_encounter
Kepler-20,55.0,1.220774588761456,4,False,1017.5839659901717,close_encounter
Kepler-20,40.0,1.5557238268604126,0,False,2142.660976776074,close_encounter
Kepler-20,40.0,1.5557238268604126,1,False,96.37217032503503,close_encounter
Kepler-20,40.0,1.5557238268604126,2,False,3193.0130884828664,close_encounter
Kepler-20,40.0,1.5557238268604126,3,False,375.26263108912804,close_encounter
Kepler-20,40.0,1.5557238268604126,4,True,10119.384011557353,survived
Kepler-20,30.0,2.0000000000000004,0,False,2540.159135468664,close_encounter
Kepler-20,30.0,2.0000000000000004,1,False,57.614835791372236,close_encounter
Kepler-20,30.0,2.0000000000000004,2,False,2970.032233332929,close_encounter
Kepler-20,30.0,2.0000000000000004,3,True,10119.384011557353,survived
Kepler-20,30.0,2.0000000000000004,4,False,5134.930513539592,close_encounter
Kepler-20,22.0,2.6694671625540143,0,False,610.2694031468995,close_encounter
Kepler-20,22.0,2.6694671625540143,1,False,5746.3266657096665,close_encounter
Kepler-20,22.0,2.6694671625540143,2,False,1094.5570311952486,close_encounter
Kepler-20,22.0,2.6694671625540143,3,False,522.8259217825314,close_encounter
Kepler-20,22.0,2.6694671625540143,4,False,52.085944203998515,close_encounter
Kepler-20,16.0,3.6279552785433005,0,False,407.16838757762025,close_encounter
Kepler-20,16.0,3.6279552785433005,1,False,28.96181277070954,close_encounter
Kepler-20,16.0,3.6279552785433005,2,False,933.3554524434182,close_encounter
Kepler-20,16.0,3.6279552785433005,3,False,42.384170119950575,close_encounter
Kepler-20,16.0,3.6279552785433005,4,False,550.189136677976,close_encounter
Kepler-20,12.0,4.809734344744131,0,True,10119.384011557353,survived
Kepler-20,12.0,4.809734344744131,1,False,435.61880897523497,close_encounter
Kepler-20,12.0,4.809734344744131,2,True,10119.384011557353,survived
Kepler-20,12.0,4.809734344744131,3,False,2778.316451461316,close_encounter
Kepler-20,12.0,4.809734344744131,4,True,10119.384011557353,survived
Kepler-20,9.0,6.392453221499662,0,False,608.5988283826332,close_encounter
Kepler-20,9.0,6.392453221499662,1,False,363.02122792288696,close_encounter
Kepler-20,9.0,6.392453221499662,2,False,152.91179576288218,close_encounter
Kepler-20,9.0,6.392453221499662,3,False,1467.7678767413333,close_encounter
Kepler-20,9.0,6.392453221499662,4,False,493.7223767403764,close_encounter
Kepler-20,7.0,8.205509048125078,0,False,34.62799361394101,close_encounter
Kepler-20,7.0,8.205509048125078,1,False,22.85310733567373,close_encounter
Kepler-20,7.0,8.205509048125078,2,False,330.9648531245314,close_encounter
Kepler-20,7.0,8.205509048125078,3,False,922.0621893162581,close_encounter
Kepler-20,7.0,8.205509048125078,4,False,40.335050222733635,close_encounter
Kepler-20,5.0,11.473713245669856,0,False,17.84849187125862,close_encounter
Kepler-20,5.0,11.473713245669856,1,False,98.97311305658843,close_encounter
Kepler-20,5.0,11.473713245669856,2,False,15.371065039792416,close_encounter
Kepler-20,5.0,11.473713245669856,3,False,2056.1394216889234,close_encounter
Kepler-20,5.0,11.473713245669856,4,False,192.42355475363044,close_encounter
