system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
YZ Cet,90.0,1.0,0,True,5532.840548190243,survived
YZ Cet,90.0,1.0,1,True,5532.840548190243,survived
YZ Cet,90.0,1.0,2,True,5532.840548190243,survived
YZ Cet,90.0,1.0,3,True,5532.840548190243,survived
YZ Cet,90.0,1.0,4,True,5532.840548190243,survived
YZ Cet,70.0,1.0641777724759123,0,True,5532.840548190243,survived
YZ Cet,70.0,1.0641777724759123,1,True,5532.840548190243,survived
YZ Cet,70.0,1.0641777724759123,2,True,5532.840548190243,survived
YZ Cet,70.0,1.0641777724759123,3,True,5532.840548190243,survived
YZ Cet,70.0,1.0641777724759123,4,True,5532.840548190243,survived
YZ Cet,55.0,1.220774588761456,0,True,5532.840548190243,survived
YZ Cet,55.0,1.220774588761456,1,True,5532.840548190243,survived
YZ Cet,55.0,1.220774588761456,2,True,5532.840548190243,survived
YZ Cet,55.0,1.220774588761456,3,True,5532.840548190243,survived
YZ Cet,55.0,1.220774588761456,4,True,5532.840548190243,survived
YZ Cet,40.0,1.5557238268604126,0,True,5532.840548190243,survived
YZ Cet,40.0,1.5557238268604126,1,True,5532.840548190243,survived
YZ Cet,40.0,1.5557238268604126,2,True,5532.840548190243,survived
YZ Cet,40.0,1.5557238268604126,3,True,5532.840548190243,survived
YZ Cet,40.0,1.5557238268604126,4,True,5532.840548190243,survived
YZ Cet,30.0,2.0000000000000004,0,True,5532.840548190243,survived
YZ Cet,30.0,2.0000000000000004,1,True,5532.840548190243,survived
YZ Cet,30.0,2.0000000000000004,2,True,5532.840548190243,survived
YZ Cet,30.0,2.0000000000000004,3,True,5532.840548190243,survived
YZ Cet,30.0,2.0000000000000004,4,True,5532.840548190243,survived
YZ Cet,22.0,2.6694671625540143,0,True,5532.840548190243,survived
YZ Cet,22.0,2.6694671625540143,1,True,5532.840548190243,survived
YZ Cet,22.0,2.6694671625540143,2,True,5532.840548190243,survived
YZ Cet,22.0,2.6694671625540143,3,True,5532.840548190243,survived
YZ Cet,22.0,2.6694671625540143,4,True,5532.840548190243,survived
YZ Cet,16.0,3.6279552785433005,0,False,4072.3108505430955,close_encounter
YZ Cet,16.0,3.6279552785433005,1,True,5532.840548190243,survived
YZ Cet,16.0,3.6279552785433005,2,True,5532.840548190243,survived
YZ Cet,16.0,3.6279552785433005,3,True,5532.840548190243,survived
YZ Cet,16.0,3.6279552785433005,4,True,5532.840548190243,survived
YZ Cet,12.0,4.809734344744131,0,False,1640.4390826181232,close_encounter
YZ Cet,12.0,4.809734344744131,1,True,5532.840548190243,survived
YZ Cet,12.0,4.809734344744131,2,True,5532.840548190243,survived
YZ Cet,12.0,4.809734344744131,3,False,3465.9694074111158,close_encounter
YZ Cet,12.0,4.809734344744131,4,True,5532.840548190243,survived
YZ Cet,9.0,6.392453221499662,0,False,2556.9490057612293,close_encounter
YZ Cet,9.0,6.392453221499662,1,False,1687.3641941829521,close_encounter
YZ Cet,9.0,6.392453221499662,2,False,3861.948460045225,close_encounter
YZ Cet,9.0,6.392453221499662,3,False,467.8717591603901,close_encounter
YZ Cet,9.0,6.392453221499662,4,False,736.1749550400488,close_encounter
YZ Cet,7.0,8.205509048125078,0,True,5532.840548190243,survived
YZ Cet,7.0,8.205509048125078,1,False,4819.166430716368,close_encounter
YZ Cet,7.0,8.205509048125078,2,False,969.0956672782294,close_encounter
YZ Cet,7.0,8.205509048125078,3,False,1017.8418527090643,close_encounter
YZ Cet,7.0,8.205509048125078,4,False,75.58956490905861,close_encounter
YZ Cet,5.0,11.473713245669856,0,True,5532.840548190243,survived
YZ Cet,5.0,11.473713245669856,1,False,2373.98037607514,close_encounter
YZ Cet,5.0,11.473713245669856,2,False,809.7457828496298,close_encounter
YZ Cet,5.0,11.473713245669856,3,False,184.41076467158288,close_encounter
YZ Cet,5.0,11.473713245669856,4,True,5532.840548190243,survived
