system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
47 UMa,90.0,1.0,0,False,91210.86473015431,close_encounter
47 UMa,90.0,1.0,1,True,2951403.1594305728,survived
47 UMa,90.0,1.0,2,True,2951403.1848294945,survived
47 UMa,90.0,1.0,3,False,17.49833653476663,close_encounter
47 UMa,90.0,1.0,4,False,2244.4332158780053,close_encounter
47 UMa,90.0,1.0,5,True,2951403.2323870393,survived
47 UMa,90.0,1.0,6,False,649222.4728405927,close_encounter
47 UMa,90.0,1.0,7,True,2951403.1937148585,survived
47 UMa,90.0,1.0,8,True,2951403.1681401096,survived
47 UMa,90.0,1.0,9,True,2951403.1702743173,survived
47 UMa,90.0,1.0,10,True,2951403.244229019,survived
47 UMa,90.0,1.0,11,True,2951403.1715419004,survived
47 UMa,90.0,1.0,12,True,2951403.165865308,survived
47 UMa,90.0,1.0,13,False,157736.6271182557,close_encounter
47 UMa,90.0,1.0,14,False,192177.72455607023,close_encounter
47 UMa,90.0,1.0,15,True,2951403.1604114436,survived
47 UMa,90.0,1.0,16,False,28227.33400867082,close_encounter
47 UMa,90.0,1.0,17,False,291090.87506434275,close_encounter
47 UMa,90.0,1.0,18,False,167156.11897950203,close_encounter
47 UMa,90.0,1.0,19,True,2951403.188743399,survived
47 UMa,70.0,1.0641777724759123,0,True,2951403.277275487,survived
47 UMa,70.0,1.0641777724759123,1,True,2951403.1789802285,survived
47 UMa,70.0,1.0641777724759123,2,False,1385804.4539925528,close_encounter
47 UMa,70.0,1.0641777724759123,3,True,2951403.2039039973,survived
47 UMa,70.0,1.0641777724759123,4,True,2951403.1667951993,survived
47 UMa,70.0,1.0641777724759123,5,False,13391.619879204303,close_encounter
47 UMa,70.0,1.0641777724759123,6,True,2951403.246478737,survived
47 UMa,70.0,1.0641777724759123,7,False,553595.650593401,close_encounter
47 UMa,70.0,1.0641777724759123,8,False,26399.248095021492,close_encounter
47 UMa,70.0,1.0641777724759123,9,False,576405.5237361763,close_encounter
47 UMa,70.0,1.0641777724759123,10,False,9115.71240797414,close_encounter
47 UMa,70.0,1.0641777724759123,11,False,73818.60092111569,close_encounter
47 UMa,70.0,1.0641777724759123,12,False,224869.01499631716,close_encounter
47 UMa,70.0,1.0641777724759123,13,True,2951403.28715395,survived
47 UMa,70.0,1.0641777724759123,14,True,2951403.16573793,survived
47 UMa,70.0,1.0641777724759123,15,True,2951403.205811567,survived
47 UMa,70.0,1.0641777724759123,16,True,2951403.1633465975,survived
47 UMa,70.0,1.0641777724759123,17,True,2951403.2496217866,survived
47 UMa,70.0,1.0641777724759123,18,True,2951403.2320978804,survived
47 UMa,70.0,1.0641777724759123,19,True,2951403.236152917,survived
47 UMa,55.0,1.220774588761456,0,True,2951403.255444464,survived
47 UMa,55.0,1.220774588761456,1,True,2951403.2362459027,survived
47 UMa,55.0,1.220774588761456,2,False,98295.27360030486,close_encounter
47 UMa,55.0,1.220774588761456,3,True,2951403.2516018087,survived
47 UMa,55.0,1.220774588761456,4,True,2951403.237771613,survived
47 UMa,55.0,1.220774588761456,5,True,2951403.1883112076,survived
47 UMa,55.0,1.220774588761456,6,True,2951403.246323037,survived
47 UMa,55.0,1.220774588761456,7,False,232407.13067924388,close_encounter
47 UMa,55.0,1.220774588761456,8,True,2951403.274164111,survived
47 UMa,55.0,1.220774588761456,9,True,2951403.1719156583,survived
47 UMa,55.0,1.220774588761456,10,True,2951403.154555391,survived
47 UMa,55.0,1.220774588761456,11,True,2951403.185133226,survived
47 UMa,55.0,1.220774588761456,12,False,322489.4319226635,close_encounter
47 UMa,55.0,1.220774588761456,13,True,2951403.1723826504,survived
47 UMa,55.0,1.220774588761456,14,False,44482.52932245001,close_encounter
47 UMa,55.0,1.220774588761456,15,True,2951403.284482363,survived
47 UMa,55.0,1.220774588761456,16,False,5857.224046103275,close_encounter
47 UMa,55.0,1.220774588761456,17,True,2951403.2360324636,survived
47 UMa,55.0,1.220774588761456,18,True,2951403.188705334,survived
47 UMa,55.0,1.220774588761456,19,False,15171.247177901454,close_encounter
47 UMa,45.0,1.4142135623730951,0,False,1236154.2110263703,close_encounter
47 UMa,45.0,1.4142135623730951,1,True,2951403.228735682,survived
47 UMa,45.0,1.4142135623730951,2,True,2951403.2550273477,survived
47 UMa,45.0,1.4142135623730951,3,False,1785827.69123925,close_encounter
47 UMa,45.0,1.4142135623730951,4,True,2951403.176587076,survived
47 UMa,45.0,1.4142135623730951,5,True,2951403.2028143522,survived
47 UMa,45.0,1.4142135623730951,6,True,2951403.258608851,survived
47 UMa,45.0,1.4142135623730951,7,False,1267684.3148339144,close_encounter
47 UMa,45.0,1.4142135623730951,8,True,2951403.1540824175,survived
47 UMa,45.0,1.4142135623730951,9,False,1108465.2879028798,close_encounter
47 UMa,45.0,1.4142135623730951,10,False,55477.54749598295,close_encounter
47 UMa,45.0,1.4142135623730951,11,True,2951403.290536893,survived
47 UMa,45.0,1.4142135623730951,12,True,2951403.1711109905,survived
47 UMa,45.0,1.4142135623730951,13,True,2951403.1659801877,survived
47 UMa,45.0,1.4142135623730951,14,True,2951403.2360563595,survived
47 UMa,45.0,1.4142135623730951,15,False,250893.4913502802,close_encounter
47 UMa,45.0,1.4142135623730951,16,True,2951403.222671013,survived
47 UMa,45.0,1.4142135623730951,17,False,2509.1294807562344,close_encounter
47 UMa,45.0,1.4142135623730951,18,False,382.7120047965544,close_encounter
47 UMa,45.0,1.4142135623730951,19,True,2951403.2120790314,survived
47 UMa,38.0,1.624269245482744,0,False,13496.442598437085,close_encounter
47 UMa,38.0,1.624269245482744,1,True,2951403.167119587,survived
47 UMa,38.0,1.624269245482744,2,False,313.0721048505207,close_encounter
47 UMa,38.0,1.624269245482744,3,True,2951403.2857397026,survived
47 UMa,38.0,1.624269245482744,4,False,3960.892870739592,close_encounter
47 UMa,38.0,1.624269245482744,5,True,2951403.2555751856,survived
47 UMa,38.0,1.624269245482744,6,False,309079.48944889876,close_encounter
47 UMa,38.0,1.624269245482744,7,False,37515.72337928358,close_encounter
47 UMa,38.0,1.624269245482744,8,False,48927.136756415086,close_encounter
47 UMa,38.0,1.624269245482744,9,True,2951403.232394598,survived
47 UMa,38.0,1.624269245482744,10,False,1051.8588498658369,close_encounter
47 UMa,38.0,1.624269245482744,11,False,7.212199843775629,close_encounter
47 UMa,38.0,1.624269245482744,12,True,2951403.2174457144,survived
47 UMa,38.0,1.624269245482744,13,False,5212.268650925978,close_encounter
47 UMa,38.0,1.624269245482744,14,False,21.185592237906125,close_encounter
47 UMa,38.0,1.624269245482744,15,True,2951403.203754876,survived
47 UMa,38.0,1.624269245482744,16,True,2951403.2621324873,survived
47 UMa,38.0,1.624269245482744,17,True,2951403.24910211,survived
47 UMa,38.0,1.624269245482744,18,False,22293.30446576907,close_encounter
47 UMa,38.0,1.624269245482744,19,True,2951403.268848874,survived
47 UMa,32.0,1.8870799147998585,0,False,23464.769153173827,close_encounter
47 UMa,32.0,1.8870799147998585,1,True,2951403.2810537443,survived
47 UMa,32.0,1.8870799147998585,2,True,2951403.185043497,survived
47 UMa,32.0,1.8870799147998585,3,True,2951403.2880507805,survived
47 UMa,32.0,1.8870799147998585,4,True,2951403.249038232,survived
47 UMa,32.0,1.8870799147998585,5,True,2951403.1650180207,survived
47 UMa,32.0,1.8870799147998585,6,True,2951403.152583421,survived
47 UMa,32.0,1.8870799147998585,7,True,2951403.2823855863,survived
47 UMa,32.0,1.8870799147998585,8,True,2951403.158702876,survived
47 UMa,32.0,1.8870799147998585,9,False,784186.3990975692,close_encounter
47 UMa,32.0,1.8870799147998585,10,False,257910.03860485705,close_encounter
47 UMa,32.0,1.8870799147998585,11,False,448216.97231875657,close_encounter
47 UMa,32.0,1.8870799147998585,12,False,85549.145480726,close_encounter
47 UMa,32.0,1.8870799147998585,13,True,2951403.2319409405,survived
47 UMa,32.0,1.8870799147998585,14,True,2951403.2221613596,survived
47 UMa,32.0,1.8870799147998585,15,False,3487.455563990471,close_encounter
47 UMa,32.0,1.8870799147998585,16,False,113639.50384723103,close_encounter
47 UMa,32.0,1.8870799147998585,17,True,2951403.256676878,survived
47 UMa,32.0,1.8870799147998585,18,False,1491.2232719840908,close_encounter
47 UMa,32.0,1.8870799147998585,19,False,7724.8635308123785,close_encounter
47 UMa,27.0,2.2026892645852665,0,True,2951403.1675875713,survived
47 UMa,27.0,2.2026892645852665,1,True,2951403.223598518,survived
47 UMa,27.0,2.2026892645852665,2,True,2951403.1805455806,survived
47 UMa,27.0,2.2026892645852665,3,True,2951403.2188078105,survived
47 UMa,27.0,2.2026892645852665,4,True,2951403.241835564,survived
47 UMa,27.0,2.2026892645852665,5,True,2951403.165134947,survived
47 UMa,27.0,2.2026892645852665,6,False,30076.721012354265,close_encounter
47 UMa,27.0,2.2026892645852665,7,True,2951403.239765366,survived
47 UMa,27.0,2.2026892645852665,8,True,2951403.2030836865,survived
47 UMa,27.0,2.2026892645852665,9,False,21958.83553139813,close_encounter
47 UMa,27.0,2.2026892645852665,10,False,1678966.4842858089,close_encounter
47 UMa,27.0,2.2026892645852665,11,True,2951403.22515218,survived
47 UMa,27.0,2.2026892645852665,12,False,7452.20955151278,close_encounter
47 UMa,27.0,2.2026892645852665,13,False,2129441.0514319497,close_encounter
47 UMa,27.0,2.2026892645852665,14,False,1168367.7935962037,close_encounter
47 UMa,27.0,2.2026892645852665,15,True,2951403.210371346,survived
47 UMa,27.0,2.2026892645852665,16,False,606.6958678848495,close_encounter
47 UMa,27.0,2.2026892645852665,17,False,14146.393799201865,close_encounter
47 UMa,27.0,2.2026892645852665,18,False,637476.1892336265,close_encounter
47 UMa,27.0,2.2026892645852665,19,False,3171.2945512615706,close_encounter
47 UMa,23.0,2.5593046652474523,0,True,2951403.282494514,survived
47 UMa,23.0,2.5593046652474523,1,False,584.7345094415308,close_encounter
47 UMa,23.0,2.5593046652474523,2,False,275937.64375912125,close_encounter
47 UMa,23.0,2.5593046652474523,3,False,813.4569261973968,close_encounter
47 UMa,23.0,2.5593046652474523,4,True,2951403.174078731,survived
47 UMa,23.0,2.5593046652474523,5,True,2951403.192611858,survived
47 UMa,23.0,2.5593046652474523,6,True,2951403.213529766,survived
47 UMa,23.0,2.5593046652474523,7,False,239.5541037364399,close_encounter
47 UMa,23.0,2.5593046652474523,8,False,77244.33982138825,close_encounter
47 UMa,23.0,2.5593046652474523,9,False,4037.428332315266,close_encounter
47 UMa,23.0,2.5593046652474523,10,True,2951403.198174863,survived
47 UMa,23.0,2.5593046652474523,11,False,388.3305643171729,close_encounter
47 UMa,23.0,2.5593046652474523,12,False,218.40720552592552,close_encounter
47 UMa,23.0,2.5593046652474523,13,False,1699630.0649484727,close_encounter
47 UMa,23.0,2.5593046652474523,14,True,2951403.1535510127,survived
47 UMa,23.0,2.5593046652474523,15,False,4891.83945659354,close_encounter
47 UMa,23.0,2.5593046652474523,16,True,2951403.243940254,survived
47 UMa,23.0,2.5593046652474523,17,True,2951403.163016219,survived
47 UMa,23.0,2.5593046652474523,18,True,2951403.2859463766,survived
47 UMa,23.0,2.5593046652474523,19,False,7804.005239403407,close_encounter
47 UMa,19.0,3.0715534867572423,0,True,2951403.2676910707,survived
47 UMa,19.0,3.0715534867572423,1,False,2689406.386243557,close_encounter
47 UMa,19.0,3.0715534867572423,2,True,2951403.208446009,survived
47 UMa,19.0,3.0715534867572423,3,False,1176.22776754036,close_encounter
47 UMa,19.0,3.0715534867572423,4,True,2951403.279330901,survived
47 UMa,19.0,3.0715534867572423,5,True,2951403.1504377183,survived
47 UMa,19.0,3.0715534867572423,6,False,33637.23117470349,close_encounter
47 UMa,19.0,3.0715534867572423,7,True,2951403.1912022773,survived
47 UMa,19.0,3.0715534867572423,8,False,10566.652579757016,close_encounter
47 UMa,19.0,3.0715534867572423,9,False,212942.15065111453,close_encounter
47 UMa,19.0,3.0715534867572423,10,False,11332.059720056583,close_encounter
47 UMa,19.0,3.0715534867572423,11,False,8319.814002364321,close_encounter
47 UMa,19.0,3.0715534867572423,12,True,2951403.268676419,survived
47 UMa,19.0,3.0715534867572423,13,False,13273.542822401945,close_encounter
47 UMa,19.0,3.0715534867572423,14,True,2951403.2292471495,survived
47 UMa,19.0,3.0715534867572423,15,False,484.08974559251294,close_encounter
47 UMa,19.0,3.0715534867572423,16,True,2951403.25986462,survived
47 UMa,19.0,3.0715534867572423,17,True,2951403.239039476,survived
47 UMa,19.0,3.0715534867572423,18,False,20847.36733014851,close_encounter
47 UMa,19.0,3.0715534867572423,19,False,168912.6980706098,close_encounter
47 UMa,16.0,3.6279552785433005,0,False,1823.326882673495,close_encounter
47 UMa,16.0,3.6279552785433005,1,True,2951403.268651466,survived
47 UMa,16.0,3.6279552785433005,2,True,2951403.229918835,survived
47 UMa,16.0,3.6279552785433005,3,False,144.92067478266404,close_encounter
47 UMa,16.0,3.6279552785433005,4,False,554.6035086444166,close_encounter
47 UMa,16.0,3.6279552785433005,5,False,1606.1316878150155,close_encounter
47 UMa,16.0,3.6279552785433005,6,False,1270.5505015223325,close_encounter
47 UMa,16.0,3.6279552785433005,7,False,1900.4317692413676,close_encounter
47 UMa,16.0,3.6279552785433005,8,False,2132.2831901056575,close_encounter
47 UMa,16.0,3.6279552785433005,9,False,334.1413556976619,close_encounter
47 UMa,16.0,3.6279552785433005,10,False,850.1834599553323,close_encounter
47 UMa,16.0,3.6279552785433005,11,True,2951403.264329148,survived
47 UMa,16.0,3.6279552785433005,12,True,2951403.2011059076,survived
47 UMa,16.0,3.6279552785433005,13,False,56972.54179369248,close_encounter
47 UMa,16.0,3.6279552785433005,14,True,2951403.2075434965,survived
47 UMa,16.0,3.6279552785433005,15,False,29.669987846219282,close_encounter
47 UMa,16.0,3.6279552785433005,16,False,223536.18424762282,close_encounter
47 UMa,16.0,3.6279552785433005,17,False,15.345095119657794,close_encounter
47 UMa,16.0,3.6279552785433005,18,False,490.08096680976854,close_encounter
47 UMa,16.0,3.6279552785433005,19,False,175936.9419083331,close_encounter
47 UMa,13.5,4.283657569731186,0,False,25.882677910493946,close_encounter
47 UMa,13.5,4.283657569731186,1,False,53118.0842246877,close_encounter
