system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
61 Vir,90.0,1.0,0,False,1007.1914304661464,close_encounter
61 Vir,90.0,1.0,1,True,11540.041349091194,survived
61 Vir,90.0,1.0,2,True,11540.041298933891,survived
61 Vir,90.0,1.0,3,True,11540.041110659853,survived
61 Vir,90.0,1.0,4,True,11540.041404180114,survived
61 Vir,90.0,1.0,5,True,11540.041191355323,survived
61 Vir,90.0,1.0,6,True,11540.041232004462,survived
61 Vir,90.0,1.0,7,True,11540.041421443677,survived
61 Vir,90.0,1.0,8,True,11540.041154500737,survived
61 Vir,90.0,1.0,9,True,11540.041128667808,survived
61 Vir,90.0,1.0,10,True,11540.04140833274,survived
61 Vir,90.0,1.0,11,True,11540.041408164472,survived
61 Vir,90.0,1.0,12,True,11540.041409471545,survived
61 Vir,90.0,1.0,13,True,11540.04153135936,survived
61 Vir,90.0,1.0,14,True,11540.041422638322,survived
61 Vir,90.0,1.0,15,True,11540.041516706102,survived
61 Vir,90.0,1.0,16,True,11540.04124100196,survived
61 Vir,90.0,1.0,17,True,11540.04151322178,survived
61 Vir,90.0,1.0,18,True,11540.041133744235,survived
61 Vir,90.0,1.0,19,True,11540.041071079124,survived
61 Vir,70.0,1.0641777724759123,0,True,11540.041070613745,survived
61 Vir,70.0,1.0641777724759123,1,True,11540.041071950502,survived
61 Vir,70.0,1.0641777724759123,2,True,11540.04116981704,survived
61 Vir,70.0,1.0641777724759123,3,True,11540.041380099163,survived
61 Vir,70.0,1.0641777724759123,4,True,11540.041537816238,survived
61 Vir,70.0,1.0641777724759123,5,True,11540.041139554081,survived
61 Vir,70.0,1.0641777724759123,6,True,11540.041114318909,survived
61 Vir,70.0,1.0641777724759123,7,False,0.7850290541396059,close_encounter
61 Vir,70.0,1.0641777724759123,8,True,11540.041400772843,survived
61 Vir,70.0,1.0641777724759123,9,True,11540.04127372204,survived
61 Vir,70.0,1.0641777724759123,10,True,11540.041326664503,survived
61 Vir,70.0,1.0641777724759123,11,True,11540.041353709856,survived
61 Vir,70.0,1.0641777724759123,12,True,11540.041488135961,survived
61 Vir,70.0,1.0641777724759123,13,False,2.5130776168743747,close_encounter
61 Vir,70.0,1.0641777724759123,14,True,11540.041163468684,survived
61 Vir,70.0,1.0641777724759123,15,True,11540.04116860607,survived
61 Vir,70.0,1.0641777724759123,16,False,2472.5122362753714,close_encounter
61 Vir,70.0,1.0641777724759123,17,True,11540.041399890046,survived
61 Vir,70.0,1.0641777724759123,18,True,11540.04138003166,survived
61 Vir,70.0,1.0641777724759123,19,True,11540.041347976488,survived
61 Vir,55.0,1.220774588761456,0,False,2505.7936131442166,close_encounter
61 Vir,55.0,1.220774588761456,1,True,11540.041443515478,survived
61 Vir,55.0,1.220774588761456,2,True,11540.0413980632,survived
61 Vir,55.0,1.220774588761456,3,False,18.058573619949904,close_encounter
61 Vir,55.0,1.220774588761456,4,False,77.95203481586205,close_encounter
61 Vir,55.0,1.220774588761456,5,True,11540.041251238628,survived
61 Vir,55.0,1.220774588761456,6,True,11540.041602505104,survived
61 Vir,55.0,1.220774588761456,7,False,2044.7182603880633,close_encounter
61 Vir,55.0,1.220774588761456,8,True,11540.04135259791,survived
61 Vir,55.0,1.220774588761456,9,True,11540.041136175127,survived
61 Vir,55.0,1.220774588761456,10,False,6035.837767435278,close_encounter
61 Vir,55.0,1.220774588761456,11,True,11540.041502560782,survived
61 Vir,55.0,1.220774588761456,12,True,11540.041210161282,survived
61 Vir,55.0,1.220774588761456,13,False,691.7312355250982,close_encounter
61 Vir,55.0,1.220774588761456,14,True,11540.041231880836,survived
61 Vir,55.0,1.220774588761456,15,True,11540.04135667736,survived
61 Vir,55.0,1.220774588761456,16,True,11540.041352653121,survived
61 Vir,55.0,1.220774588761456,17,False,8052.491356065577,close_encounter
61 Vir,55.0,1.220774588761456,18,True,11540.041306046389,survived
61 Vir,55.0,1.220774588761456,19,True,11540.041440778363,survived
61 Vir,45.0,1.4142135623730951,0,False,3987.3266199293685,close_encounter
61 Vir,45.0,1.4142135623730951,1,True,11540.04142447644,survived
61 Vir,45.0,1.4142135623730951,2,True,11540.041252514435,survived
61 Vir,45.0,1.4142135623730951,3,True,11540.041215232022,survived
