system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
75 Cet,90.0,1.0,0,True,1907241.6795305617,survived
75 Cet,90.0,1.0,1,True,1907241.659882992,survived
75 Cet,90.0,1.0,2,True,1907241.6443284266,survived
75 Cet,90.0,1.0,3,True,1907241.6253969383,survived
75 Cet,90.0,1.0,4,True,1907241.6500251628,survived
75 Cet,90.0,1.0,5,True,1907241.6798210426,survived
75 Cet,90.0,1.0,6,True,1907241.6979121233,survived
75 Cet,90.0,1.0,7,True,1907241.6428123706,survived
75 Cet,90.0,1.0,8,True,1907241.6423122655,survived
75 Cet,90.0,1.0,9,True,1907241.6525742977,survived
75 Cet,90.0,1.0,10,True,1907241.6626255582,survived
75 Cet,90.0,1.0,11,True,1907241.6822774939,survived
75 Cet,90.0,1.0,12,True,1907241.686862282,survived
75 Cet,90.0,1.0,13,True,1907241.6814287934,survived
75 Cet,90.0,1.0,14,True,1907241.6824389515,survived
75 Cet,90.0,1.0,15,True,1907241.6979416509,survived
75 Cet,90.0,1.0,16,True,1907241.6597934475,survived
75 Cet,90.0,1.0,17,True,1907241.6748963774,survived
75 Cet,90.0,1.0,18,True,1907241.6646830621,survived
75 Cet,90.0,1.0,19,True,1907241.62547077,survived
75 Cet,70.0,1.0641777724759123,0,True,1907241.6650422204,survived
75 Cet,70.0,1.0641777724759123,1,True,1907241.6797521173,survived
75 Cet,70.0,1.0641777724759123,2,True,1907241.6655005848,survived
75 Cet,70.0,1.0641777724759123,3,True,1907241.6451978781,survived
75 Cet,70.0,1.0641777724759123,4,True,1907241.6580079072,survived
75 Cet,70.0,1.0641777724759123,5,True,1907241.6200899475,survived
75 Cet,70.0,1.0641777724759123,6,True,1907241.672775613,survived
75 Cet,70.0,1.0641777724759123,7,True,1907241.6373374877,survived
75 Cet,70.0,1.0641777724759123,8,True,1907241.633548464,survived
75 Cet,70.0,1.0641777724759123,9,True,1907241.677881334,survived
75 Cet,70.0,1.0641777724759123,10,True,1907241.642792741,survived
75 Cet,70.0,1.0641777724759123,11,True,1907241.6961237756,survived
75 Cet,70.0,1.0641777724759123,12,True,1907241.6677367366,survived
75 Cet,70.0,1.0641777724759123,13,True,1907241.65190564,survived
75 Cet,70.0,1.0641777724759123,14,True,1907241.617136638,survived
75 Cet,70.0,1.0641777724759123,15,True,1907241.6851113106,survived
75 Cet,70.0,1.0641777724759123,16,True,1907241.6859650856,survived
75 Cet,70.0,1.0641777724759123,17,True,1907241.6624048518,survived
75 Cet,70.0,1.0641777724759123,18,True,1907241.659759805,survived
75 Cet,70.0,1.0641777724759123,19,True,1907241.6683710488,survived
75 Cet,55.0,1.220774588761456,0,True,1907241.6345335045,survived
75 Cet,55.0,1.220774588761456,1,True,1907241.622245605,survived
75 Cet,55.0,1.220774588761456,2,True,1907241.6913356562,survived
75 Cet,55.0,1.220774588761456,3,True,1907241.6171439735,survived
75 Cet,55.0,1.220774588761456,4,True,1907241.6872076753,survived
75 Cet,55.0,1.220774588761456,5,True,1907241.6675513235,survived
75 Cet,55.0,1.220774588761456,6,True,1907241.666798451,survived
75 Cet,55.0,1.220774588761456,7,True,1907241.6930283266,survived
75 Cet,55.0,1.220774588761456,8,False,60022.47768421318,escape
75 Cet,55.0,1.220774588761456,9,True,1907241.6675289434,survived
75 Cet,55.0,1.220774588761456,10,True,1907241.6888913466,survived
75 Cet,55.0,1.220774588761456,11,True,1907241.6418223435,survived
75 Cet,55.0,1.220774588761456,12,True,1907241.660992656,survived
75 Cet,55.0,1.220774588761456,13,True,1907241.6266496817,survived
75 Cet,55.0,1.220774588761456,14,True,1907241.6226510569,survived
75 Cet,55.0,1.220774588761456,15,True,1907241.6656604891,survived
75 Cet,55.0,1.220774588761456,16,True,1907241.615727741,survived
75 Cet,55.0,1.220774588761456,17,True,1907241.6647748395,survived
75 Cet,55.0,1.220774588761456,18,True,1907241.6548712726,survived
75 Cet,55.0,1.220774588761456,19,True,1907241.6393994729,survived
75 Cet,45.0,1.4142135623730951,0,True,1907241.671120741,survived
75 Cet,45.0,1.4142135623730951,1,True,1907241.6617713573,survived
75 Cet,45.0,1.4142135623730951,2,True,1907241.6839508836,survived
75 Cet,45.0,1.4142135623730951,3,True,1907241.6296993147,survived
75 Cet,45.0,1.4142135623730951,4,True,1907241.6292270445,survived
75 Cet,45.0,1.4142135623730951,5,True,1907241.6609479564,survived
75 Cet,45.0,1.4142135623730951,6,True,1907241.6928078688,survived
75 Cet,45.0,1.4142135623730951,7,True,1907241.630210158,survived
75 Cet,45.0,1.4142135623730951,8,True,1907241.6659659964,survived
75 Cet,45.0,1.4142135623730951,9,True,1907241.694548007,survived
75 Cet,45.0,1.4142135623730951,10,True,1907241.632325561,survived
75 Cet,45.0,1.4142135623730951,11,True,1907241.6963705644,survived
75 Cet,45.0,1.4142135623730951,12,True,1907241.6734838106,survived
75 Cet,45.0,1.4142135623730951,13,True,1907241.6736270094,survived
75 Cet,45.0,1.4142135623730951,14,True,1907241.6531296796,survived
75 Cet,45.0,1.4142135623730951,15,True,1907241.6278568488,survived
75 Cet,45.0,1.4142135623730951,16,True,1907241.65289242,survived
75 Cet,45.0,1.4142135623730951,17,True,1907241.6165557217,survived
75 Cet,45.0,1.4142135623730951,18,True,1907241.6236300245,survived
75 Cet,45.0,1.4142135623730951,19,True,1907241.6581067448,survived
75 Cet,38.0,1.624269245482744,0,True,1907241.6570833076,survived
75 Cet,38.0,1.624269245482744,1,True,1907241.6853850204,survived
75 Cet,38.0,1.624269245482744,2,True,1907241.6399261316,survived
75 Cet,38.0,1.624269245482744,3,True,1907241.6388565102,survived
75 Cet,38.0,1.624269245482744,4,True,1907241.6883044273,survived
75 Cet,38.0,1.624269245482744,5,True,1907241.6572329435,survived
75 Cet,38.0,1.624269245482744,6,True,1907241.66014074,survived
