system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
DMPP-6,90.0,1.0,0,True,20815.058237163437,survived
DMPP-6,90.0,1.0,1,True,20815.058218439528,survived
DMPP-6,90.0,1.0,2,True,20815.058200254633,survived
DMPP-6,90.0,1.0,3,True,20815.05845623709,survived
DMPP-6,90.0,1.0,4,True,20815.058557643606,survived
DMPP-6,90.0,1.0,5,True,20815.058900369044,survived
DMPP-6,90.0,1.0,6,True,20815.058355769623,survived
DMPP-6,90.0,1.0,7,True,20815.05820633237,survived
DMPP-6,90.0,1.0,8,True,20815.058516199406,survived
DMPP-6,90.0,1.0,9,True,20815.05865565007,survived
DMPP-6,90.0,1.0,10,True,20815.058883929825,survived
DMPP-6,90.0,1.0,11,True,20815.058377837337,survived
DMPP-6,90.0,1.0,12,True,20815.058466104136,survived
DMPP-6,90.0,1.0,13,True,20815.058196692695,survived
DMPP-6,90.0,1.0,14,True,20815.058320353706,survived
DMPP-6,90.0,1.0,15,True,20815.058346328526,survived
DMPP-6,90.0,1.0,16,True,20815.05837941642,survived
DMPP-6,90.0,1.0,17,True,20815.05832163602,survived
DMPP-6,90.0,1.0,18,True,20815.05839102663,survived
DMPP-6,90.0,1.0,19,True,20815.05820710721,survived
DMPP-6,70.0,1.0641777724759123,0,True,20815.058686564073,survived
DMPP-6,70.0,1.0641777724759123,1,True,20815.058238021495,survived
DMPP-6,70.0,1.0641777724759123,2,True,20815.05869450893,survived
DMPP-6,70.0,1.0641777724759123,3,True,20815.058302849007,survived
DMPP-6,70.0,1.0641777724759123,4,True,20815.05841733599,survived
DMPP-6,70.0,1.0641777724759123,5,True,20815.05842595162,survived
DMPP-6,70.0,1.0641777724759123,6,True,20815.058427624936,survived
DMPP-6,70.0,1.0641777724759123,7,True,20815.058214518795,survived
DMPP-6,70.0,1.0641777724759123,8,True,20815.058306480794,survived
DMPP-6,70.0,1.0641777724759123,9,True,20815.05827475728,survived
DMPP-6,70.0,1.0641777724759123,10,True,20815.05845341414,survived
DMPP-6,70.0,1.0641777724759123,11,True,20815.05854970768,survived
DMPP-6,70.0,1.0641777724759123,12,True,20815.058593791695,survived
DMPP-6,70.0,1.0641777724759123,13,True,20815.058559860645,survived
DMPP-6,70.0,1.0641777724759123,14,True,20815.05858273801,survived
