system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
GJ 887,90.0,1.0,0,True,12114.716394229532,survived
GJ 887,90.0,1.0,1,True,12114.716011574106,survived
GJ 887,90.0,1.0,2,True,12114.716090148107,survived
GJ 887,90.0,1.0,3,True,12114.716350475719,survived
GJ 887,90.0,1.0,4,True,12114.716329489527,survived
GJ 887,90.0,1.0,5,False,2395.7573694298508,close_encounter
GJ 887,90.0,1.0,6,True,12114.71620087563,survived
GJ 887,90.0,1.0,7,True,12114.716411718502,survived
GJ 887,90.0,1.0,8,True,12114.716286724615,survived
GJ 887,90.0,1.0,9,True,12114.716350319066,survived
GJ 887,90.0,1.0,10,True,12114.71605801341,survived
GJ 887,90.0,1.0,11,True,12114.716013774185,survived
GJ 887,90.0,1.0,12,True,12114.716184561561,survived
GJ 887,90.0,1.0,13,True,12114.716377490658,survived
GJ 887,90.0,1.0,14,True,12114.716054989973,survived
GJ 887,90.0,1.0,15,True,12114.716095921069,survived
GJ 887,90.0,1.0,16,True,12114.716474842302,survived
GJ 887,90.0,1.0,17,True,12114.71643644717,survived
GJ 887,90.0,1.0,18,True,12114.71639771426,survived
GJ 887,90.0,1.0,19,True,12114.71651978219,survived
GJ 887,70.0,1.0641777724759123,0,True,12114.716205642928,survived
GJ 887,70.0,1.0641777724759123,1,True,12114.716544405246,survived
GJ 887,70.0,1.0641777724759123,2,True,12114.716146248864,survived
GJ 887,70.0,1.0641777724759123,3,True,12114.715951774939,survived
GJ 887,70.0,1.0641777724759123,4,True,12114.716057466012,survived
GJ 887,70.0,1.0641777724759123,5,True,12114.716293757036,survived
GJ 887,70.0,1.0641777724759123,6,True,12114.716074072108,survived
GJ 887,70.0,1.0641777724759123,7,True,12114.716428791333,survived
GJ 887,70.0,1.0641777724759123,8,True,12114.7163423601,survived
GJ 887,70.0,1.0641777724759123,9,True,12114.716071752575,survived
GJ 887,70.0,1.0641777724759123,10,True,12114.716110156254,survived
GJ 887,70.0,1.0641777724759123,11,True,12114.716386083037,survived
GJ 887,70.0,1.0641777724759123,12,True,12114.716204995671,survived
GJ 887,70.0,1.0641777724759123,13,False,6161.263513261201,close_encounter
GJ 887,70.0,1.0641777724759123,14,False,368.6808578725748,close_encounter
