system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
HD 125612,90.0,1.0,0,True,11374.839441276694,survived
HD 125612,90.0,1.0,1,True,11374.839235903526,survived
HD 125612,90.0,1.0,2,True,11374.839280674098,survived
HD 125612,90.0,1.0,3,True,11374.839333065747,survived
HD 125612,90.0,1.0,4,True,11374.83947542759,survived
HD 125612,90.0,1.0,5,True,11374.839158654395,survived
HD 125612,90.0,1.0,6,True,11374.839345160175,survived
HD 125612,90.0,1.0,7,True,11374.83936406064,survived
HD 125612,90.0,1.0,8,True,11374.83918491042,survived
HD 125612,90.0,1.0,9,True,11374.839276012599,survived
HD 125612,90.0,1.0,10,True,11374.839342198233,survived
HD 125612,90.0,1.0,11,True,11374.839561498151,survived
HD 125612,90.0,1.0,12,True,11374.83944435777,survived
HD 125612,90.0,1.0,13,True,11374.839219693882,survived
HD 125612,90.0,1.0,14,True,11374.839266247036,survived
HD 125612,90.0,1.0,15,True,11374.839290574484,survived
HD 125612,90.0,1.0,16,True,11374.839566489829,survived
HD 125612,90.0,1.0,17,True,11374.839200301965,survived
HD 125612,90.0,1.0,18,True,11374.83961658396,survived
HD 125612,90.0,1.0,19,True,11374.839179661825,survived
HD 125612,70.0,1.0641777724759123,0,True,11374.83920931788,survived
HD 125612,70.0,1.0641777724759123,1,True,11374.839157458206,survived
HD 125612,70.0,1.0641777724759123,2,True,11374.83948140074,survived
HD 125612,70.0,1.0641777724759123,3,True,11374.83934361777,survived
HD 125612,70.0,1.0641777724759123,4,True,11374.839319522842,survived
HD 125612,70.0,1.0641777724759123,5,True,11374.839462319142,survived
HD 125612,70.0,1.0641777724759123,6,True,11374.839502458546,survived
HD 125612,70.0,1.0641777724759123,7,True,11374.839350551074,survived
HD 125612,70.0,1.0641777724759123,8,True,11374.839484313869,survived
HD 125612,70.0,1.0641777724759123,9,True,11374.839167463751,survived
HD 125612,70.0,1.0641777724759123,10,True,11374.839155763146,survived
HD 125612,70.0,1.0641777724759123,11,True,11374.839330745059,survived
HD 125612,70.0,1.0641777724759123,12,True,11374.839183772285,survived
HD 125612,70.0,1.0641777724759123,13,True,11374.839566244922,survived
HD 125612,70.0,1.0641777724759123,14,True,11374.839202286978,survived
HD 125612,70.0,1.0641777724759123,15,True,11374.839188096423,survived
HD 125612,70.0,1.0641777724759123,16,True,11374.839326761467,survived
HD 125612,70.0,1.0641777724759123,17,True,11374.83938779296,survived
HD 125612,70.0,1.0641777724759123,18,True,11374.839319944114,survived
HD 125612,70.0,1.0641777724759123,19,True,11374.839289260195,survived
HD 125612,55.0,1.220774588761456,0,True,11374.839293767493,survived
HD 125612,55.0,1.220774588761456,1,True,11374.839458411701,survived
HD 125612,55.0,1.220774588761456,2,True,11374.839416025849,survived
HD 125612,55.0,1.220774588761456,3,True,11374.839321995829,survived
HD 125612,55.0,1.220774588761456,4,True,11374.839304864627,survived
HD 125612,55.0,1.220774588761456,5,True,11374.839540478535,survived
HD 125612,55.0,1.220774588761456,6,True,11374.839274616133,survived
HD 125612,55.0,1.220774588761456,7,True,11374.839191065994,survived
HD 125612,55.0,1.220774588761456,8,True,11374.839220817046,survived
HD 125612,55.0,1.220774588761456,9,True,11374.839502793488,survived
HD 125612,55.0,1.220774588761456,10,True,11374.839476511579,survived
HD 125612,55.0,1.220774588761456,11,True,11374.839460371548,survived
HD 125612,55.0,1.220774588761456,12,True,11374.839435948052,survived
HD 125612,55.0,1.220774588761456,13,True,11374.839311445898,survived
HD 125612,55.0,1.220774588761456,14,True,11374.839216171049,survived
HD 125612,55.0,1.220774588761456,15,True,11374.839404482876,survived
HD 125612,55.0,1.220774588761456,16,True,11374.839600986334,survived
HD 125612,55.0,1.220774588761456,17,True,11374.839185171819,survived
HD 125612,55.0,1.220774588761456,18,True,11374.839320775614,survived
HD 125612,55.0,1.220774588761456,19,True,11374.839484477825,survived
HD 125612,45.0,1.4142135623730951,0,True,11374.839440231497,survived
HD 125612,45.0,1.4142135623730951,1,True,11374.839166615266,survived
HD 125612,45.0,1.4142135623730951,2,True,11374.83935083637,survived
HD 125612,45.0,1.4142135623730951,3,True,11374.839369287789,survived
HD 125612,45.0,1.4142135623730951,4,True,11374.839667843184,survived
HD 125612,45.0,1.4142135623730951,5,True,11374.839458713155,survived
HD 125612,45.0,1.4142135623730951,6,True,11374.839646463346,survived
HD 125612,45.0,1.4142135623730951,7,True,11374.839417494259,survived
HD 125612,45.0,1.4142135623730951,8,True,11374.839432576457,survived
HD 125612,45.0,1.4142135623730951,9,True,11374.8393359401,survived
HD 125612,45.0,1.4142135623730951,10,True,11374.839227874947,survived
HD 125612,45.0,1.4142135623730951,11,True,11374.83939425166,survived
