system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
K2-18,90.0,1.0,0,True,24536.61910681058,survived
K2-18,90.0,1.0,1,True,24536.619003068106,survived
K2-18,90.0,1.0,2,True,24536.6188362089,survived
K2-18,90.0,1.0,3,True,24536.61913058301,survived
K2-18,90.0,1.0,4,True,24536.618918651464,survived
K2-18,90.0,1.0,5,True,24536.618860254523,survived
K2-18,90.0,1.0,6,True,24536.619188211087,survived
K2-18,90.0,1.0,7,True,24536.618764246945,survived
K2-18,90.0,1.0,8,True,24536.619184278094,survived
K2-18,90.0,1.0,9,True,24536.619165344353,survived
K2-18,90.0,1.0,10,True,24536.619106669325,survived
K2-18,90.0,1.0,11,True,24536.61891383837,survived
K2-18,90.0,1.0,12,True,24536.618866258847,survived
K2-18,90.0,1.0,13,True,24536.619207214026,survived
K2-18,90.0,1.0,14,True,24536.618902175833,survived
K2-18,90.0,1.0,15,True,24536.618945749164,survived
K2-18,90.0,1.0,16,True,24536.61881583964,survived
K2-18,90.0,1.0,17,True,24536.61877037811,survived
K2-18,90.0,1.0,18,True,24536.619143861248,survived
K2-18,90.0,1.0,19,True,24536.61920689333,survived
K2-18,70.0,1.0641777724759123,0,True,24536.618960521617,survived
K2-18,70.0,1.0641777724759123,1,True,24536.61907117721,survived
K2-18,70.0,1.0641777724759123,2,True,24536.618804642796,survived
K2-18,70.0,1.0641777724759123,3,True,24536.61915082964,survived
K2-18,70.0,1.0641777724759123,4,True,24536.618836068374,survived
K2-18,70.0,1.0641777724759123,5,False,1493.9935181429046,close_encounter
K2-18,70.0,1.0641777724759123,6,True,24536.618948948842,survived
K2-18,70.0,1.0641777724759123,7,True,24536.619129525494,survived
K2-18,70.0,1.0641777724759123,8,True,24536.61900112335,survived
K2-18,70.0,1.0641777724759123,9,True,24536.618915565607,survived
K2-18,70.0,1.0641777724759123,10,True,24536.618959404084,survived
K2-18,70.0,1.0641777724759123,11,True,24536.61919028944,survived
K2-18,70.0,1.0641777724759123,12,True,24536.618953842524,survived
K2-18,70.0,1.0641777724759123,13,True,24536.61881368406,survived
K2-18,70.0,1.0641777724759123,14,True,24536.618906821022,survived
K2-18,70.0,1.0641777724759123,15,True,24536.618772894388,survived
K2-18,70.0,1.0641777724759123,16,True,24536.61907619699,survived
K2-18,70.0,1.0641777724759123,17,True,24536.618845522964,survived
K2-18,70.0,1.0641777724759123,18,True,24536.61879477359,survived
K2-18,70.0,1.0641777724759123,19,True,24536.619004348835,survived
K2-18,55.0,1.220774588761456,0,True,24536.619127703914,survived
K2-18,55.0,1.220774588761456,1,True,24536.619187395696,survived
K2-18,55.0,1.220774588761456,2,True,24536.619005907425,survived
K2-18,55.0,1.220774588761456,3,True,24536.619042453607,survived
K2-18,55.0,1.220774588761456,4,True,24536.61908097144,survived
K2-18,55.0,1.220774588761456,5,True,24536.618782421232,survived
K2-18,55.0,1.220774588761456,6,True,24536.618931515983,survived
K2-18,55.0,1.220774588761456,7,True,24536.61909068408,survived
K2-18,55.0,1.220774588761456,8,True,24536.618949154457,survived
K2-18,55.0,1.220774588761456,9,True,24536.61922231469,survived
K2-18,55.0,1.220774588761456,10,True,24536.619101283308,survived
K2-18,55.0,1.220774588761456,11,True,24536.619177809313,survived
K2-18,55.0,1.220774588761456,12,True,24536.618816081995,survived
K2-18,55.0,1.220774588761456,13,True,24536.618847875437,survived
K2-18,55.0,1.220774588761456,14,True,24536.619120843527,survived
K2-18,55.0,1.220774588761456,15,True,24536.618881271163,survived
K2-18,55.0,1.220774588761456,16,True,24536.61875512462,survived
K2-18,55.0,1.220774588761456,17,True,24536.619049841902,survived
K2-18,55.0,1.220774588761456,18,True,24536.61893622815,survived
K2-18,55.0,1.220774588761456,19,True,24536.61917582017,survived
K2-18,45.0,1.4142135623730951,0,True,24536.618818321338,survived
K2-18,45.0,1.4142135623730951,1,True,24536.61921030353,survived
K2-18,45.0,1.4142135623730951,2,True,24536.618958257925,survived
K2-18,45.0,1.4142135623730951,3,True,24536.618977316863,survived
K2-18,45.0,1.4142135623730951,4,True,24536.61894792703,survived
K2-18,45.0,1.4142135623730951,5,True,24536.61921454537,survived
K2-18,45.0,1.4142135623730951,6,True,24536.619122538224,survived
K2-18,45.0,1.4142135623730951,7,True,24536.618828379873,survived
K2-18,45.0,1.4142135623730951,8,True,24536.619123946795,survived
K2-18,45.0,1.4142135623730951,9,False,3735.144722168953,close_encounter
K2-18,45.0,1.4142135623730951,10,False,992.1651030366281,close_encounter
K2-18,45.0,1.4142135623730951,11,True,24536.618772441772,survived
K2-18,45.0,1.4142135623730951,12,True,24536.618792192494,survived
K2-18,45.0,1.4142135623730951,13,True,24536.61912549716,survived
K2-18,45.0,1.4142135623730951,14,True,24536.619132080006,survived
K2-18,45.0,1.4142135623730951,15,True,24536.619138974136,survived
K2-18,45.0,1.4142135623730951,16,True,24536.61894073627,survived
K2-18,45.0,1.4142135623730951,17,True,24536.619159735837,survived
K2-18,45.0,1.4142135623730951,18,False,767.9701983033657,close_encounter
K2-18,45.0,1.4142135623730951,19,True,24536.618972618136,survived
K2-18,38.0,1.624269245482744,0,True,24536.61903512085,survived
K2-18,38.0,1.624269245482744,1,True,24536.618936360985,survived
K2-18,38.0,1.624269245482744,2,True,24536.618976355043,survived
K2-18,38.0,1.624269245482744,3,True,24536.619036577027,survived
K2-18,38.0,1.624269245482744,4,True,24536.618837755384,survived
K2-18,38.0,1.624269245482744,5,True,24536.61906676917,survived
K2-18,38.0,1.624269245482744,6,True,24536.619153448974,survived
K2-18,38.0,1.624269245482744,7,True,24536.618987625334,survived
K2-18,38.0,1.624269245482744,8,False,637.4467001840313,close_encounter
K2-18,38.0,1.624269245482744,9,True,24536.61910085913,survived
K2-18,38.0,1.624269245482744,10,False,326.49343893424987,close_encounter
K2-18,38.0,1.624269245482744,11,True,24536.61884508143,survived
K2-18,38.0,1.624269245482744,12,True,24536.619209909983,survived
K2-18,38.0,1.624269245482744,13,True,24536.61898643206,survived
K2-18,38.0,1.624269245482744,14,True,24536.618871671584,survived
K2-18,38.0,1.624269245482744,15,True,24536.618772749865,survived
K2-18,38.0,1.624269245482744,16,True,24536.619169483798,survived
K2-18,38.0,1.624269245482744,17,True,24536.61922549207,survived
K2-18,38.0,1.624269245482744,18,True,24536.6190031762,survived
K2-18,38.0,1.624269245482744,19,True,24536.618967549017,survived
K2-18,32.0,1.8870799147998585,0,False,1320.8740451271763,close_encounter
K2-18,32.0,1.8870799147998585,1,True,24536.619131673757,survived
K2-18,32.0,1.8870799147998585,2,True,24536.618921917856,survived
K2-18,32.0,1.8870799147998585,3,True,24536.618931273795,survived
K2-18,32.0,1.8870799147998585,4,True,24536.618762048023,survived
K2-18,32.0,1.8870799147998585,5,True,24536.61893261533,survived
K2-18,32.0,1.8870799147998585,6,True,24536.618836845864,survived
K2-18,32.0,1.8870799147998585,7,True,24536.61912163116,survived
K2-18,32.0,1.8870799147998585,8,True,24536.6187601673,survived
