system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
Kepler-129,90.0,1.0,0,True,43230.66458954298,survived
Kepler-129,90.0,1.0,1,True,43230.665191184584,survived
Kepler-129,90.0,1.0,2,True,43230.665271918784,survived
Kepler-129,90.0,1.0,3,True,43230.66501550864,survived
Kepler-129,90.0,1.0,4,True,43230.66437255548,survived
Kepler-129,90.0,1.0,5,True,43230.664105629694,survived
Kepler-129,90.0,1.0,6,True,43230.665448763684,survived
Kepler-129,90.0,1.0,7,True,43230.66395800514,survived
Kepler-129,90.0,1.0,8,True,43230.66426890498,survived
Kepler-129,90.0,1.0,9,True,43230.66438042174,survived
Kepler-129,90.0,1.0,10,True,43230.665014190374,survived
Kepler-129,90.0,1.0,11,True,43230.66481744558,survived
Kepler-129,90.0,1.0,12,True,43230.66463637305,survived
Kepler-129,90.0,1.0,13,True,43230.6650586854,survived
Kepler-129,90.0,1.0,14,True,43230.664616204216,survived
Kepler-129,90.0,1.0,15,True,43230.665587431664,survived
Kepler-129,90.0,1.0,16,True,43230.66522630925,survived
Kepler-129,90.0,1.0,17,True,43230.66396230345,survived
Kepler-129,90.0,1.0,18,True,43230.66519415502,survived
Kepler-129,90.0,1.0,19,True,43230.66553122373,survived
Kepler-129,70.0,1.0641777724759123,0,True,43230.6640061742,survived
Kepler-129,70.0,1.0641777724759123,1,True,43230.6644746294,survived
Kepler-129,70.0,1.0641777724759123,2,True,43230.6646538559,survived
Kepler-129,70.0,1.0641777724759123,3,True,43230.66569172486,survived
Kepler-129,70.0,1.0641777724759123,4,True,43230.66437041502,survived
Kepler-129,70.0,1.0641777724759123,5,True,43230.66477611721,survived
Kepler-129,70.0,1.0641777724759123,6,True,43230.66522253548,survived
Kepler-129,70.0,1.0641777724759123,7,True,43230.6644095313,survived
Kepler-129,70.0,1.0641777724759123,8,True,43230.66498087301,survived
Kepler-129,70.0,1.0641777724759123,9,True,43230.66463447501,survived
Kepler-129,70.0,1.0641777724759123,10,False,3784.7247898308824,close_encounter
Kepler-129,70.0,1.0641777724759123,11,True,43230.66398729095,survived
Kepler-129,70.0,1.0641777724759123,12,True,43230.6649484566,survived
Kepler-129,70.0,1.0641777724759123,13,True,43230.66473570562,survived
Kepler-129,70.0,1.0641777724759123,14,True,43230.66460702062,survived
Kepler-129,70.0,1.0641777724759123,15,True,43230.66438944369,survived
Kepler-129,70.0,1.0641777724759123,16,True,43230.66453938986,survived
Kepler-129,70.0,1.0641777724759123,17,True,43230.664842376354,survived
Kepler-129,70.0,1.0641777724759123,18,True,43230.66585068273,survived
Kepler-129,70.0,1.0641777724759123,19,True,43230.664408994424,survived
Kepler-129,55.0,1.220774588761456,0,True,43230.663936297125,survived
Kepler-129,55.0,1.220774588761456,1,True,43230.664626056256,survived
Kepler-129,55.0,1.220774588761456,2,True,43230.665328710726,survived
Kepler-129,55.0,1.220774588761456,3,True,43230.66519505477,survived
Kepler-129,55.0,1.220774588761456,4,True,43230.66493019633,survived
Kepler-129,55.0,1.220774588761456,5,True,43230.665516217254,survived
Kepler-129,55.0,1.220774588761456,6,True,43230.6657219707,survived
Kepler-129,55.0,1.220774588761456,7,True,43230.66468309425,survived
Kepler-129,55.0,1.220774588761456,8,True,43230.665749032705,survived
Kepler-129,55.0,1.220774588761456,9,True,43230.66526765318,survived
Kepler-129,55.0,1.220774588761456,10,True,43230.6641039332,survived
Kepler-129,55.0,1.220774588761456,11,True,43230.66412942582,survived
Kepler-129,55.0,1.220774588761456,12,True,43230.66480757638,survived
Kepler-129,55.0,1.220774588761456,13,True,43230.66516447436,survived
Kepler-129,55.0,1.220774588761456,14,True,43230.66571535407,survived
Kepler-129,55.0,1.220774588761456,15,True,43230.66512594907,survived
Kepler-129,55.0,1.220774588761456,16,True,43230.66460626458,survived
Kepler-129,55.0,1.220774588761456,17,True,43230.665136647774,survived
Kepler-129,55.0,1.220774588761456,18,True,43230.665770532454,survived
Kepler-129,55.0,1.220774588761456,19,True,43230.664879884294,survived
Kepler-129,45.0,1.4142135623730951,0,True,43230.66461741663,survived
Kepler-129,45.0,1.4142135623730951,1,True,43230.665671744544,survived
Kepler-129,45.0,1.4142135623730951,2,True,43230.66537583244,survived
Kepler-129,45.0,1.4142135623730951,3,True,43230.66445088149,survived
Kepler-129,45.0,1.4142135623730951,4,True,43230.66575325265,survived
Kepler-129,45.0,1.4142135623730951,5,True,43230.66600770548,survived
Kepler-129,45.0,1.4142135623730951,6,True,43230.66423227917,survived
Kepler-129,45.0,1.4142135623730951,7,True,43230.665440889476,survived
Kepler-129,45.0,1.4142135623730951,8,True,43230.66560408726,survived
Kepler-129,45.0,1.4142135623730951,9,True,43230.664665683755,survived
Kepler-129,45.0,1.4142135623730951,10,True,43230.66398253526,survived
Kepler-129,45.0,1.4142135623730951,11,True,43230.664601949786,survived
Kepler-129,45.0,1.4142135623730951,12,True,43230.66536963746,survived
Kepler-129,45.0,1.4142135623730951,13,True,43230.66541955899,survived
Kepler-129,45.0,1.4142135623730951,14,True,43230.66492591384,survived
Kepler-129,45.0,1.4142135623730951,15,True,43230.66534838927,survived
