system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
L 98-59,90.0,1.0,0,True,6168.690031231818,survived
L 98-59,90.0,1.0,1,True,6168.690046984206,survived
L 98-59,90.0,1.0,2,True,6168.6901505996775,survived
L 98-59,90.0,1.0,3,True,6168.690185650892,survived
L 98-59,90.0,1.0,4,True,6168.690141382025,survived
L 98-59,90.0,1.0,5,True,6168.689980262654,survived
L 98-59,90.0,1.0,6,True,6168.689939769917,survived
L 98-59,90.0,1.0,7,True,6168.690225851456,survived
L 98-59,90.0,1.0,8,True,6168.690104494323,survived
L 98-59,90.0,1.0,9,True,6168.690100305374,survived
L 98-59,90.0,1.0,10,True,6168.690064847112,survived
L 98-59,90.0,1.0,11,True,6168.690188434111,survived
L 98-59,90.0,1.0,12,True,6168.690222563796,survived
L 98-59,90.0,1.0,13,True,6168.690104218124,survived
L 98-59,90.0,1.0,14,True,6168.690110566714,survived
L 98-59,90.0,1.0,15,True,6168.690135603552,survived
L 98-59,90.0,1.0,16,True,6168.689969011275,survived
L 98-59,90.0,1.0,17,True,6168.690174763406,survived
L 98-59,90.0,1.0,18,True,6168.690164413688,survived
L 98-59,90.0,1.0,19,True,6168.69010197878,survived
L 98-59,70.0,1.0641777724759123,0,True,6168.6899600182915,survived
L 98-59,70.0,1.0641777724759123,1,True,6168.69000772761,survived
L 98-59,70.0,1.0641777724759123,2,True,6168.690207339773,survived
L 98-59,70.0,1.0641777724759123,3,True,6168.689977828623,survived
L 98-59,70.0,1.0641777724759123,4,True,6168.690077913257,survived
L 98-59,70.0,1.0641777724759123,5,True,6168.689983970989,survived
L 98-59,70.0,1.0641777724759123,6,True,6168.690127148844,survived
L 98-59,70.0,1.0641777724759123,7,True,6168.690048434146,survived
L 98-59,70.0,1.0641777724759123,8,True,6168.690156484426,survived
L 98-59,70.0,1.0641777724759123,9,True,6168.690021499498,survived
L 98-59,70.0,1.0641777724759123,10,True,6168.690167143497,survived
L 98-59,70.0,1.0641777724759123,11,True,6168.690148724775,survived
L 98-59,70.0,1.0641777724759123,12,True,6168.690074553124,survived
L 98-59,70.0,1.0641777724759123,13,True,6168.690077914222,survived
L 98-59,70.0,1.0641777724759123,14,True,6168.690152057587,survived
L 98-59,70.0,1.0641777724759123,15,True,6168.690069362411,survived
L 98-59,70.0,1.0641777724759123,16,True,6168.690138086038,survived
L 98-59,70.0,1.0641777724759123,17,True,6168.690021305646,survived
L 98-59,70.0,1.0641777724759123,18,True,6168.69017711306,survived
L 98-59,70.0,1.0641777724759123,19,True,6168.690173810209,survived
L 98-59,55.0,1.220774588761456,0,True,6168.690176960706,survived
L 98-59,55.0,1.220774588761456,1,True,6168.690154968093,survived
L 98-59,55.0,1.220774588761456,2,True,6168.690119330628,survived
L 98-59,55.0,1.220774588761456,3,True,6168.68998195355,survived
L 98-59,55.0,1.220774588761456,4,True,6168.690118539393,survived
L 98-59,55.0,1.220774588761456,5,True,6168.68999929379,survived
L 98-59,55.0,1.220774588761456,6,True,6168.69009586533,survived
L 98-59,55.0,1.220774588761456,7,True,6168.69013589587,survived
L 98-59,55.0,1.220774588761456,8,True,6168.690011302437,survived
L 98-59,55.0,1.220774588761456,9,True,6168.690167011535,survived
L 98-59,55.0,1.220774588761456,10,True,6168.690147843819,survived
L 98-59,55.0,1.220774588761456,11,True,6168.690001061462,survived
L 98-59,55.0,1.220774588761456,12,True,6168.690179084545,survived
L 98-59,55.0,1.220774588761456,13,True,6168.690133715979,survived
L 98-59,55.0,1.220774588761456,14,True,6168.690101503112,survived
L 98-59,55.0,1.220774588761456,15,True,6168.689944401807,survived
