system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
rho CrB,90.0,1.0,0,True,35329.22784361717,survived
rho CrB,90.0,1.0,1,True,35329.22781165274,survived
rho CrB,90.0,1.0,2,True,35329.226589756516,survived
rho CrB,90.0,1.0,3,True,35329.22734077973,survived
rho CrB,90.0,1.0,4,True,35329.22785455584,survived
rho CrB,90.0,1.0,5,True,35329.227336084325,survived
rho CrB,90.0,1.0,6,True,35329.227183646835,survived
rho CrB,90.0,1.0,7,True,35329.226966663555,survived
rho CrB,90.0,1.0,8,True,35329.228004116594,survived
rho CrB,90.0,1.0,9,True,35329.22677935041,survived
rho CrB,90.0,1.0,10,True,35329.226865960125,survived
rho CrB,90.0,1.0,11,True,35329.227667759165,survived
rho CrB,90.0,1.0,12,True,35329.22802954609,survived
rho CrB,90.0,1.0,13,True,35329.227010461465,survived
rho CrB,90.0,1.0,14,True,35329.22740420442,survived
rho CrB,90.0,1.0,15,True,35329.227173166495,survived
rho CrB,90.0,1.0,16,True,35329.22705019479,survived
rho CrB,90.0,1.0,17,True,35329.22713329516,survived
rho CrB,90.0,1.0,18,True,35329.2273805,survived
rho CrB,90.0,1.0,19,True,35329.2269840954,survived
rho CrB,70.0,1.0641777724759123,0,True,35329.226835985086,survived
rho CrB,70.0,1.0641777724759123,1,True,35329.22666323069,survived
rho CrB,70.0,1.0641777724759123,2,True,35329.22716609828,survived
rho CrB,70.0,1.0641777724759123,3,True,35329.22724749666,survived
rho CrB,70.0,1.0641777724759123,4,True,35329.2278991858,survived
rho CrB,70.0,1.0641777724759123,5,True,35329.22780511938,survived
rho CrB,70.0,1.0641777724759123,6,True,35329.22741068019,survived
rho CrB,70.0,1.0641777724759123,7,True,35329.22675123193,survived
rho CrB,70.0,1.0641777724759123,8,True,35329.22770756425,survived
rho CrB,70.0,1.0641777724759123,9,True,35329.22755352687,survived
rho CrB,70.0,1.0641777724759123,10,True,35329.228065483105,survived
rho CrB,70.0,1.0641777724759123,11,True,35329.22693058239,survived
rho CrB,70.0,1.0641777724759123,12,True,35329.22685360094,survived
rho CrB,70.0,1.0641777724759123,13,True,35329.227067980755,survived
rho CrB,70.0,1.0641777724759123,14,True,35329.227737429785,survived
rho CrB,70.0,1.0641777724759123,15,True,35329.22799341694,survived
rho CrB,70.0,1.0641777724759123,16,True,35329.22785404884,survived
rho CrB,70.0,1.0641777724759123,17,True,35329.22738249989,survived
rho CrB,70.0,1.0641777724759123,18,True,35329.22745130957,survived
rho CrB,70.0,1.0641777724759123,19,True,35329.226997750346,survived
rho CrB,55.0,1.220774588761456,0,True,35329.22756174209,survived
rho CrB,55.0,1.220774588761456,1,True,35329.22754511438,survived
rho CrB,55.0,1.220774588761456,2,True,35329.226990081705,survived
rho CrB,55.0,1.220774588761456,3,True,35329.2278000874,survived
rho CrB,55.0,1.220774588761456,4,True,35329.22719446193,survived
rho CrB,55.0,1.220774588761456,5,True,35329.22809852386,survived
rho CrB,55.0,1.220774588761456,6,True,35329.22682033836,survived
rho CrB,55.0,1.220774588761456,7,True,35329.227522982,survived
rho CrB,55.0,1.220774588761456,8,True,35329.227916787335,survived
rho CrB,55.0,1.220774588761456,9,True,35329.22735195349,survived
rho CrB,55.0,1.220774588761456,10,True,35329.22791280389,survived
rho CrB,55.0,1.220774588761456,11,True,35329.22669933246,survived
rho CrB,55.0,1.220774588761456,12,True,35329.227752599974,survived
rho CrB,55.0,1.220774588761456,13,True,35329.226889741476,survived
rho CrB,55.0,1.220774588761456,14,True,35329.22684695167,survived
rho CrB,55.0,1.220774588761456,15,True,35329.22725329601,survived
rho CrB,55.0,1.220774588761456,16,True,35329.22759856958,survived
rho CrB,55.0,1.220774588761456,17,True,35329.22763808349,survived
rho CrB,55.0,1.220774588761456,18,True,35329.2274876718,survived
rho CrB,55.0,1.220774588761456,19,True,35329.2278462535,survived
rho CrB,45.0,1.4142135623730951,0,True,35329.2270163709,survived
rho CrB,45.0,1.4142135623730951,1,True,35329.22717991309,survived
rho CrB,45.0,1.4142135623730951,2,True,35329.227903177285,survived
rho CrB,45.0,1.4142135623730951,3,True,35329.2278356366,survived
rho CrB,45.0,1.4142135623730951,4,True,35329.22791764464,survived
rho CrB,45.0,1.4142135623730951,5,True,35329.22670922526,survived
rho CrB,45.0,1.4142135623730951,6,True,35329.22682046555,survived
rho CrB,45.0,1.4142135623730951,7,True,35329.22745554178,survived
rho CrB,45.0,1.4142135623730951,8,True,35329.22791459598,survived
rho CrB,45.0,1.4142135623730951,9,True,35329.2274754235,survived
rho CrB,45.0,1.4142135623730951,10,True,35329.22764206622,survived
rho CrB,45.0,1.4142135623730951,11,True,35329.22797602609,survived
rho CrB,45.0,1.4142135623730951,12,True,35329.22804608132,survived
rho CrB,45.0,1.4142135623730951,13,True,35329.226700510335,survived
rho CrB,45.0,1.4142135623730951,14,True,35329.227544858026,survived
rho CrB,45.0,1.4142135623730951,15,True,35329.226736565026,survived
rho CrB,45.0,1.4142135623730951,16,True,35329.22749332656,survived
rho CrB,45.0,1.4142135623730951,17,True,35329.227406184575,survived
rho CrB,45.0,1.4142135623730951,18,True,35329.22740576023,survived
rho CrB,45.0,1.4142135623730951,19,True,35329.22762368582,survived
rho CrB,38.0,1.624269245482744,0,True,35329.22766560562,survived
rho CrB,38.0,1.624269245482744,1,True,35329.22719390214,survived
rho CrB,38.0,1.624269245482744,2,True,35329.22750928089,survived
rho CrB,38.0,1.624269245482744,3,True,35329.22694151549,survived
rho CrB,38.0,1.624269245482744,4,True,35329.227161802526,survived
rho CrB,38.0,1.624269245482744,5,True,35329.22714306551,survived
rho CrB,38.0,1.624269245482744,6,True,35329.22729866766,survived
rho CrB,38.0,1.624269245482744,7,True,35329.22734683259,survived
rho CrB,38.0,1.624269245482744,8,True,35329.22764738463,survived
rho CrB,38.0,1.624269245482744,9,True,35329.22751325702,survived
rho CrB,38.0,1.624269245482744,10,True,35329.22684289349,survived
rho CrB,38.0,1.624269245482744,11,True,35329.22706490791,survived
rho CrB,38.0,1.624269245482744,12,True,35329.227306258195,survived
rho CrB,38.0,1.624269245482744,13,True,35329.22811189923,survived
rho CrB,38.0,1.624269245482744,14,True,35329.22669209892,survived
rho CrB,38.0,1.624269245482744,15,True,35329.22692789904,survived
rho CrB,38.0,1.624269245482744,16,True,35329.227623462364,survived
rho CrB,38.0,1.624269245482744,17,True,35329.22745333891,survived
rho CrB,38.0,1.624269245482744,18,True,35329.2271529462,survived
rho CrB,38.0,1.624269245482744,19,True,35329.22774635881,survived
rho CrB,32.0,1.8870799147998585,0,True,35329.22690856969,survived
rho CrB,32.0,1.8870799147998585,1,True,35329.22691001363,survived
rho CrB,32.0,1.8870799147998585,2,True,35329.226705862544,survived
rho CrB,32.0,1.8870799147998585,3,True,35329.22773011205,survived
rho CrB,32.0,1.8870799147998585,4,True,35329.22789623772,survived
rho CrB,32.0,1.8870799147998585,5,True,35329.22696314495,survived
rho CrB,32.0,1.8870799147998585,6,True,35329.22704734068,survived
rho CrB,32.0,1.8870799147998585,7,True,35329.22657513427,survived
rho CrB,32.0,1.8870799147998585,8,True,35329.22755546476,survived
rho CrB,32.0,1.8870799147998585,9,True,35329.2266726738,survived
rho CrB,32.0,1.8870799147998585,10,True,35329.22687626062,survived
rho CrB,32.0,1.8870799147998585,11,True,35329.227302852814,survived
rho CrB,32.0,1.8870799147998585,12,True,35329.22759660325,survived
rho CrB,32.0,1.8870799147998585,13,True,35329.2274805036,survived
rho CrB,32.0,1.8870799147998585,14,True,35329.22676453053,survived
rho CrB,32.0,1.8870799147998585,15,True,35329.22657672671,survived
rho CrB,32.0,1.8870799147998585,16,True,35329.22728534411,survived
rho CrB,32.0,1.8870799147998585,17,True,35329.227569068295,survived
rho CrB,32.0,1.8870799147998585,18,True,35329.22777060165,survived
rho CrB,32.0,1.8870799147998585,19,True,35329.22797154974,survived
rho CrB,27.0,2.2026892645852665,0,True,35329.2277407954,survived
rho CrB,27.0,2.2026892645852665,1,True,35329.22796599138,survived
rho CrB,27.0,2.2026892645852665,2,True,35329.22687830407,survived
rho CrB,27.0,2.2026892645852665,3,True,35329.22820358834,survived
rho CrB,27.0,2.2026892645852665,4,True,35329.22693511994,survived
rho CrB,27.0,2.2026892645852665,5,True,35329.22734598034,survived
rho CrB,27.0,2.2026892645852665,6,True,35329.228274773915,survived
rho CrB,27.0,2.2026892645852665,7,True,35329.22775418762,survived
rho CrB,27.0,2.2026892645852665,8,True,35329.22729387539,survived
rho CrB,27.0,2.2026892645852665,9,True,35329.22786315278,survived
rho CrB,27.0,2.2026892645852665,10,True,35329.22742362147,survived
rho CrB,27.0,2.2026892645852665,11,True,35329.22777913252,survived
rho CrB,27.0,2.2026892645852665,12,True,35329.2274498044,survived
rho CrB,27.0,2.2026892645852665,13,True,35329.22766817042,survived
rho CrB,27.0,2.2026892645852665,14,True,35329.22688356769,survived
rho CrB,27.0,2.2026892645852665,15,True,35329.22660618467,survived
rho CrB,27.0,2.2026892645852665,16,True,35329.226997019585,survived
rho CrB,27.0,2.2026892645852665,17,True,35329.228018868256,survived
rho CrB,27.0,2.2026892645852665,18,True,35329.228145578614,survived
rho CrB,27.0,2.2026892645852665,19,True,35329.226980381245,survived
rho CrB,23.0,2.5593046652474523,0,True,35329.226618242756,survived
rho CrB,23.0,2.5593046652474523,1,True,35329.22764926879,survived
rho CrB,23.0,2.5593046652474523,2,True,35329.22690772512,survived
rho CrB,23.0,2.5593046652474523,3,True,35329.22742459602,survived
rho CrB,23.0,2.5593046652474523,4,True,35329.227893097705,survived
rho CrB,23.0,2.5593046652474523,5,True,35329.227013465956,survived
rho CrB,23.0,2.5593046652474523,6,True,35329.227485100324,survived
rho CrB,23.0,2.5593046652474523,7,True,35329.22729924614,survived
rho CrB,23.0,2.5593046652474523,8,True,35329.22794323977,survived
rho CrB,23.0,2.5593046652474523,9,True,35329.22766509523,survived
rho CrB,23.0,2.5593046652474523,10,True,35329.22787318919,survived
rho CrB,23.0,2.5593046652474523,11,True,35329.226865379926,survived
rho CrB,23.0,2.5593046652474523,12,True,35329.22704482779,survived
rho CrB,23.0,2.5593046652474523,13,True,35329.22677971615,survived
rho CrB,23.0,2.5593046652474523,14,True,35329.22769402903,survived
rho CrB,23.0,2.5593046652474523,15,True,35329.22717607514,survived
rho CrB,23.0,2.5593046652474523,16,True,35329.22728686781,survived
rho CrB,23.0,2.5593046652474523,17,True,35329.22803120869,survived
rho CrB,23.0,2.5593046652474523,18,True,35329.22788005158,survived
rho CrB,23.0,2.5593046652474523,19,True,35329.22819339749,survived
rho CrB,19.0,3.0715534867572423,0,True,35329.226895869884,survived
rho CrB,19.0,3.0715534867572423,1,True,35329.22734692953,survived
rho CrB,19.0,3.0715534867572423,2,True,35329.227820338274,survived
rho CrB,19.0,3.0715534867572423,3,True,35329.22791841818,survived
rho CrB,19.0,3.0715534867572423,4,True,35329.22724346202,survived
rho CrB,19.0,3.0715534867572423,5,True,35329.227742244715,survived
rho CrB,19.0,3.0715534867572423,6,True,35329.226997408245,survived
rho CrB,19.0,3.0715534867572423,7,True,35329.227197762615,survived
rho CrB,19.0,3.0715534867572423,8,True,35329.227538035375,survived
rho CrB,19.0,3.0715534867572423,9,True,35329.22734682703,survived
rho CrB,19.0,3.0715534867572423,10,True,35329.22712444167,survived
rho CrB,19.0,3.0715534867572423,11,True,35329.22704477984,survived
rho CrB,19.0,3.0715534867572423,12,True,35329.22781168577,survived
rho CrB,19.0,3.0715534867572423,13,True,35329.22777515237,survived
rho CrB,19.0,3.0715534867572423,14,True,35329.22678782726,survived
rho CrB,19.0,3.0715534867572423,15,True,35329.22758188181,survived
rho CrB,19.0,3.0715534867572423,16,True,35329.22689417664,survived
rho CrB,19.0,3.0715534867572423,17,True,35329.22766243744,survived
rho CrB,19.0,3.0715534867572423,18,True,35329.22672361633,survived
rho CrB,19.0,3.0715534867572423,19,True,35329.22774552532,survived
rho CrB,16.0,3.6279552785433005,0,True,35329.22731041738,survived
rho CrB,16.0,3.6279552785433005,1,True,35329.227183661504,survived
rho CrB,16.0,3.6279552785433005,2,True,35329.2270256547,survived
rho CrB,16.0,3.6279552785433005,3,True,35329.22716283958,survived
rho CrB,16.0,3.6279552785433005,4,True,35329.22750238547,survived
rho CrB,16.0,3.6279552785433005,5,True,35329.22701717508,survived
rho CrB,16.0,3.6279552785433005,6,True,35329.22721764667,survived
rho CrB,16.0,3.6279552785433005,7,True,35329.22774686037,survived
rho CrB,16.0,3.6279552785433005,8,True,35329.22769681841,survived
rho CrB,16.0,3.6279552785433005,9,True,35329.22682287896,survived
rho CrB,16.0,3.6279552785433005,10,True,35329.22766563948,survived
rho CrB,16.0,3.6279552785433005,11,True,35329.22674478781,survived
rho CrB,16.0,3.6279552785433005,12,True,35329.22683224441,survived
rho CrB,16.0,3.6279552785433005,13,True,35329.22669452701,survived
rho CrB,16.0,3.6279552785433005,14,True,35329.227418562434,survived
rho CrB,16.0,3.6279552785433005,15,True,35329.22711956925,survived
rho CrB,16.0,3.6279552785433005,16,True,35329.22675458116,survived
rho CrB,16.0,3.6279552785433005,17,True,35329.22776121979,survived
rho CrB,16.0,3.6279552785433005,18,True,35329.22767029217,survived
rho CrB,16.0,3.6279552785433005,19,True,35329.22777355026,survived
rho CrB,13.5,4.283657569731186,0,True,35329.2268381074,survived
rho CrB,13.5,4.283657569731186,1,True,35329.22752945968,survived
rho CrB,13.5,4.283657569731186,2,True,35329.226724900494,survived
rho CrB,13.5,4.283657569731186,3,True,35329.22658817959,survived
rho CrB,13.5,4.283657569731186,4,True,35329.22746267751,survived
rho CrB,13.5,4.283657569731186,5,True,35329.22767977471,survived
rho CrB,13.5,4.283657569731186,6,True,35329.22732740507,survived
rho CrB,13.5,4.283657569731186,7,True,35329.22696394797,survived
rho CrB,13.5,4.283657569731186,8,True,35329.22658411308,survived
rho CrB,13.5,4.283657569731186,9,True,35329.22701129928,survived
rho CrB,13.5,4.283657569731186,10,True,35329.22758216642,survived
rho CrB,13.5,4.283657569731186,11,True,35329.2267683232,survived
