system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
TOI-1062,90.0,1.0,0,True,11260.671111982056,survived
TOI-1062,90.0,1.0,1,True,11260.670972294904,survived
TOI-1062,90.0,1.0,2,True,11260.670882540904,survived
TOI-1062,90.0,1.0,3,True,11260.670850695693,survived
TOI-1062,90.0,1.0,4,True,11260.67077553598,survived
TOI-1062,90.0,1.0,5,True,11260.670977342332,survived
TOI-1062,90.0,1.0,6,True,11260.670955065694,survived
TOI-1062,90.0,1.0,7,True,11260.671015198277,survived
TOI-1062,90.0,1.0,8,True,11260.670857425835,survived
TOI-1062,90.0,1.0,9,True,11260.671114864763,survived
TOI-1062,90.0,1.0,10,True,11260.67095334748,survived
TOI-1062,90.0,1.0,11,True,11260.671108985252,survived
TOI-1062,90.0,1.0,12,True,11260.67094637504,survived
TOI-1062,90.0,1.0,13,True,11260.670910259538,survived
TOI-1062,90.0,1.0,14,True,11260.670878964062,survived
TOI-1062,90.0,1.0,15,True,11260.6708288235,survived
TOI-1062,90.0,1.0,16,True,11260.671166756974,survived
TOI-1062,90.0,1.0,17,True,11260.671080872748,survived
TOI-1062,90.0,1.0,18,True,11260.670799435184,survived
TOI-1062,90.0,1.0,19,True,11260.670915380297,survived
TOI-1062,70.0,1.0641777724759123,0,True,11260.671065177577,survived
TOI-1062,70.0,1.0641777724759123,1,False,3034.58785416257,close_encounter
TOI-1062,70.0,1.0641777724759123,2,True,11260.670793713414,survived
TOI-1062,70.0,1.0641777724759123,3,False,182.67019709354034,close_encounter
TOI-1062,70.0,1.0641777724759123,4,True,11260.6711367406,survived
TOI-1062,70.0,1.0641777724759123,5,True,11260.671154893862,survived
TOI-1062,70.0,1.0641777724759123,6,True,11260.670999154645,survived
TOI-1062,70.0,1.0641777724759123,7,True,11260.670842029394,survived
TOI-1062,70.0,1.0641777724759123,8,True,11260.670967854841,survived
TOI-1062,70.0,1.0641777724759123,9,True,11260.671252538821,survived
TOI-1062,70.0,1.0641777724759123,10,True,11260.67081359335,survived
TOI-1062,70.0,1.0641777724759123,11,True,11260.671189536648,survived
TOI-1062,70.0,1.0641777724759123,12,True,11260.670881256478,survived
TOI-1062,70.0,1.0641777724759123,13,True,11260.670820036294,survived
TOI-1062,70.0,1.0641777724759123,14,False,2335.444142931031,close_encounter
TOI-1062,70.0,1.0641777724759123,15,True,11260.670784929172,survived
TOI-1062,70.0,1.0641777724759123,16,True,11260.670859156715,survived
TOI-1062,70.0,1.0641777724759123,17,True,11260.671052371243,survived
TOI-1062,70.0,1.0641777724759123,18,True,11260.671062612466,survived
TOI-1062,70.0,1.0641777724759123,19,True,11260.670783225349,survived
TOI-1062,55.0,1.220774588761456,0,True,11260.670854361371,survived
TOI-1062,55.0,1.220774588761456,1,True,11260.670959045567,survived
TOI-1062,55.0,1.220774588761456,2,True,11260.671003009325,survived
TOI-1062,55.0,1.220774588761456,3,True,11260.671213586256,survived
TOI-1062,55.0,1.220774588761456,4,True,11260.671002379637,survived
TOI-1062,55.0,1.220774588761456,5,True,11260.670891267437,survived
TOI-1062,55.0,1.220774588761456,6,True,11260.670794560929,survived
TOI-1062,55.0,1.220774588761456,7,True,11260.670788130907,survived
TOI-1062,55.0,1.220774588761456,8,True,11260.67081340874,survived
TOI-1062,55.0,1.220774588761456,9,True,11260.670794598109,survived
TOI-1062,55.0,1.220774588761456,10,True,11260.670851009181,survived
TOI-1062,55.0,1.220774588761456,11,True,11260.67083930416,survived
TOI-1062,55.0,1.220774588761456,12,True,11260.67077469522,survived
TOI-1062,55.0,1.220774588761456,13,True,11260.671163728544,survived
TOI-1062,55.0,1.220774588761456,14,True,11260.671009400425,survived
TOI-1062,55.0,1.220774588761456,15,True,11260.670999856537,survived
TOI-1062,55.0,1.220774588761456,16,True,11260.670855231841,survived
TOI-1062,55.0,1.220774588761456,17,True,11260.671034538364,survived
TOI-1062,55.0,1.220774588761456,18,True,11260.670879729058,survived
TOI-1062,55.0,1.220774588761456,19,True,11260.671027823899,survived
TOI-1062,45.0,1.4142135623730951,0,True,11260.671164804851,survived
TOI-1062,45.0,1.4142135623730951,1,True,11260.670878259742,survived
TOI-1062,45.0,1.4142135623730951,2,True,11260.671135117693,survived
TOI-1062,45.0,1.4142135623730951,3,True,11260.670840323372,survived
TOI-1062,45.0,1.4142135623730951,4,True,11260.671011588824,survived
TOI-1062,45.0,1.4142135623730951,5,True,11260.670830923375,survived
TOI-1062,45.0,1.4142135623730951,6,True,11260.670972816366,survived
TOI-1062,45.0,1.4142135623730951,7,True,11260.671180157664,survived
TOI-1062,45.0,1.4142135623730951,8,True,11260.671051033778,survived
TOI-1062,45.0,1.4142135623730951,9,True,11260.670947757539,survived
TOI-1062,45.0,1.4142135623730951,10,True,11260.671211728079,survived
TOI-1062,45.0,1.4142135623730951,11,True,11260.67088126232,survived
TOI-1062,45.0,1.4142135623730951,12,False,0.3022688111826438,close_encounter
TOI-1062,45.0,1.4142135623730951,13,True,11260.670791025783,survived
TOI-1062,45.0,1.4142135623730951,14,False,75.71092853136177,close_encounter
TOI-1062,45.0,1.4142135623730951,15,True,11260.671208346075,survived
TOI-1062,45.0,1.4142135623730951,16,True,11260.670835257642,survived
TOI-1062,45.0,1.4142135623730951,17,True,11260.670777898215,survived
TOI-1062,45.0,1.4142135623730951,18,True,11260.671120829338,survived
TOI-1062,45.0,1.4142135623730951,19,True,11260.671138195004,survived
TOI-1062,38.0,1.624269245482744,0,True,11260.670988701853,survived
TOI-1062,38.0,1.624269245482744,1,True,11260.670809357178,survived
TOI-1062,38.0,1.624269245482744,2,True,11260.67110299108,survived
TOI-1062,38.0,1.624269245482744,3,True,11260.67085914316,survived
TOI-1062,38.0,1.624269245482744,4,True,11260.670814200992,survived
TOI-1062,38.0,1.624269245482744,5,True,11260.670952126737,survived
TOI-1062,38.0,1.624269245482744,6,True,11260.670809985382,survived
TOI-1062,38.0,1.624269245482744,7,True,11260.670787307296,survived
TOI-1062,38.0,1.624269245482744,8,True,11260.670985914145,survived
TOI-1062,38.0,1.624269245482744,9,True,11260.670977046428,survived
TOI-1062,38.0,1.624269245482744,10,True,11260.670842790067,survived
TOI-1062,38.0,1.624269245482744,11,True,11260.670923881638,survived
TOI-1062,38.0,1.624269245482744,12,True,11260.670942685334,survived
TOI-1062,38.0,1.624269245482744,13,True,11260.670844917631,survived
TOI-1062,38.0,1.624269245482744,14,True,11260.67118508042,survived
TOI-1062,38.0,1.624269245482744,15,True,11260.670861609893,survived
TOI-1062,38.0,1.624269245482744,16,True,11260.670968740309,survived
TOI-1062,38.0,1.624269245482744,17,True,11260.670833730977,survived
TOI-1062,38.0,1.624269245482744,18,True,11260.671082745175,survived
TOI-1062,38.0,1.624269245482744,19,True,11260.670819748451,survived
TOI-1062,32.0,1.8870799147998585,0,True,11260.67093152822,survived
TOI-1062,32.0,1.8870799147998585,1,True,11260.671129870589,survived
TOI-1062,32.0,1.8870799147998585,2,True,11260.671152116982,survived
TOI-1062,32.0,1.8870799147998585,3,True,11260.671156636217,survived
TOI-1062,32.0,1.8870799147998585,4,True,11260.671008445308,survived
TOI-1062,32.0,1.8870799147998585,5,True,11260.670879871435,survived
TOI-1062,32.0,1.8870799147998585,6,True,11260.670992781885,survived
TOI-1062,32.0,1.8870799147998585,7,True,11260.670845994626,survived
TOI-1062,32.0,1.8870799147998585,8,False,2092.6055755686166,close_encounter
TOI-1062,32.0,1.8870799147998585,9,True,11260.671062777963,survived
TOI-1062,32.0,1.8870799147998585,10,True,11260.671027068063,survived
TOI-1062,32.0,1.8870799147998585,11,True,11260.67090570361,survived
TOI-1062,32.0,1.8870799147998585,12,True,11260.670936260649,survived
TOI-1062,32.0,1.8870799147998585,13,True,11260.670849456797,survived
TOI-1062,32.0,1.8870799147998585,14,True,11260.670906955327,survived
TOI-1062,32.0,1.8870799147998585,15,True,11260.671125005156,survived
TOI-1062,32.0,1.8870799147998585,16,False,3345.9862221308354,close_encounter
TOI-1062,32.0,1.8870799147998585,17,True,11260.671126558642,survived
TOI-1062,32.0,1.8870799147998585,18,True,11260.67109410009,survived
TOI-1062,32.0,1.8870799147998585,19,True,11260.67081969195,survived
TOI-1062,27.0,2.2026892645852665,0,True,11260.671055575036,survived
TOI-1062,27.0,2.2026892645852665,1,True,11260.671039835139,survived
TOI-1062,27.0,2.2026892645852665,2,True,11260.671189335,survived
TOI-1062,27.0,2.2026892645852665,3,True,11260.671142946112,survived
TOI-1062,27.0,2.2026892645852665,4,True,11260.670876313286,survived
TOI-1062,27.0,2.2026892645852665,5,True,11260.671027656002,survived
TOI-1062,27.0,2.2026892645852665,6,False,2398.7405259037782,close_encounter
TOI-1062,27.0,2.2026892645852665,7,True,11260.671036565467,survived
TOI-1062,27.0,2.2026892645852665,8,True,11260.670835890805,survived
TOI-1062,27.0,2.2026892645852665,9,True,11260.670812377743,survived
TOI-1062,27.0,2.2026892645852665,10,True,11260.671037127144,survived
TOI-1062,27.0,2.2026892645852665,11,True,11260.670807838378,survived
TOI-1062,27.0,2.2026892645852665,12,True,11260.67094923862,survived
TOI-1062,27.0,2.2026892645852665,13,True,11260.670802456749,survived
TOI-1062,27.0,2.2026892645852665,14,True,11260.671144956426,survived
TOI-1062,27.0,2.2026892645852665,15,True,11260.670939670064,survived
TOI-1062,27.0,2.2026892645852665,16,False,25.22779596818229,close_encounter
TOI-1062,27.0,2.2026892645852665,17,True,11260.670980846708,survived
TOI-1062,27.0,2.2026892645852665,18,True,11260.671176652768,survived
TOI-1062,27.0,2.2026892645852665,19,True,11260.671164401252,survived
TOI-1062,23.0,2.5593046652474523,0,True,11260.671063268335,survived
TOI-1062,23.0,2.5593046652474523,1,True,11260.671116623427,survived
TOI-1062,23.0,2.5593046652474523,2,True,11260.670781296,survived
TOI-1062,23.0,2.5593046652474523,3,True,11260.670801456892,survived
TOI-1062,23.0,2.5593046652474523,4,True,11260.67104305315,survived
TOI-1062,23.0,2.5593046652474523,5,True,11260.671167281263,survived
TOI-1062,23.0,2.5593046652474523,6,True,11260.670823883318,survived
TOI-1062,23.0,2.5593046652474523,7,True,11260.670813937399,survived
TOI-1062,23.0,2.5593046652474523,8,False,721.8545957148187,close_encounter
TOI-1062,23.0,2.5593046652474523,9,True,11260.670781070696,survived
TOI-1062,23.0,2.5593046652474523,10,True,11260.670791893395,survived
TOI-1062,23.0,2.5593046652474523,11,True,11260.6711937884,survived
TOI-1062,23.0,2.5593046652474523,12,True,11260.670861603017,survived
TOI-1062,23.0,2.5593046652474523,13,True,11260.671071152345,survived
TOI-1062,23.0,2.5593046652474523,14,True,11260.670846237927,survived
TOI-1062,23.0,2.5593046652474523,15,True,11260.670947542205,survived
TOI-1062,23.0,2.5593046652474523,16,True,11260.670977601756,survived
TOI-1062,23.0,2.5593046652474523,17,True,11260.670789647404,survived
TOI-1062,23.0,2.5593046652474523,18,True,11260.671124564913,survived
TOI-1062,23.0,2.5593046652474523,19,True,11260.67108838926,survived
TOI-1062,19.0,3.0715534867572423,0,True,11260.670805354961,survived
TOI-1062,19.0,3.0715534867572423,1,True,11260.67108550487,survived
TOI-1062,19.0,3.0715534867572423,2,True,11260.67081876587,survived
TOI-1062,19.0,3.0715534867572423,3,True,11260.671202180056,survived
TOI-1062,19.0,3.0715534867572423,4,True,11260.670948831357,survived
TOI-1062,19.0,3.0715534867572423,5,False,10252.62179580719,close_encounter
TOI-1062,19.0,3.0715534867572423,6,True,11260.670876558122,survived
TOI-1062,19.0,3.0715534867572423,7,True,11260.670933976155,survived
TOI-1062,19.0,3.0715534867572423,8,True,11260.671052149935,survived
TOI-1062,19.0,3.0715534867572423,9,True,11260.671093891102,survived
TOI-1062,19.0,3.0715534867572423,10,True,11260.67084177668,survived
TOI-1062,19.0,3.0715534867572423,11,True,11260.671120734632,survived
TOI-1062,19.0,3.0715534867572423,12,True,11260.670992597312,survived
TOI-1062,19.0,3.0715534867572423,13,True,11260.671086368684,survived
TOI-1062,19.0,3.0715534867572423,14,True,11260.671083569305,survived
TOI-1062,19.0,3.0715534867572423,15,False,272.4314365129218,close_encounter
TOI-1062,19.0,3.0715534867572423,16,True,11260.67107934522,survived
TOI-1062,19.0,3.0715534867572423,17,True,11260.670841327925,survived
