system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
TYC 1422-614-1,90.0,1.0,0,True,543189.6039692486,survived
TYC 1422-614-1,90.0,1.0,1,True,543189.5992805377,survived
TYC 1422-614-1,90.0,1.0,2,True,543189.5970751808,survived
TYC 1422-614-1,90.0,1.0,3,True,543189.6073340888,survived
TYC 1422-614-1,90.0,1.0,4,True,543189.6110460799,survived
TYC 1422-614-1,90.0,1.0,5,True,543189.6168764358,survived
TYC 1422-614-1,90.0,1.0,6,True,543189.6106167962,survived
TYC 1422-614-1,90.0,1.0,7,True,543189.6100509218,survived
TYC 1422-614-1,90.0,1.0,8,True,543189.5970570764,survived
TYC 1422-614-1,90.0,1.0,9,True,543189.6057707453,survived
TYC 1422-614-1,90.0,1.0,10,True,543189.5987813295,survived
TYC 1422-614-1,90.0,1.0,11,True,543189.6186315161,survived
TYC 1422-614-1,90.0,1.0,12,True,543189.6124764849,survived
TYC 1422-614-1,90.0,1.0,13,True,543189.6205255747,survived
TYC 1422-614-1,90.0,1.0,14,True,543189.6107381933,survived
TYC 1422-614-1,90.0,1.0,15,True,543189.6029003055,survived
TYC 1422-614-1,90.0,1.0,16,True,543189.6195584175,survived
TYC 1422-614-1,90.0,1.0,17,True,543189.6072417495,survived
TYC 1422-614-1,90.0,1.0,18,True,543189.599913955,survived
TYC 1422-614-1,90.0,1.0,19,True,543189.6163374099,survived
TYC 1422-614-1,70.0,1.0641777724759123,0,True,543189.6117768094,survived
TYC 1422-614-1,70.0,1.0641777724759123,1,True,543189.619340236,survived
TYC 1422-614-1,70.0,1.0641777724759123,2,True,543189.5992015328,survived
TYC 1422-614-1,70.0,1.0641777724759123,3,True,543189.6168455153,survived
TYC 1422-614-1,70.0,1.0641777724759123,4,True,543189.59994302,survived
TYC 1422-614-1,70.0,1.0641777724759123,5,True,543189.609703951,survived
TYC 1422-614-1,70.0,1.0641777724759123,6,True,543189.6197269632,survived
TYC 1422-614-1,70.0,1.0641777724759123,7,True,543189.6102776441,survived
TYC 1422-614-1,70.0,1.0641777724759123,8,True,543189.6140900756,survived
TYC 1422-614-1,70.0,1.0641777724759123,9,True,543189.6205185918,survived
TYC 1422-614-1,70.0,1.0641777724759123,10,True,543189.5973077874,survived
TYC 1422-614-1,70.0,1.0641777724759123,11,True,543189.6051601025,survived
TYC 1422-614-1,70.0,1.0641777724759123,12,True,543189.6066416613,survived
TYC 1422-614-1,70.0,1.0641777724759123,13,True,543189.5969624729,survived
TYC 1422-614-1,70.0,1.0641777724759123,14,True,543189.6087073248,survived
TYC 1422-614-1,70.0,1.0641777724759123,15,True,543189.604120755,survived
TYC 1422-614-1,70.0,1.0641777724759123,16,True,543189.5999509556,survived
TYC 1422-614-1,70.0,1.0641777724759123,17,True,543189.6043260209,survived
TYC 1422-614-1,70.0,1.0641777724759123,18,True,543189.5977297848,survived
TYC 1422-614-1,70.0,1.0641777724759123,19,True,543189.6033721913,survived
TYC 1422-614-1,55.0,1.220774588761456,0,True,543189.6009614854,survived
TYC 1422-614-1,55.0,1.220774588761456,1,True,543189.615728639,survived
TYC 1422-614-1,55.0,1.220774588761456,2,True,543189.6101136049,survived
TYC 1422-614-1,55.0,1.220774588761456,3,True,543189.6174825454,survived
TYC 1422-614-1,55.0,1.220774588761456,4,True,543189.6100604603,survived
TYC 1422-614-1,55.0,1.220774588761456,5,True,543189.6049428642,survived
TYC 1422-614-1,55.0,1.220774588761456,6,True,543189.5964155404,survived
TYC 1422-614-1,55.0,1.220774588761456,7,True,543189.6128949022,survived
TYC 1422-614-1,55.0,1.220774588761456,8,True,543189.6062427097,survived
TYC 1422-614-1,55.0,1.220774588761456,9,True,543189.6024233456,survived
TYC 1422-614-1,55.0,1.220774588761456,10,True,543189.6196496136,survived
TYC 1422-614-1,55.0,1.220774588761456,11,True,543189.6024491758,survived
TYC 1422-614-1,55.0,1.220774588761456,12,True,543189.6014116952,survived
TYC 1422-614-1,55.0,1.220774588761456,13,True,543189.6051226784,survived
TYC 1422-614-1,55.0,1.220774588761456,14,True,543189.6176652104,survived
TYC 1422-614-1,55.0,1.220774588761456,15,True,543189.6159937269,survived
