system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
Wolf 1061,90.0,1.0,0,True,13379.603285576342,survived
Wolf 1061,90.0,1.0,1,True,13379.603174906064,survived
Wolf 1061,90.0,1.0,2,True,13379.603204489007,survived
Wolf 1061,90.0,1.0,3,True,13379.603136185546,survived
Wolf 1061,90.0,1.0,4,True,13379.603281861146,survived
Wolf 1061,90.0,1.0,5,True,13379.603335987347,survived
Wolf 1061,90.0,1.0,6,True,13379.60330672545,survived
Wolf 1061,90.0,1.0,7,True,13379.603428631197,survived
Wolf 1061,90.0,1.0,8,True,13379.603150310555,survived
Wolf 1061,90.0,1.0,9,True,13379.603371497724,survived
Wolf 1061,90.0,1.0,10,True,13379.60348615605,survived
Wolf 1061,90.0,1.0,11,True,13379.603295613279,survived
Wolf 1061,90.0,1.0,12,True,13379.603450746374,survived
Wolf 1061,90.0,1.0,13,True,13379.60340338949,survived
Wolf 1061,90.0,1.0,14,True,13379.603064626988,survived
Wolf 1061,90.0,1.0,15,True,13379.60342338891,survived
Wolf 1061,90.0,1.0,16,True,13379.603203100276,survived
Wolf 1061,90.0,1.0,17,True,13379.60310421929,survived
Wolf 1061,90.0,1.0,18,True,13379.60339634208,survived
Wolf 1061,90.0,1.0,19,True,13379.603013122533,survived
Wolf 1061,70.0,1.0641777724759123,0,True,13379.603088414253,survived
Wolf 1061,70.0,1.0641777724759123,1,True,13379.603381355833,survived
Wolf 1061,70.0,1.0641777724759123,2,True,13379.603304266857,survived
Wolf 1061,70.0,1.0641777724759123,3,True,13379.603101231978,survived
Wolf 1061,70.0,1.0641777724759123,4,True,13379.60305256059,survived
Wolf 1061,70.0,1.0641777724759123,5,True,13379.603436341986,survived
Wolf 1061,70.0,1.0641777724759123,6,True,13379.603286625255,survived
Wolf 1061,70.0,1.0641777724759123,7,True,13379.603405016062,survived
Wolf 1061,70.0,1.0641777724759123,8,True,13379.603311715333,survived
Wolf 1061,70.0,1.0641777724759123,9,True,13379.603161923687,survived
Wolf 1061,70.0,1.0641777724759123,10,True,13379.603076900783,survived
Wolf 1061,70.0,1.0641777724759123,11,True,13379.60330437457,survived
Wolf 1061,70.0,1.0641777724759123,12,False,4.69656932575122,close_encounter
Wolf 1061,70.0,1.0641777724759123,13,True,13379.603387801575,survived
Wolf 1061,70.0,1.0641777724759123,14,True,13379.60349724047,survived
Wolf 1061,70.0,1.0641777724759123,15,True,13379.603406363629,survived
Wolf 1061,70.0,1.0641777724759123,16,True,13379.603104376556,survived
Wolf 1061,70.0,1.0641777724759123,17,True,13379.603344863,survived
Wolf 1061,70.0,1.0641777724759123,18,True,13379.603125325848,survived
Wolf 1061,70.0,1.0641777724759123,19,True,13379.603035095097,survived
Wolf 1061,55.0,1.220774588761456,0,True,13379.6031509674,survived
Wolf 1061,55.0,1.220774588761456,1,True,13379.603181688679,survived
Wolf 1061,55.0,1.220774588761456,2,True,13379.603136276202,survived
Wolf 1061,55.0,1.220774588761456,3,True,13379.603193442055,survived
Wolf 1061,55.0,1.220774588761456,4,True,13379.603246256613,survived
Wolf 1061,55.0,1.220774588761456,5,True,13379.603146520682,survived
Wolf 1061,55.0,1.220774588761456,6,True,13379.603087026946,survived
Wolf 1061,55.0,1.220774588761456,7,True,13379.60312236343,survived
Wolf 1061,55.0,1.220774588761456,8,True,13379.603243096295,survived
Wolf 1061,55.0,1.220774588761456,9,True,13379.60320364783,survived
Wolf 1061,55.0,1.220774588761456,10,True,13379.603474296571,survived
Wolf 1061,55.0,1.220774588761456,11,True,13379.603188315397,survived
Wolf 1061,55.0,1.220774588761456,12,True,13379.60351043018,survived
Wolf 1061,55.0,1.220774588761456,13,True,13379.60340236356,survived
Wolf 1061,55.0,1.220774588761456,14,True,13379.60302367427,survived
Wolf 1061,55.0,1.220774588761456,15,True,13379.603526986806,survived
Wolf 1061,55.0,1.220774588761456,16,True,13379.603091118544,survived
Wolf 1061,55.0,1.220774588761456,17,True,13379.60333456341,survived
Wolf 1061,55.0,1.220774588761456,18,True,13379.60312904781,survived
Wolf 1061,55.0,1.220774588761456,19,True,13379.603059545021,survived
Wolf 1061,45.0,1.4142135623730951,0,True,13379.603060269399,survived
Wolf 1061,45.0,1.4142135623730951,1,True,13379.603031106399,survived
Wolf 1061,45.0,1.4142135623730951,2,True,13379.603091956535,survived
Wolf 1061,45.0,1.4142135623730951,3,True,13379.60303718754,survived
Wolf 1061,45.0,1.4142135623730951,4,True,13379.603406062948,survived
Wolf 1061,45.0,1.4142135623730951,5,True,13379.603068948854,survived
Wolf 1061,45.0,1.4142135623730951,6,True,13379.603314524613,survived
Wolf 1061,45.0,1.4142135623730951,7,True,13379.603155477298,survived
Wolf 1061,45.0,1.4142135623730951,8,True,13379.603405614198,survived
Wolf 1061,45.0,1.4142135623730951,9,True,13379.603230703933,survived
Wolf 1061,45.0,1.4142135623730951,10,True,13379.603341830225,survived
Wolf 1061,45.0,1.4142135623730951,11,True,13379.603390752829,survived
Wolf 1061,45.0,1.4142135623730951,12,True,13379.603431024885,survived
Wolf 1061,45.0,1.4142135623730951,13,True,13379.603304113843,survived
Wolf 1061,45.0,1.4142135623730951,14,True,13379.603097480467,survived
Wolf 1061,45.0,1.4142135623730951,15,True,13379.603297054271,survived
Wolf 1061,45.0,1.4142135623730951,16,True,13379.60338179876,survived
Wolf 1061,45.0,1.4142135623730951,17,True,13379.603186294242,survived
Wolf 1061,45.0,1.4142135623730951,18,True,13379.603198537072,survived
Wolf 1061,45.0,1.4142135623730951,19,True,13379.60305074962,survived
Wolf 1061,38.0,1.624269245482744,0,True,13379.60303498316,survived
Wolf 1061,38.0,1.624269245482744,1,True,13379.603429727735,survived
Wolf 1061,38.0,1.624269245482744,2,True,13379.603060324844,survived
Wolf 1061,38.0,1.624269245482744,3,True,13379.60310372963,survived
Wolf 1061,38.0,1.624269245482744,4,True,13379.603251214456,survived
Wolf 1061,38.0,1.624269245482744,5,True,13379.603192769353,survived
Wolf 1061,38.0,1.624269245482744,6,True,13379.603156393794,survived
Wolf 1061,38.0,1.624269245482744,7,True,13379.603254834223,survived
Wolf 1061,38.0,1.624269245482744,8,True,13379.603149235596,survived
Wolf 1061,38.0,1.624269245482744,9,True,13379.603295593512,survived
Wolf 1061,38.0,1.624269245482744,10,True,13379.603353290422,survived
Wolf 1061,38.0,1.624269245482744,11,True,13379.603247672927,survived
Wolf 1061,38.0,1.624269245482744,12,True,13379.603347530476,survived
Wolf 1061,38.0,1.624269245482744,13,True,13379.603053160812,survived
Wolf 1061,38.0,1.624269245482744,14,True,13379.603093643336,survived
Wolf 1061,38.0,1.624269245482744,15,True,13379.603047896419,survived
Wolf 1061,38.0,1.624269245482744,16,True,13379.603061139625,survived
Wolf 1061,38.0,1.624269245482744,17,True,13379.603145834264,survived
