system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
61 Vir,90.0,1.0,0,False,1007.1914304661464,close_encounter
61 Vir,90.0,1.0,1,True,11540.041349091194,survived
61 Vir,90.0,1.0,2,True,11540.041298933891,survived
61 Vir,90.0,1.0,3,True,11540.041110659853,survived
61 Vir,90.0,1.0,4,True,11540.041404180114,survived
61 Vir,70.0,1.0641777724759123,0,True,11540.041070613745,survived
61 Vir,70.0,1.0641777724759123,1,True,11540.041071950502,survived
61 Vir,70.0,1.0641777724759123,2,True,11540.04116981704,survived
61 Vir,70.0,1.0641777724759123,3,True,11540.041380099163,survived
61 Vir,70.0,1.0641777724759123,4,True,11540.041537816238,survived
61 Vir,55.0,1.220774588761456,0,False,2505.7936131442166,close_encounter
61 Vir,55.0,1.220774588761456,1,True,11540.041443515478,survived
61 Vir,55.0,1.220774588761456,2,True,11540.0413980632,survived
61 Vir,55.0,1.220774588761456,3,False,18.058573619949904,close_encounter
61 Vir,55.0,1.220774588761456,4,False,77.95203481586205,close_encounter
61 Vir,40.0,1.5557238268604126,0,True,11540.041253165902,survived
61 Vir,40.0,1.5557238268604126,1,True,11540.041100018823,survived
61 Vir,40.0,1.5557238268604126,2,True,11540.041145175423,survived
61 Vir,40.0,1.5557238268604126,3,True,11540.041352496544,survived
61 Vir,40.0,1.5557238268604126,4,True,11540.041075239136,survived
61 Vir,30.0,2.0000000000000004,0,True,11540.041518316533,survived
61 Vir,30.0,2.0000000000000004,1,True,11540.041463990645,survived
61 Vir,30.0,2.0000000000000004,2,True,11540.041333556075,survived
61 Vir,30.0,2.0000000000000004,3,True,11540.04142225748,survived
61 Vir,30.0,2.0000000000000004,4,True,11540.041470555374,survived
61 Vir,22.0,2.6694671625540143,0,True,11540.04129897713,survived
61 Vir,22.0,2.6694671625540143,1,True,11540.04151508438,survived
61 Vir,22.0,2.6694671625540143,2,True,11540.041265124544,survived
61 Vir,22.0,2.6694671625540143,3,True,11540.041155461993,survived
61 Vir,22.0,2.6694671625540143,4,False,8719.560323714408,close_encounter
61 Vir,16.0,3.6279552785433005,0,False,10582.095674931761,close_encounter
61 Vir,16.0,3.6279552785433005,1,True,11540.041375038616,survived
61 Vir,16.0,3.6279552785433005,2,True,11540.041331179113,survived
61 Vir,16.0,3.6279552785433005,3,False,1.910316844164075,close_encounter
61 Vir,16.0,3.6279552785433005,4,True,11540.041079568955,survived
61 Vir,12.0,4.809734344744131,0,True,11540.04130771041,survived
61 Vir,12.0,4.809734344744131,1,True,11540.041177197441,survived
61 Vir,12.0,4.809734344744131,2,True,11540.041368257556,survived
61 Vir,12.0,4.809734344744131,3,True,11540.041190913864,survived
61 Vir,12.0,4.809734344744131,4,True,11540.041339485895,survived
61 Vir,9.0,6.392453221499662,0,True,11540.0412585763,survived
61 Vir,9.0,6.392453221499662,1,True,11540.041209993122,survived
61 Vir,9.0,6.392453221499662,2,True,11540.04134925332,survived
61 Vir,9.0,6.392453221499662,3,False,3273.1882085090024,close_encounter
61 Vir,9.0,6.392453221499662,4,True,11540.041341503013,survived
61 Vir,7.0,8.205509048125078,0,True,11540.041073591003,survived
61 Vir,7.0,8.205509048125078,1,True,11540.04151021205,survived
61 Vir,7.0,8.205509048125078,2,True,11540.041324637086,survived
61 Vir,7.0,8.205509048125078,3,True,11540.04161349242,survived
61 Vir,7.0,8.205509048125078,4,False,6197.5038831789925,close_encounter
61 Vir,5.0,11.473713245669856,0,False,4501.458235793054,close_encounter
61 Vir,5.0,11.473713245669856,1,True,11540.041116174303,survived
61 Vir,5.0,11.473713245669856,2,False,4466.1807212141375,close_encounter
61 Vir,5.0,11.473713245669856,3,True,11540.04140002607,survived
61 Vir,5.0,11.473713245669856,4,True,11540.041254775284,survived
