system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
75 Cet,90.0,1.0,0,True,1907241.6795305617,survived
75 Cet,90.0,1.0,1,True,1907241.659882992,survived
75 Cet,90.0,1.0,2,True,1907241.6443284266,survived
75 Cet,90.0,1.0,3,True,1907241.6253969383,survived
75 Cet,90.0,1.0,4,True,1907241.6500251628,survived
75 Cet,70.0,1.0641777724759123,0,True,1907241.6650422204,survived
75 Cet,70.0,1.0641777724759123,1,True,1907241.6797521173,survived
75 Cet,70.0,1.0641777724759123,2,True,1907241.6655005848,survived
75 Cet,70.0,1.0641777724759123,3,True,1907241.6451978781,survived
75 Cet,70.0,1.0641777724759123,4,True,1907241.6580079072,survived
75 Cet,55.0,1.220774588761456,0,True,1907241.6345335045,survived
75 Cet,55.0,1.220774588761456,1,True,1907241.622245605,survived
75 Cet,55.0,1.220774588761456,2,True,1907241.6913356562,survived
75 Cet,55.0,1.220774588761456,3,True,1907241.6171439735,survived
75 Cet,55.0,1.220774588761456,4,True,1907241.6872076753,survived
75 Cet,40.0,1.5557238268604126,0,True,1907241.616563724,survived
75 Cet,40.0,1.5557238268604126,1,True,1907241.6351123566,survived
75 Cet,40.0,1.5557238268604126,2,True,1907241.638331364,survived
75 Cet,40.0,1.5557238268604126,3,True,1907241.6418347533,survived
75 Cet,40.0,1.5557238268604126,4,True,1907241.6440971713,survived
75 Cet,30.0,2.0000000000000004,0,True,1907241.664897987,survived
75 Cet,30.0,2.0000000000000004,1,True,1907241.6372481356,survived
75 Cet,30.0,2.0000000000000004,2,True,1907241.687223665,survived
75 Cet,30.0,2.0000000000000004,3,True,1907241.6625708626,survived
75 Cet,30.0,2.0000000000000004,4,True,1907241.6759906195,survived
75 Cet,22.0,2.6694671625540143,0,True,1907241.6616237017,survived
75 Cet,22.0,2.6694671625540143,1,True,1907241.680799148,survived
75 Cet,22.0,2.6694671625540143,2,True,1907241.6839685505,survived
75 Cet,22.0,2.6694671625540143,3,True,1907241.6904888374,survived
75 Cet,22.0,2.6694671625540143,4,True,1907241.6358696495,survived
75 Cet,16.0,3.6279552785433005,0,True,1907241.6673732323,survived
75 Cet,16.0,3.6279552785433005,1,False,199705.88758612252,escape
75 Cet,16.0,3.6279552785433005,2,True,1907241.6717875367,survived
75 Cet,16.0,3.6279552785433005,3,True,1907241.6350663423,survived
75 Cet,16.0,3.6279552785433005,4,True,1907241.6546513592,survived
75 Cet,12.0,4.809734344744131,0,True,1907241.6442406476,survived
75 Cet,12.0,4.809734344744131,1,True,1907241.6497700668,survived
75 Cet,12.0,4.809734344744131,2,True,1907241.6850682227,survived
75 Cet,12.0,4.809734344744131,3,True,1907241.6407152272,survived
75 Cet,12.0,4.809734344744131,4,True,1907241.6174774927,survived
75 Cet,9.0,6.392453221499662,0,True,1907241.6779950086,survived
75 Cet,9.0,6.392453221499662,1,True,1907241.6681135441,survived
75 Cet,9.0,6.392453221499662,2,True,1907241.6730318165,survived
75 Cet,9.0,6.392453221499662,3,True,1907241.6655265365,survived
75 Cet,9.0,6.392453221499662,4,True,1907241.6530877906,survived
75 Cet,7.0,8.205509048125078,0,False,34091.27094415801,escape
75 Cet,7.0,8.205509048125078,1,True,1907241.6690832553,survived
75 Cet,7.0,8.205509048125078,2,True,1907241.634631811,survived
75 Cet,7.0,8.205509048125078,3,True,1907241.6506834112,survived
75 Cet,7.0,8.205509048125078,4,True,1907241.694546028,survived
75 Cet,5.0,11.473713245669856,0,False,1187920.9129645787,escape
75 Cet,5.0,11.473713245669856,1,False,150.5080275067624,close_encounter
75 Cet,5.0,11.473713245669856,2,True,1907241.6359309035,survived
75 Cet,5.0,11.473713245669856,3,True,1907241.6559106847,survived
75 Cet,5.0,11.473713245669856,4,True,1907241.635323694,survived
