system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
DMPP-6,90.0,1.0,0,True,20815.058237163437,survived
DMPP-6,90.0,1.0,1,True,20815.058218439528,survived
DMPP-6,90.0,1.0,2,True,20815.058200254633,survived
DMPP-6,90.0,1.0,3,True,20815.05845623709,survived
DMPP-6,90.0,1.0,4,True,20815.058557643606,survived
DMPP-6,70.0,1.0641777724759123,0,True,20815.058686564073,survived
DMPP-6,70.0,1.0641777724759123,1,True,20815.058238021495,survived
DMPP-6,70.0,1.0641777724759123,2,True,20815.05869450893,survived
DMPP-6,70.0,1.0641777724759123,3,True,20815.058302849007,survived
DMPP-6,70.0,1.0641777724759123,4,True,20815.05841733599,survived
DMPP-6,55.0,1.220774588761456,0,True,20815.058201191572,survived
DMPP-6,55.0,1.220774588761456,1,True,20815.0582107483,survived
DMPP-6,55.0,1.220774588761456,2,True,20815.05845243209,survived
DMPP-6,55.0,1.220774588761456,3,True,20815.058472589466,survived
DMPP-6,55.0,1.220774588761456,4,True,20815.05827797867,survived
DMPP-6,40.0,1.5557238268604126,0,True,20815.05824815986,survived
DMPP-6,40.0,1.5557238268604126,1,True,20815.058679864505,survived
DMPP-6,40.0,1.5557238268604126,2,True,20815.05871287877,survived
DMPP-6,40.0,1.5557238268604126,3,True,20815.058309521348,survived
DMPP-6,40.0,1.5557238268604126,4,True,20815.05831209755,survived
DMPP-6,30.0,2.0000000000000004,0,True,20815.058353045708,survived
DMPP-6,30.0,2.0000000000000004,1,True,20815.05835559961,survived
DMPP-6,30.0,2.0000000000000004,2,True,20815.05818152277,survived
DMPP-6,30.0,2.0000000000000004,3,True,20815.05860432688,survived
DMPP-6,30.0,2.0000000000000004,4,True,20815.058479523093,survived
DMPP-6,22.0,2.6694671625540143,0,True,20815.058602382345,survived
DMPP-6,22.0,2.6694671625540143,1,True,20815.058316781473,survived
DMPP-6,22.0,2.6694671625540143,2,True,20815.058368529142,survived
DMPP-6,22.0,2.6694671625540143,3,True,20815.058459373762,survived
DMPP-6,22.0,2.6694671625540143,4,True,20815.058521731135,survived
DMPP-6,16.0,3.6279552785433005,0,True,20815.058327973173,survived
DMPP-6,16.0,3.6279552785433005,1,True,20815.05822863402,survived
DMPP-6,16.0,3.6279552785433005,2,True,20815.05842258683,survived
DMPP-6,16.0,3.6279552785433005,3,True,20815.058222722728,survived
DMPP-6,16.0,3.6279552785433005,4,True,20815.058819346807,survived
DMPP-6,12.0,4.809734344744131,0,True,20815.05828926241,survived
DMPP-6,12.0,4.809734344744131,1,True,20815.058583172966,survived
DMPP-6,12.0,4.809734344744131,2,True,20815.058258564364,survived
DMPP-6,12.0,4.809734344744131,3,True,20815.058502407923,survived
DMPP-6,12.0,4.809734344744131,4,True,20815.058433455604,survived
DMPP-6,9.0,6.392453221499662,0,True,20815.058599934768,survived
DMPP-6,9.0,6.392453221499662,1,True,20815.058294555514,survived
DMPP-6,9.0,6.392453221499662,2,True,20815.058397324585,survived
DMPP-6,9.0,6.392453221499662,3,True,20815.058216046942,survived
DMPP-6,9.0,6.392453221499662,4,True,20815.05876692739,survived
DMPP-6,7.0,8.205509048125078,0,True,20815.05867726998,survived
DMPP-6,7.0,8.205509048125078,1,True,20815.05870733089,survived
DMPP-6,7.0,8.205509048125078,2,True,20815.058446053874,survived
DMPP-6,7.0,8.205509048125078,3,True,20815.05826127141,survived
DMPP-6,7.0,8.205509048125078,4,True,20815.05824819337,survived
DMPP-6,5.0,11.473713245669856,0,True,20815.058631467662,survived
DMPP-6,5.0,11.473713245669856,1,True,20815.058836771303,survived
DMPP-6,5.0,11.473713245669856,2,True,20815.058331367047,survived
DMPP-6,5.0,11.473713245669856,3,True,20815.058337897553,survived
DMPP-6,5.0,11.473713245669856,4,True,20815.058501985135,survived
