system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
GJ 229,90.0,1.0,0,False,539.4221356161075,close_encounter
GJ 229,90.0,1.0,1,True,333833.4940882913,survived
GJ 229,90.0,1.0,2,True,333833.4877480891,survived
GJ 229,90.0,1.0,3,True,333833.4907159687,survived
GJ 229,90.0,1.0,4,True,333833.48762362875,survived
GJ 229,70.0,1.0641777724759123,0,True,333833.48579663865,survived
GJ 229,70.0,1.0641777724759123,1,True,333833.4904130466,survived
GJ 229,70.0,1.0641777724759123,2,True,333833.4929768347,survived
GJ 229,70.0,1.0641777724759123,3,False,162962.9357064602,close_encounter
GJ 229,70.0,1.0641777724759123,4,True,333833.4904365832,survived
GJ 229,55.0,1.220774588761456,0,True,333833.4883962404,survived
GJ 229,55.0,1.220774588761456,1,True,333833.4844958075,survived
GJ 229,55.0,1.220774588761456,2,True,333833.4842069689,survived
GJ 229,55.0,1.220774588761456,3,True,333833.48461479804,survived
GJ 229,55.0,1.220774588761456,4,True,333833.490359044,survived
GJ 229,40.0,1.5557238268604126,0,True,333833.48599672,survived
GJ 229,40.0,1.5557238268604126,1,False,161078.8894908741,close_encounter
GJ 229,40.0,1.5557238268604126,2,True,333833.48487179616,survived
GJ 229,40.0,1.5557238268604126,3,True,333833.4892241756,survived
GJ 229,40.0,1.5557238268604126,4,False,52163.786561491725,close_encounter
GJ 229,30.0,2.0000000000000004,0,True,333833.4916749323,survived
GJ 229,30.0,2.0000000000000004,1,True,333833.4853351277,survived
GJ 229,30.0,2.0000000000000004,2,True,333833.4907974688,survived
GJ 229,30.0,2.0000000000000004,3,True,333833.4891133377,survived
GJ 229,30.0,2.0000000000000004,4,True,333833.48564644484,survived
GJ 229,22.0,2.6694671625540143,0,True,333833.4856456588,survived
GJ 229,22.0,2.6694671625540143,1,False,2.5192151921516674,close_encounter
GJ 229,22.0,2.6694671625540143,2,False,3.8382513838469494,close_encounter
GJ 229,22.0,2.6694671625540143,3,True,333833.4936379266,survived
GJ 229,22.0,2.6694671625540143,4,True,333833.4866299871,survived
GJ 229,16.0,3.6279552785433005,0,False,229939.5693176087,close_encounter
GJ 229,16.0,3.6279552785433005,1,True,333833.4859401258,survived
GJ 229,16.0,3.6279552785433005,2,True,333833.4921739408,survived
GJ 229,16.0,3.6279552785433005,3,True,333833.4891425713,survived
GJ 229,16.0,3.6279552785433005,4,True,333833.4849232608,survived
GJ 229,12.0,4.809734344744131,0,False,4333.738521225166,close_encounter
GJ 229,12.0,4.809734344744131,1,True,333833.4852010702,survived
GJ 229,12.0,4.809734344744131,2,True,333833.4888466531,survived
GJ 229,12.0,4.809734344744131,3,False,0.08021006904843149,close_encounter
GJ 229,12.0,4.809734344744131,4,False,52.44057435597294,close_encounter
GJ 229,9.0,6.392453221499662,0,False,189659.0406377664,close_encounter
GJ 229,9.0,6.392453221499662,1,False,143424.27567614612,close_encounter
GJ 229,9.0,6.392453221499662,2,True,333833.4878385778,survived
GJ 229,9.0,6.392453221499662,3,False,2.8599669068550506,close_encounter
GJ 229,9.0,6.392453221499662,4,False,256135.41290928886,close_encounter
GJ 229,7.0,8.205509048125078,0,False,8337.980658842485,close_encounter
GJ 229,7.0,8.205509048125078,1,True,333833.4875834766,survived
GJ 229,7.0,8.205509048125078,2,True,333833.48464587395,survived
GJ 229,7.0,8.205509048125078,3,False,5391.59574238073,close_encounter
GJ 229,7.0,8.205509048125078,4,False,13601.538977419943,close_encounter
GJ 229,5.0,11.473713245669856,0,False,279.84193872401056,close_encounter
GJ 229,5.0,11.473713245669856,1,True,333833.49149840145,survived
GJ 229,5.0,11.473713245669856,2,True,333833.4872567883,survived
GJ 229,5.0,11.473713245669856,3,False,17194.604770921447,close_encounter
GJ 229,5.0,11.473713245669856,4,False,329585.6390987178,close_encounter
