system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
GJ 667 C,90.0,1.0,0,False,1496.7724364073028,close_encounter
GJ 667 C,90.0,1.0,1,False,36.19887741587852,close_encounter
GJ 667 C,90.0,1.0,2,False,1.551064371655411,close_encounter
GJ 667 C,90.0,1.0,3,False,59.631034314317645,close_encounter
GJ 667 C,90.0,1.0,4,False,1.4137200060909483,close_encounter
GJ 667 C,70.0,1.0641777724759123,0,False,5523.823744871517,close_encounter
GJ 667 C,70.0,1.0641777724759123,1,False,5423.094168420971,close_encounter
GJ 667 C,70.0,1.0641777724759123,2,False,564.4019302079563,close_encounter
GJ 667 C,70.0,1.0641777724759123,3,False,12.878513820680134,close_encounter
GJ 667 C,70.0,1.0641777724759123,4,False,6920.572317103406,close_encounter
GJ 667 C,55.0,1.220774588761456,0,False,1687.889065781173,close_encounter
GJ 667 C,55.0,1.220774588761456,1,False,2.321897191306176,close_encounter
GJ 667 C,55.0,1.220774588761456,2,False,11253.496241923292,close_encounter
GJ 667 C,55.0,1.220774588761456,3,False,0.44563330454610844,close_encounter
GJ 667 C,55.0,1.220774588761456,4,False,4346.46654385838,close_encounter
GJ 667 C,40.0,1.5557238268604126,0,False,327.11356043491475,close_encounter
GJ 667 C,40.0,1.5557238268604126,1,False,1.4872847236650515,close_encounter
GJ 667 C,40.0,1.5557238268604126,2,False,2.697343776865996,close_encounter
GJ 667 C,40.0,1.5557238268604126,3,False,1643.8695011196419,close_encounter
GJ 667 C,40.0,1.5557238268604126,4,False,32.69417185972067,close_encounter
GJ 667 C,30.0,2.0000000000000004,0,False,0.8949970009801829,close_encounter
GJ 667 C,30.0,2.0000000000000004,1,False,331.99008335234026,close_encounter
GJ 667 C,30.0,2.0000000000000004,2,False,101.74291443089093,close_encounter
GJ 667 C,30.0,2.0000000000000004,3,False,932.7468541750085,close_encounter
GJ 667 C,30.0,2.0000000000000004,4,False,574.286967286528,close_encounter
GJ 667 C,22.0,2.6694671625540143,0,True,19720.739477309857,survived
GJ 667 C,22.0,2.6694671625540143,1,False,9.58391197915874,close_encounter
GJ 667 C,22.0,2.6694671625540143,2,False,21.266282440690823,close_encounter
GJ 667 C,22.0,2.6694671625540143,3,False,1.223367852201316,close_encounter
GJ 667 C,22.0,2.6694671625540143,4,False,1594.0410839038973,close_encounter
GJ 667 C,16.0,3.6279552785433005,0,False,1661.4734029858198,close_encounter
GJ 667 C,16.0,3.6279552785433005,1,False,2.38814997114477,close_encounter
GJ 667 C,16.0,3.6279552785433005,2,False,1.4220684155182415,close_encounter
GJ 667 C,16.0,3.6279552785433005,3,False,0.5111647357513515,close_encounter
GJ 667 C,16.0,3.6279552785433005,4,False,198.38949885489436,close_encounter
GJ 667 C,12.0,4.809734344744131,0,False,19.71438439338699,close_encounter
GJ 667 C,12.0,4.809734344744131,1,False,114.97027592551976,close_encounter
GJ 667 C,12.0,4.809734344744131,2,False,2.8120744654308427,close_encounter
GJ 667 C,12.0,4.809734344744131,3,False,30.942963148027204,close_encounter
GJ 667 C,12.0,4.809734344744131,4,False,4107.6573186201995,close_encounter
GJ 667 C,9.0,6.392453221499662,0,False,45.23738131064988,close_encounter
GJ 667 C,9.0,6.392453221499662,1,False,22.184646219875162,close_encounter
GJ 667 C,9.0,6.392453221499662,2,False,5.455736904855785,close_encounter
GJ 667 C,9.0,6.392453221499662,3,False,5.662982777188991,close_encounter
GJ 667 C,9.0,6.392453221499662,4,False,2.463898030503381,close_encounter
GJ 667 C,7.0,8.205509048125078,0,False,2.8757398708718847,close_encounter
GJ 667 C,7.0,8.205509048125078,1,False,86.09308145224003,close_encounter
GJ 667 C,7.0,8.205509048125078,2,False,4.376525914037502,close_encounter
GJ 667 C,7.0,8.205509048125078,3,False,14.02622885363613,close_encounter
GJ 667 C,7.0,8.205509048125078,4,False,0.2121561928435558,close_encounter
GJ 667 C,5.0,11.473713245669856,0,False,19.840219508976293,close_encounter
GJ 667 C,5.0,11.473713245669856,1,False,2.628484982265934,close_encounter
GJ 667 C,5.0,11.473713245669856,2,False,87.60881834332632,close_encounter
GJ 667 C,5.0,11.473713245669856,3,False,1.7754628555545444,close_encounter
GJ 667 C,5.0,11.473713245669856,4,False,14.499273668896139,close_encounter
