system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
HD 142,90.0,1.0,0,True,296928.1140623558,survived
HD 142,90.0,1.0,1,True,296928.1150876844,survived
HD 142,90.0,1.0,2,True,296928.10661528213,survived
HD 142,90.0,1.0,3,True,296928.10968837456,survived
HD 142,90.0,1.0,4,True,296928.1103840848,survived
HD 142,70.0,1.0641777724759123,0,True,296928.10857796343,survived
HD 142,70.0,1.0641777724759123,1,True,296928.11017271166,survived
HD 142,70.0,1.0641777724759123,2,True,296928.1146112672,survived
HD 142,70.0,1.0641777724759123,3,True,296928.11394221,survived
HD 142,70.0,1.0641777724759123,4,True,296928.1094284303,survived
HD 142,55.0,1.220774588761456,0,True,296928.1071074174,survived
HD 142,55.0,1.220774588761456,1,True,296928.10481421085,survived
HD 142,55.0,1.220774588761456,2,True,296928.1101008656,survived
HD 142,55.0,1.220774588761456,3,True,296928.10584983404,survived
HD 142,55.0,1.220774588761456,4,True,296928.1113800506,survived
HD 142,40.0,1.5557238268604126,0,True,296928.10893526993,survived
HD 142,40.0,1.5557238268604126,1,True,296928.1143516056,survived
HD 142,40.0,1.5557238268604126,2,True,296928.1159671007,survived
HD 142,40.0,1.5557238268604126,3,True,296928.1105039523,survived
HD 142,40.0,1.5557238268604126,4,True,296928.10663950944,survived
HD 142,30.0,2.0000000000000004,0,True,296928.1092988253,survived
HD 142,30.0,2.0000000000000004,1,True,296928.1131280451,survived
HD 142,30.0,2.0000000000000004,2,True,296928.1073875255,survived
HD 142,30.0,2.0000000000000004,3,True,296928.114779115,survived
HD 142,30.0,2.0000000000000004,4,True,296928.1108779764,survived
HD 142,22.0,2.6694671625540143,0,True,296928.11417542293,survived
HD 142,22.0,2.6694671625540143,1,True,296928.1112885578,survived
HD 142,22.0,2.6694671625540143,2,True,296928.1048433908,survived
HD 142,22.0,2.6694671625540143,3,True,296928.1097446454,survived
HD 142,22.0,2.6694671625540143,4,True,296928.10558855056,survived
HD 142,16.0,3.6279552785433005,0,True,296928.10592551855,survived
HD 142,16.0,3.6279552785433005,1,True,296928.1118322381,survived
HD 142,16.0,3.6279552785433005,2,True,296928.1151281133,survived
HD 142,16.0,3.6279552785433005,3,True,296928.11209291086,survived
HD 142,16.0,3.6279552785433005,4,True,296928.11032894294,survived
HD 142,12.0,4.809734344744131,0,True,296928.10443813103,survived
HD 142,12.0,4.809734344744131,1,True,296928.1090827947,survived
HD 142,12.0,4.809734344744131,2,True,296928.1053805051,survived
HD 142,12.0,4.809734344744131,3,True,296928.1041964372,survived
HD 142,12.0,4.809734344744131,4,True,296928.11048919446,survived
HD 142,9.0,6.392453221499662,0,True,296928.11391035444,survived
HD 142,9.0,6.392453221499662,1,True,296928.1114642584,survived
HD 142,9.0,6.392453221499662,2,True,296928.10406379955,survived
HD 142,9.0,6.392453221499662,3,True,296928.10509579984,survived
HD 142,9.0,6.392453221499662,4,True,296928.1100759251,survived
HD 142,7.0,8.205509048125078,0,True,296928.11689919094,survived
HD 142,7.0,8.205509048125078,1,True,296928.1053058887,survived
HD 142,7.0,8.205509048125078,2,True,296928.11580258154,survived
HD 142,7.0,8.205509048125078,3,True,296928.1121786107,survived
HD 142,7.0,8.205509048125078,4,True,296928.1120080885,survived
HD 142,5.0,11.473713245669856,0,False,52812.2110731648,close_encounter
HD 142,5.0,11.473713245669856,1,True,296928.10939870164,survived
HD 142,5.0,11.473713245669856,2,True,296928.113797122,survived
HD 142,5.0,11.473713245669856,3,True,296928.1055110369,survived
HD 142,5.0,11.473713245669856,4,True,296928.11137565254,survived
