system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
HIP 111909,90.0,1.0,0,True,1333552.3712318568,survived
HIP 111909,90.0,1.0,1,True,1333552.3681867067,survived
HIP 111909,90.0,1.0,2,True,1333552.3745164422,survived
HIP 111909,90.0,1.0,3,True,1333552.4219773544,survived
HIP 111909,90.0,1.0,4,True,1333552.4131727456,survived
HIP 111909,70.0,1.0641777724759123,0,True,1333552.3631073649,survived
HIP 111909,70.0,1.0641777724759123,1,True,1333552.370348349,survived
HIP 111909,70.0,1.0641777724759123,2,True,1333552.3793858478,survived
HIP 111909,70.0,1.0641777724759123,3,True,1333552.3663114775,survived
HIP 111909,70.0,1.0641777724759123,4,True,1333552.3745955105,survived
HIP 111909,55.0,1.220774588761456,0,True,1333552.3792943326,survived
HIP 111909,55.0,1.220774588761456,1,True,1333552.3705182124,survived
HIP 111909,55.0,1.220774588761456,2,True,1333552.3696831977,survived
HIP 111909,55.0,1.220774588761456,3,True,1333552.3855348772,survived
HIP 111909,55.0,1.220774588761456,4,True,1333552.4150217476,survived
HIP 111909,40.0,1.5557238268604126,0,True,1333552.3912415851,survived
HIP 111909,40.0,1.5557238268604126,1,True,1333552.367214186,survived
HIP 111909,40.0,1.5557238268604126,2,True,1333552.3874600155,survived
HIP 111909,40.0,1.5557238268604126,3,True,1333552.3695274463,survived
HIP 111909,40.0,1.5557238268604126,4,True,1333552.3889876294,survived
HIP 111909,30.0,2.0000000000000004,0,True,1333552.370216092,survived
HIP 111909,30.0,2.0000000000000004,1,True,1333552.4277342202,survived
HIP 111909,30.0,2.0000000000000004,2,True,1333552.3943787205,survived
HIP 111909,30.0,2.0000000000000004,3,True,1333552.3908850045,survived
HIP 111909,30.0,2.0000000000000004,4,True,1333552.3650146709,survived
HIP 111909,22.0,2.6694671625540143,0,True,1333552.4264166965,survived
HIP 111909,22.0,2.6694671625540143,1,True,1333552.3680790202,survived
HIP 111909,22.0,2.6694671625540143,2,True,1333552.3999869286,survived
HIP 111909,22.0,2.6694671625540143,3,True,1333552.3618764891,survived
HIP 111909,22.0,2.6694671625540143,4,True,1333552.3990500981,survived
HIP 111909,16.0,3.6279552785433005,0,True,1333552.3717499871,survived
HIP 111909,16.0,3.6279552785433005,1,True,1333552.3665089638,survived
HIP 111909,16.0,3.6279552785433005,2,True,1333552.3675926693,survived
HIP 111909,16.0,3.6279552785433005,3,True,1333552.4199002117,survived
HIP 111909,16.0,3.6279552785433005,4,False,25033.86773633574,close_encounter
HIP 111909,12.0,4.809734344744131,0,False,59.43838758384307,close_encounter
HIP 111909,12.0,4.809734344744131,1,False,4180.709175620549,close_encounter
HIP 111909,12.0,4.809734344744131,2,False,7220.012951947703,close_encounter
HIP 111909,12.0,4.809734344744131,3,False,63.8753427304593,close_encounter
HIP 111909,12.0,4.809734344744131,4,False,198.44871211703577,close_encounter
HIP 111909,9.0,6.392453221499662,0,False,244.96796143845765,close_encounter
HIP 111909,9.0,6.392453221499662,1,False,248.34346967558375,close_encounter
HIP 111909,9.0,6.392453221499662,2,False,37.42826556977613,close_encounter
HIP 111909,9.0,6.392453221499662,3,False,36.96851403290839,close_encounter
HIP 111909,9.0,6.392453221499662,4,False,16.5951103957318,close_encounter
HIP 111909,7.0,8.205509048125078,0,False,24.20417026904181,close_encounter
HIP 111909,7.0,8.205509048125078,1,False,144.39088020645886,close_encounter
HIP 111909,7.0,8.205509048125078,2,False,15.94473421103331,close_encounter
HIP 111909,7.0,8.205509048125078,3,False,79.05350596862105,close_encounter
HIP 111909,7.0,8.205509048125078,4,False,31.902635087655984,close_encounter
HIP 111909,5.0,11.473713245669856,0,False,452.31923722073725,close_encounter
HIP 111909,5.0,11.473713245669856,1,False,50.49366702822097,close_encounter
HIP 111909,5.0,11.473713245669856,2,False,9.638312297889488,close_encounter
HIP 111909,5.0,11.473713245669856,3,False,10.398158044954304,close_encounter
HIP 111909,5.0,11.473713245669856,4,False,22.756820739027535,close_encounter
