system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
K2-18,90.0,1.0,0,True,24536.61910681058,survived
K2-18,90.0,1.0,1,True,24536.619003068106,survived
K2-18,90.0,1.0,2,True,24536.6188362089,survived
K2-18,90.0,1.0,3,True,24536.61913058301,survived
K2-18,90.0,1.0,4,True,24536.618918651464,survived
K2-18,70.0,1.0641777724759123,0,True,24536.618960521617,survived
K2-18,70.0,1.0641777724759123,1,True,24536.61907117721,survived
K2-18,70.0,1.0641777724759123,2,True,24536.618804642796,survived
K2-18,70.0,1.0641777724759123,3,True,24536.61915082964,survived
K2-18,70.0,1.0641777724759123,4,True,24536.618836068374,survived
K2-18,55.0,1.220774588761456,0,True,24536.619127703914,survived
K2-18,55.0,1.220774588761456,1,True,24536.619187395696,survived
K2-18,55.0,1.220774588761456,2,True,24536.619005907425,survived
K2-18,55.0,1.220774588761456,3,True,24536.619042453607,survived
K2-18,55.0,1.220774588761456,4,True,24536.61908097144,survived
K2-18,40.0,1.5557238268604126,0,True,24536.619089834112,survived
K2-18,40.0,1.5557238268604126,1,True,24536.618800987733,survived
K2-18,40.0,1.5557238268604126,2,True,24536.618851986874,survived
K2-18,40.0,1.5557238268604126,3,True,24536.618830255753,survived
K2-18,40.0,1.5557238268604126,4,True,24536.618983418924,survived
K2-18,30.0,2.0000000000000004,0,True,24536.619221547564,survived
K2-18,30.0,2.0000000000000004,1,True,24536.619120492887,survived
K2-18,30.0,2.0000000000000004,2,True,24536.619065621224,survived
K2-18,30.0,2.0000000000000004,3,True,24536.6190971107,survived
K2-18,30.0,2.0000000000000004,4,False,22954.24053490717,close_encounter
K2-18,22.0,2.6694671625540143,0,False,14644.159749131235,close_encounter
K2-18,22.0,2.6694671625540143,1,False,9214.091328466862,close_encounter
K2-18,22.0,2.6694671625540143,2,False,3380.002010986798,close_encounter
K2-18,22.0,2.6694671625540143,3,True,24536.618759338242,survived
K2-18,22.0,2.6694671625540143,4,True,24536.619199309007,survived
K2-18,16.0,3.6279552785433005,0,False,422.3523875312393,close_encounter
K2-18,16.0,3.6279552785433005,1,False,20445.068301691022,close_encounter
K2-18,16.0,3.6279552785433005,2,True,24536.618949944084,survived
K2-18,16.0,3.6279552785433005,3,True,24536.618830947336,survived
K2-18,16.0,3.6279552785433005,4,False,742.9750889536759,close_encounter
K2-18,12.0,4.809734344744131,0,True,24536.618790001357,survived
K2-18,12.0,4.809734344744131,1,True,24536.618824913996,survived
K2-18,12.0,4.809734344744131,2,False,1265.2115859816695,close_encounter
K2-18,12.0,4.809734344744131,3,True,24536.619006684723,survived
K2-18,12.0,4.809734344744131,4,True,24536.619188253982,survived
K2-18,9.0,6.392453221499662,0,True,24536.618885375934,survived
K2-18,9.0,6.392453221499662,1,True,24536.618836519392,survived
K2-18,9.0,6.392453221499662,2,False,4344.704241687514,escape
K2-18,9.0,6.392453221499662,3,False,162.67016442820278,close_encounter
K2-18,9.0,6.392453221499662,4,True,24536.618945266484,survived
K2-18,7.0,8.205509048125078,0,True,24536.61879289537,survived
K2-18,7.0,8.205509048125078,1,True,24536.61907315013,survived
K2-18,7.0,8.205509048125078,2,True,24536.61908033546,survived
K2-18,7.0,8.205509048125078,3,False,1205.6120381960118,close_encounter
K2-18,7.0,8.205509048125078,4,True,24536.619171429633,survived
K2-18,5.0,11.473713245669856,0,True,24536.619012271458,survived
K2-18,5.0,11.473713245669856,1,False,40.539643243777874,close_encounter
K2-18,5.0,11.473713245669856,2,True,24536.619019002712,survived
K2-18,5.0,11.473713245669856,3,False,13.638034397609385,close_encounter
K2-18,5.0,11.473713245669856,4,True,24536.619047598917,survived
