system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
Kepler-20,90.0,1.0,0,True,10119.384020554799,survived
Kepler-20,90.0,1.0,1,False,136.38913390091903,close_encounter
Kepler-20,90.0,1.0,2,False,317.0002709713926,close_encounter
Kepler-20,90.0,1.0,3,True,10119.383840070954,survived
Kepler-20,90.0,1.0,4,True,10119.384148656185,survived
Kepler-20,70.0,1.0641777724759123,0,False,539.6865562827361,close_encounter
Kepler-20,70.0,1.0641777724759123,1,True,10119.383998510146,survived
Kepler-20,70.0,1.0641777724759123,2,False,121.73385627227103,close_encounter
Kepler-20,70.0,1.0641777724759123,3,True,10119.383883134537,survived
Kepler-20,70.0,1.0641777724759123,4,False,3924.8019068997296,close_encounter
Kepler-20,55.0,1.220774588761456,0,False,2368.2659464549547,close_encounter
Kepler-20,55.0,1.220774588761456,1,False,1.4008840059781569,close_encounter
Kepler-20,55.0,1.220774588761456,2,False,4743.172560074636,close_encounter
Kepler-20,55.0,1.220774588761456,3,True,10119.383981152852,survived
Kepler-20,55.0,1.220774588761456,4,True,10119.38396024601,survived
Kepler-20,40.0,1.5557238268604126,0,False,1948.9977750784683,close_encounter
Kepler-20,40.0,1.5557238268604126,1,True,10119.384134192553,survived
Kepler-20,40.0,1.5557238268604126,2,False,4799.527472095182,close_encounter
Kepler-20,40.0,1.5557238268604126,3,False,3735.808482389307,close_encounter
Kepler-20,40.0,1.5557238268604126,4,False,350.3789081446921,close_encounter
Kepler-20,30.0,2.0000000000000004,0,False,612.0740112444656,close_encounter
Kepler-20,30.0,2.0000000000000004,1,True,10119.383818874952,survived
Kepler-20,30.0,2.0000000000000004,2,False,3758.969887968489,close_encounter
Kepler-20,30.0,2.0000000000000004,3,False,1360.5710984757902,close_encounter
Kepler-20,30.0,2.0000000000000004,4,False,1802.3771248818443,close_encounter
Kepler-20,22.0,2.6694671625540143,0,False,20.856847004461454,close_encounter
Kepler-20,22.0,2.6694671625540143,1,False,8.601681443460377,close_encounter
Kepler-20,22.0,2.6694671625540143,2,True,10119.383867578128,survived
Kepler-20,22.0,2.6694671625540143,3,False,3.271393095363316,close_encounter
Kepler-20,22.0,2.6694671625540143,4,True,10119.38414255625,survived
Kepler-20,16.0,3.6279552785433005,0,False,5972.121994103273,close_encounter
Kepler-20,16.0,3.6279552785433005,1,True,10119.384111919764,survived
Kepler-20,16.0,3.6279552785433005,2,False,30.027241345954245,close_encounter
Kepler-20,16.0,3.6279552785433005,3,False,75.87207407188805,close_encounter
Kepler-20,16.0,3.6279552785433005,4,False,1808.7643491912927,close_encounter
Kepler-20,12.0,4.809734344744131,0,False,307.26690902178797,close_encounter
Kepler-20,12.0,4.809734344744131,1,False,29.48297236360265,close_encounter
Kepler-20,12.0,4.809734344744131,2,False,635.3667183090678,close_encounter
Kepler-20,12.0,4.809734344744131,3,False,812.618346007155,close_encounter
Kepler-20,12.0,4.809734344744131,4,False,759.2947352090779,close_encounter
Kepler-20,9.0,6.392453221499662,0,False,38.55605671118338,close_encounter
Kepler-20,9.0,6.392453221499662,1,False,513.0921828864791,close_encounter
Kepler-20,9.0,6.392453221499662,2,False,31.536092183535242,close_encounter
Kepler-20,9.0,6.392453221499662,3,False,15.158689752574983,close_encounter
Kepler-20,9.0,6.392453221499662,4,False,13.535215441630143,close_encounter
Kepler-20,7.0,8.205509048125078,0,False,1576.5626128539006,close_encounter
Kepler-20,7.0,8.205509048125078,1,True,10119.384115769206,survived
Kepler-20,7.0,8.205509048125078,2,False,2399.315283168167,close_encounter
Kepler-20,7.0,8.205509048125078,3,False,34.82126561243049,close_encounter
Kepler-20,7.0,8.205509048125078,4,False,33.36839886474162,close_encounter
Kepler-20,5.0,11.473713245669856,0,False,71.22862782796226,close_encounter
Kepler-20,5.0,11.473713245669856,1,False,200.51796224461268,close_encounter
Kepler-20,5.0,11.473713245669856,2,False,240.14067254777012,close_encounter
Kepler-20,5.0,11.473713245669856,3,False,588.8239363632431,close_encounter
Kepler-20,5.0,11.473713245669856,4,False,266.53304791914536,close_encounter
