system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
L 98-59,90.0,1.0,0,True,6168.690031231818,survived
L 98-59,90.0,1.0,1,True,6168.690046984206,survived
L 98-59,90.0,1.0,2,True,6168.6901505996775,survived
L 98-59,90.0,1.0,3,True,6168.690185650892,survived
L 98-59,90.0,1.0,4,True,6168.690141382025,survived
L 98-59,70.0,1.0641777724759123,0,True,6168.6899600182915,survived
L 98-59,70.0,1.0641777724759123,1,True,6168.69000772761,survived
L 98-59,70.0,1.0641777724759123,2,True,6168.690207339773,survived
L 98-59,70.0,1.0641777724759123,3,True,6168.689977828623,survived
L 98-59,70.0,1.0641777724759123,4,True,6168.690077913257,survived
L 98-59,55.0,1.220774588761456,0,True,6168.690176960706,survived
L 98-59,55.0,1.220774588761456,1,True,6168.690154968093,survived
L 98-59,55.0,1.220774588761456,2,True,6168.690119330628,survived
L 98-59,55.0,1.220774588761456,3,True,6168.68998195355,survived
L 98-59,55.0,1.220774588761456,4,True,6168.690118539393,survived
L 98-59,40.0,1.5557238268604126,0,True,6168.6899956269845,survived
L 98-59,40.0,1.5557238268604126,1,True,6168.689939809187,survived
L 98-59,40.0,1.5557238268604126,2,True,6168.690008173789,survived
L 98-59,40.0,1.5557238268604126,3,True,6168.690034027391,survived
L 98-59,40.0,1.5557238268604126,4,True,6168.690085302848,survived
L 98-59,30.0,2.0000000000000004,0,True,6168.69019103225,survived
L 98-59,30.0,2.0000000000000004,1,True,6168.689946048383,survived
L 98-59,30.0,2.0000000000000004,2,True,6168.690203379951,survived
L 98-59,30.0,2.0000000000000004,3,True,6168.690202537588,survived
L 98-59,30.0,2.0000000000000004,4,True,6168.6900709383635,survived
L 98-59,22.0,2.6694671625540143,0,True,6168.690121080357,survived
L 98-59,22.0,2.6694671625540143,1,True,6168.69004999238,survived
L 98-59,22.0,2.6694671625540143,2,True,6168.690005520985,survived
L 98-59,22.0,2.6694671625540143,3,True,6168.690145085518,survived
L 98-59,22.0,2.6694671625540143,4,True,6168.690083154622,survived
L 98-59,16.0,3.6279552785433005,0,True,6168.690134385176,survived
L 98-59,16.0,3.6279552785433005,1,True,6168.69020290629,survived
L 98-59,16.0,3.6279552785433005,2,True,6168.690077336187,survived
L 98-59,16.0,3.6279552785433005,3,True,6168.690140214639,survived
L 98-59,16.0,3.6279552785433005,4,True,6168.690220888066,survived
L 98-59,12.0,4.809734344744131,0,True,6168.690056522142,survived
L 98-59,12.0,4.809734344744131,1,True,6168.690200834099,survived
L 98-59,12.0,4.809734344744131,2,True,6168.690120371845,survived
L 98-59,12.0,4.809734344744131,3,True,6168.690206846557,survived
L 98-59,12.0,4.809734344744131,4,True,6168.690166820611,survived
L 98-59,9.0,6.392453221499662,0,False,1252.6288576702634,close_encounter
L 98-59,9.0,6.392453221499662,1,True,6168.690061598171,survived
L 98-59,9.0,6.392453221499662,2,True,6168.690191166633,survived
L 98-59,9.0,6.392453221499662,3,True,6168.690174958786,survived
L 98-59,9.0,6.392453221499662,4,True,6168.690042394522,survived
L 98-59,7.0,8.205509048125078,0,True,6168.689940528562,survived
L 98-59,7.0,8.205509048125078,1,True,6168.6901381009575,survived
L 98-59,7.0,8.205509048125078,2,False,1658.845738550821,close_encounter
L 98-59,7.0,8.205509048125078,3,True,6168.68993863668,survived
L 98-59,7.0,8.205509048125078,4,False,3697.48336604434,close_encounter
L 98-59,5.0,11.473713245669856,0,True,6168.690090341401,survived
L 98-59,5.0,11.473713245669856,1,False,1154.4686035318064,close_encounter
L 98-59,5.0,11.473713245669856,2,True,6168.69001155523,survived
L 98-59,5.0,11.473713245669856,3,True,6168.689996120185,survived
L 98-59,5.0,11.473713245669856,4,False,1410.3149315906273,close_encounter
