system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
rho CrB,90.0,1.0,0,True,35329.22784361717,survived
rho CrB,90.0,1.0,1,True,35329.22781165274,survived
rho CrB,90.0,1.0,2,True,35329.226589756516,survived
rho CrB,90.0,1.0,3,True,35329.22734077973,survived
rho CrB,90.0,1.0,4,True,35329.22785455584,survived
rho CrB,70.0,1.0641777724759123,0,True,35329.226835985086,survived
rho CrB,70.0,1.0641777724759123,1,True,35329.22666323069,survived
rho CrB,70.0,1.0641777724759123,2,True,35329.22716609828,survived
rho CrB,70.0,1.0641777724759123,3,True,35329.22724749666,survived
rho CrB,70.0,1.0641777724759123,4,True,35329.2278991858,survived
rho CrB,55.0,1.220774588761456,0,True,35329.22756174209,survived
rho CrB,55.0,1.220774588761456,1,True,35329.22754511438,survived
rho CrB,55.0,1.220774588761456,2,True,35329.226990081705,survived
rho CrB,55.0,1.220774588761456,3,True,35329.2278000874,survived
rho CrB,55.0,1.220774588761456,4,True,35329.22719446193,survived
rho CrB,40.0,1.5557238268604126,0,True,35329.22712683823,survived
rho CrB,40.0,1.5557238268604126,1,True,35329.22699734508,survived
rho CrB,40.0,1.5557238268604126,2,True,35329.22673175117,survived
rho CrB,40.0,1.5557238268604126,3,True,35329.22821310821,survived
rho CrB,40.0,1.5557238268604126,4,True,35329.22806212384,survived
rho CrB,30.0,2.0000000000000004,0,True,35329.227939095355,survived
rho CrB,30.0,2.0000000000000004,1,True,35329.226896649896,survived
rho CrB,30.0,2.0000000000000004,2,True,35329.22736947436,survived
rho CrB,30.0,2.0000000000000004,3,True,35329.22719861204,survived
rho CrB,30.0,2.0000000000000004,4,True,35329.22696870506,survived
rho CrB,22.0,2.6694671625540143,0,True,35329.22798222739,survived
rho CrB,22.0,2.6694671625540143,1,True,35329.227205885225,survived
rho CrB,22.0,2.6694671625540143,2,True,35329.227770725236,survived
rho CrB,22.0,2.6694671625540143,3,True,35329.22745023484,survived
rho CrB,22.0,2.6694671625540143,4,True,35329.227287240006,survived
rho CrB,16.0,3.6279552785433005,0,True,35329.22731041738,survived
rho CrB,16.0,3.6279552785433005,1,True,35329.227183661504,survived
rho CrB,16.0,3.6279552785433005,2,True,35329.2270256547,survived
rho CrB,16.0,3.6279552785433005,3,True,35329.22716283958,survived
rho CrB,16.0,3.6279552785433005,4,True,35329.22750238547,survived
rho CrB,12.0,4.809734344744131,0,True,35329.227247334034,survived
rho CrB,12.0,4.809734344744131,1,True,35329.22659183475,survived
rho CrB,12.0,4.809734344744131,2,True,35329.22659328227,survived
rho CrB,12.0,4.809734344744131,3,True,35329.22716822818,survived
rho CrB,12.0,4.809734344744131,4,True,35329.22661056582,survived
rho CrB,9.0,6.392453221499662,0,True,35329.227419759496,survived
rho CrB,9.0,6.392453221499662,1,True,35329.22804314335,survived
rho CrB,9.0,6.392453221499662,2,True,35329.227230720455,survived
rho CrB,9.0,6.392453221499662,3,True,35329.22789532897,survived
rho CrB,9.0,6.392453221499662,4,True,35329.22667831865,survived
rho CrB,7.0,8.205509048125078,0,True,35329.227474852225,survived
rho CrB,7.0,8.205509048125078,1,True,35329.227758440284,survived
rho CrB,7.0,8.205509048125078,2,True,35329.227591898365,survived
rho CrB,7.0,8.205509048125078,3,True,35329.22697248708,survived
rho CrB,7.0,8.205509048125078,4,True,35329.22781563288,survived
rho CrB,5.0,11.473713245669856,0,True,35329.22724046171,survived
rho CrB,5.0,11.473713245669856,1,True,35329.22722580107,survived
rho CrB,5.0,11.473713245669856,2,True,35329.22721010951,survived
rho CrB,5.0,11.473713245669856,3,True,35329.22665385794,survived
rho CrB,5.0,11.473713245669856,4,True,35329.22760629313,survived
