system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
TOI-1062,90.0,1.0,0,True,11260.671111982056,survived
TOI-1062,90.0,1.0,1,True,11260.670972294904,survived
TOI-1062,90.0,1.0,2,True,11260.670882540904,survived
TOI-1062,90.0,1.0,3,True,11260.670850695693,survived
TOI-1062,90.0,1.0,4,True,11260.67077553598,survived
TOI-1062,70.0,1.0641777724759123,0,True,11260.671065177577,survived
TOI-1062,70.0,1.0641777724759123,1,False,3034.58785416257,close_encounter
TOI-1062,70.0,1.0641777724759123,2,True,11260.670793713414,survived
TOI-1062,70.0,1.0641777724759123,3,False,182.67019709354034,close_encounter
TOI-1062,70.0,1.0641777724759123,4,True,11260.6711367406,survived
TOI-1062,55.0,1.220774588761456,0,True,11260.670854361371,survived
TOI-1062,55.0,1.220774588761456,1,True,11260.670959045567,survived
TOI-1062,55.0,1.220774588761456,2,True,11260.671003009325,survived
TOI-1062,55.0,1.220774588761456,3,True,11260.671213586256,survived
TOI-1062,55.0,1.220774588761456,4,True,11260.671002379637,survived
TOI-1062,40.0,1.5557238268604126,0,True,11260.671049905362,survived
TOI-1062,40.0,1.5557238268604126,1,True,11260.67100394085,survived
TOI-1062,40.0,1.5557238268604126,2,True,11260.671203356489,survived
TOI-1062,40.0,1.5557238268604126,3,True,11260.670891314876,survived
TOI-1062,40.0,1.5557238268604126,4,True,11260.670956760106,survived
TOI-1062,30.0,2.0000000000000004,0,True,11260.67107814329,survived
TOI-1062,30.0,2.0000000000000004,1,True,11260.67115591055,survived
TOI-1062,30.0,2.0000000000000004,2,True,11260.671130524133,survived
TOI-1062,30.0,2.0000000000000004,3,True,11260.670926092724,survived
TOI-1062,30.0,2.0000000000000004,4,True,11260.6708412298,survived
TOI-1062,22.0,2.6694671625540143,0,True,11260.670835866493,survived
TOI-1062,22.0,2.6694671625540143,1,True,11260.670955246396,survived
TOI-1062,22.0,2.6694671625540143,2,True,11260.670905998868,survived
TOI-1062,22.0,2.6694671625540143,3,True,11260.670934620071,survived
TOI-1062,22.0,2.6694671625540143,4,True,11260.67082520276,survived
TOI-1062,16.0,3.6279552785433005,0,True,11260.671197623673,survived
TOI-1062,16.0,3.6279552785433005,1,True,11260.670785194547,survived
TOI-1062,16.0,3.6279552785433005,2,True,11260.670923082098,survived
TOI-1062,16.0,3.6279552785433005,3,True,11260.671258514198,survived
TOI-1062,16.0,3.6279552785433005,4,True,11260.670879705614,survived
TOI-1062,12.0,4.809734344744131,0,True,11260.670976323861,survived
TOI-1062,12.0,4.809734344744131,1,True,11260.671202152487,survived
TOI-1062,12.0,4.809734344744131,2,True,11260.670861023662,survived
TOI-1062,12.0,4.809734344744131,3,True,11260.670901414316,survived
TOI-1062,12.0,4.809734344744131,4,True,11260.67098631012,survived
TOI-1062,9.0,6.392453221499662,0,True,11260.671077779492,survived
TOI-1062,9.0,6.392453221499662,1,True,11260.671217348458,survived
TOI-1062,9.0,6.392453221499662,2,True,11260.670839628845,survived
TOI-1062,9.0,6.392453221499662,3,True,11260.670957828199,survived
TOI-1062,9.0,6.392453221499662,4,True,11260.671079201595,survived
TOI-1062,7.0,8.205509048125078,0,True,11260.671027002363,survived
TOI-1062,7.0,8.205509048125078,1,True,11260.671061069905,survived
TOI-1062,7.0,8.205509048125078,2,True,11260.670916125178,survived
TOI-1062,7.0,8.205509048125078,3,True,11260.67095136128,survived
TOI-1062,7.0,8.205509048125078,4,False,7267.038699464978,close_encounter
TOI-1062,5.0,11.473713245669856,0,True,11260.67113085997,survived
TOI-1062,5.0,11.473713245669856,1,True,11260.671021187949,survived
TOI-1062,5.0,11.473713245669856,2,True,11260.670848306603,survived
TOI-1062,5.0,11.473713245669856,3,True,11260.671015094607,survived
TOI-1062,5.0,11.473713245669856,4,True,11260.670979055429,survived
