system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
Wolf 1061,90.0,1.0,0,True,13379.603285576342,survived
Wolf 1061,90.0,1.0,1,True,13379.603174906064,survived
Wolf 1061,90.0,1.0,2,True,13379.603204489007,survived
Wolf 1061,90.0,1.0,3,True,13379.603136185546,survived
Wolf 1061,90.0,1.0,4,True,13379.603281861146,survived
Wolf 1061,70.0,1.0641777724759123,0,True,13379.603088414253,survived
Wolf 1061,70.0,1.0641777724759123,1,True,13379.603381355833,survived
Wolf 1061,70.0,1.0641777724759123,2,True,13379.603304266857,survived
Wolf 1061,70.0,1.0641777724759123,3,True,13379.603101231978,survived
Wolf 1061,70.0,1.0641777724759123,4,True,13379.60305256059,survived
Wolf 1061,55.0,1.220774588761456,0,True,13379.6031509674,survived
Wolf 1061,55.0,1.220774588761456,1,True,13379.603181688679,survived
Wolf 1061,55.0,1.220774588761456,2,True,13379.603136276202,survived
Wolf 1061,55.0,1.220774588761456,3,True,13379.603193442055,survived
Wolf 1061,55.0,1.220774588761456,4,True,13379.603246256613,survived
Wolf 1061,40.0,1.5557238268604126,0,True,13379.603139586457,survived
Wolf 1061,40.0,1.5557238268604126,1,True,13379.60312357466,survived
Wolf 1061,40.0,1.5557238268604126,2,True,13379.603496576965,survived
Wolf 1061,40.0,1.5557238268604126,3,True,13379.603379070748,survived
Wolf 1061,40.0,1.5557238268604126,4,True,13379.603038370858,survived
Wolf 1061,30.0,2.0000000000000004,0,True,13379.603513187318,survived
Wolf 1061,30.0,2.0000000000000004,1,True,13379.603298562175,survived
Wolf 1061,30.0,2.0000000000000004,2,True,13379.603226799261,survived
Wolf 1061,30.0,2.0000000000000004,3,True,13379.60305224942,survived
Wolf 1061,30.0,2.0000000000000004,4,True,13379.60333047579,survived
Wolf 1061,22.0,2.6694671625540143,0,True,13379.603140842524,survived
Wolf 1061,22.0,2.6694671625540143,1,True,13379.603104961217,survived
Wolf 1061,22.0,2.6694671625540143,2,True,13379.603092985188,survived
Wolf 1061,22.0,2.6694671625540143,3,True,13379.603391851615,survived
Wolf 1061,22.0,2.6694671625540143,4,True,13379.603457013509,survived
Wolf 1061,16.0,3.6279552785433005,0,True,13379.603287371456,survived
Wolf 1061,16.0,3.6279552785433005,1,True,13379.603181404123,survived
Wolf 1061,16.0,3.6279552785433005,2,True,13379.603221262141,survived
Wolf 1061,16.0,3.6279552785433005,3,True,13379.60343665359,survived
Wolf 1061,16.0,3.6279552785433005,4,True,13379.60323426628,survived
Wolf 1061,12.0,4.809734344744131,0,True,13379.603307510552,survived
Wolf 1061,12.0,4.809734344744131,1,True,13379.603590966586,survived
Wolf 1061,12.0,4.809734344744131,2,True,13379.603530972638,survived
Wolf 1061,12.0,4.809734344744131,3,True,13379.603242893447,survived
Wolf 1061,12.0,4.809734344744131,4,True,13379.603166882276,survived
Wolf 1061,9.0,6.392453221499662,0,True,13379.603454636053,survived
Wolf 1061,9.0,6.392453221499662,1,True,13379.603478159817,survived
Wolf 1061,9.0,6.392453221499662,2,True,13379.60326715347,survived
Wolf 1061,9.0,6.392453221499662,3,False,2329.5585316653605,close_encounter
Wolf 1061,9.0,6.392453221499662,4,True,13379.603070502519,survived
Wolf 1061,7.0,8.205509048125078,0,True,13379.603253795301,survived
Wolf 1061,7.0,8.205509048125078,1,True,13379.603142833801,survived
Wolf 1061,7.0,8.205509048125078,2,True,13379.603460948858,survived
Wolf 1061,7.0,8.205509048125078,3,True,13379.603142643333,survived
Wolf 1061,7.0,8.205509048125078,4,True,13379.60323088992,survived
Wolf 1061,5.0,11.473713245669856,0,False,7725.276885211371,close_encounter
Wolf 1061,5.0,11.473713245669856,1,True,13379.603054937972,survived
Wolf 1061,5.0,11.473713245669856,2,True,13379.603449153747,survived
Wolf 1061,5.0,11.473713245669856,3,True,13379.60331669165,survived
Wolf 1061,5.0,11.473713245669856,4,False,10157.171177930795,close_encounter
