system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
YZ Cet,90.0,1.0,0,True,5532.840707253447,survived
YZ Cet,90.0,1.0,1,False,1598.6588162961702,close_encounter
YZ Cet,90.0,1.0,2,True,5532.8407022385245,survived
YZ Cet,90.0,1.0,3,True,5532.84074045073,survived
YZ Cet,90.0,1.0,4,True,5532.840631999143,survived
YZ Cet,70.0,1.0641777724759123,0,True,5532.8406997834445,survived
YZ Cet,70.0,1.0641777724759123,1,True,5532.840777524513,survived
YZ Cet,70.0,1.0641777724759123,2,True,5532.840544997633,survived
YZ Cet,70.0,1.0641777724759123,3,True,5532.840717456412,survived
YZ Cet,70.0,1.0641777724759123,4,True,5532.8405816084505,survived
YZ Cet,55.0,1.220774588761456,0,False,436.0827390576926,close_encounter
YZ Cet,55.0,1.220774588761456,1,False,1196.6712729755345,close_encounter
YZ Cet,55.0,1.220774588761456,2,True,5532.84055000334,survived
YZ Cet,55.0,1.220774588761456,3,False,1000.9923904448655,close_encounter
YZ Cet,55.0,1.220774588761456,4,True,5532.840552156177,survived
YZ Cet,40.0,1.5557238268604126,0,False,1152.476444776036,close_encounter
YZ Cet,40.0,1.5557238268604126,1,True,5532.840748195774,survived
YZ Cet,40.0,1.5557238268604126,2,True,5532.84060085691,survived
YZ Cet,40.0,1.5557238268604126,3,True,5532.840521792632,survived
YZ Cet,40.0,1.5557238268604126,4,True,5532.840754705231,survived
YZ Cet,30.0,2.0000000000000004,0,False,802.8928797995161,close_encounter
YZ Cet,30.0,2.0000000000000004,1,True,5532.840664293854,survived
YZ Cet,30.0,2.0000000000000004,2,True,5532.840619058433,survived
YZ Cet,30.0,2.0000000000000004,3,True,5532.840683435818,survived
YZ Cet,30.0,2.0000000000000004,4,False,5139.131875975096,close_encounter
YZ Cet,22.0,2.6694671625540143,0,True,5532.840697041684,survived
YZ Cet,22.0,2.6694671625540143,1,False,4902.102524404258,close_encounter
YZ Cet,22.0,2.6694671625540143,2,True,5532.840696501716,survived
YZ Cet,22.0,2.6694671625540143,3,False,451.9233028723781,close_encounter
YZ Cet,22.0,2.6694671625540143,4,False,55.051820205613794,close_encounter
YZ Cet,16.0,3.6279552785433005,0,False,1861.6846285218005,close_encounter
YZ Cet,16.0,3.6279552785433005,1,True,5532.840679876303,survived
YZ Cet,16.0,3.6279552785433005,2,True,5532.840642475594,survived
YZ Cet,16.0,3.6279552785433005,3,True,5532.8405738148995,survived
YZ Cet,16.0,3.6279552785433005,4,True,5532.840779915985,survived
YZ Cet,12.0,4.809734344744131,0,False,54.24756423646618,close_encounter
YZ Cet,12.0,4.809734344744131,1,False,313.65460980981754,close_encounter
YZ Cet,12.0,4.809734344744131,2,False,303.9401901517554,close_encounter
YZ Cet,12.0,4.809734344744131,3,False,3322.0001352997706,close_encounter
YZ Cet,12.0,4.809734344744131,4,True,5532.840541488686,survived
YZ Cet,9.0,6.392453221499662,0,True,5532.840574961942,survived
YZ Cet,9.0,6.392453221499662,1,True,5532.840673493156,survived
YZ Cet,9.0,6.392453221499662,2,False,95.41911198486534,close_encounter
YZ Cet,9.0,6.392453221499662,3,False,8.159174731527047,close_encounter
YZ Cet,9.0,6.392453221499662,4,False,1761.6843450313831,close_encounter
YZ Cet,7.0,8.205509048125078,0,False,194.49754684578105,close_encounter
YZ Cet,7.0,8.205509048125078,1,True,5532.8407802867605,survived
YZ Cet,7.0,8.205509048125078,2,False,659.148225431017,close_encounter
YZ Cet,7.0,8.205509048125078,3,True,5532.840732855955,survived
YZ Cet,7.0,8.205509048125078,4,False,4911.746560795096,close_encounter
YZ Cet,5.0,11.473713245669856,0,False,143.40615004493685,close_encounter
YZ Cet,5.0,11.473713245669856,1,False,74.36726652074995,close_encounter
YZ Cet,5.0,11.473713245669856,2,False,1.552340035018725,close_encounter
YZ Cet,5.0,11.473713245669856,3,False,112.97734521363873,close_encounter
YZ Cet,5.0,11.473713245669856,4,False,15.345517518434091,close_encounter
