system,planet,msini_mjup,swept,ceiling_factor,mass_ceiling_mjup,inc_floor_deg,t_max_yr
TYC 1422-614-1,TYC 1422-614-1 b,2.5,True,2.6694671625540143,6.6736679063850355,22.0,54318.97719315629
TYC 1422-614-1,TYC 1422-614-1 c,10.0,True,2.6694671625540143,26.694671625540142,22.0,54318.97719315629
HIP 57274,HIP 57274 b,10.57,False,1.0,,90.0,2227.2970013603954
HIP 57274,HIP 57274 c,0.40902369,True,1.0,0.40902369,90.0,2227.2970013603954
HIP 57274,HIP 57274 d,0.5267,True,1.0,0.5267,90.0,2227.2970013603954
HD 147873,HD 147873 b,5.14,True,6.392453221499662,32.85720955850826,9.0,31922.24676343057
HD 147873,HD 147873 c,2.3,True,6.392453221499662,14.702642409449222,9.0,31922.24676343057
HD 95089,HD 95089 b,1.26,True,4.809734344744131,6.060265274377604,12.000000000000002,127145.81113287531
HD 95089,HD 95089 c,3.45,True,4.809734344744131,16.59358348936725,12.000000000000002,127145.81113287531
47 UMa,47 UMa b,2.53,True,4.809734344744131,12.16862789220265,12.000000000000002,295140.3557166463
47 UMa,47 UMa c,0.54,True,4.809734344744131,2.5972565461618307,12.000000000000002,295140.3557166463
47 UMa,47 UMa d,1.64,True,4.809734344744131,7.887964325380374,12.000000000000002,295140.3557166463
HD 94890,HD 94890 b,2.13,True,4.809734344744131,10.244734154304998,12.000000000000002,225765.9567719961
HD 94890,HD 94890 c,8.91,True,4.809734344744131,42.854733011670206,12.000000000000002,225765.9567719961
HIP 65407,HIP 65407 b,0.428,True,6.392453221499662,2.7359699788018554,9.0,7700.205609916014
HIP 65407,HIP 65407 c,0.784,True,6.392453221499662,5.011683325655735,9.0,7700.205609916014
HD 96700,HD 96700 b,0.02800253,True,8.205509048125078,0.22977501328539396,7.0,2224.3674535215955
HD 96700,HD 96700 c,0.01101223,True,8.205509048125078,0.09036095290503443,7.0,2224.3674535215955
HD 96700,HD 96700 d,0.03995867,True,8.205509048125078,0.32788122823604415,7.0,2224.3674535215955
HD 142,HD 142 A d,0.26,True,,,,29692.816222284982
HD 142,HD 142 b,7.1,False,,,,29692.816222284982
HD 142,HD 142 c,10.901,False,,,,29692.816222284982
GJ 229,GJ 229 A c,0.027,True,,,,33383.35271970911
GJ 229,GJ 229 b,0.047,True,,,,33383.35271970911
HIP 111909,HIP 111909 b,1.21,True,4.809734344744131,5.819778557140398,12.000000000000002,133355.23614570792
HIP 111909,HIP 111909 c,0.81,True,4.809734344744131,3.895884819242746,12.000000000000002,133355.23614570792
61 Vir,61 Vir b,0.016,True,,,,1154.0043863555866
61 Vir,61 Vir c,0.057,True,,,,1154.0043863555866
61 Vir,61 Vir d,0.072,True,,,,1154.0043863555866
HD 141399,HD 141399 b,0.451,True,11.473713245669856,5.174644673797105,5.0,25856.27281312731
HD 141399,HD 141399 c,1.33,True,11.473713245669856,15.260038616740909,5.0,25856.27281312731
HD 141399,HD 141399 d,1.18,True,11.473713245669856,13.53898162989043,5.0,25856.27281312731
