system,planet,msini_mjup,swept,edge_on_survival,ceiling_factor,m95_factor,mass_ceiling_mjup,mass_95_mjup,inc_floor_deg,t_max_yr
Barnard's star,Barnard d,0.00082749,True,0.35,1.220774588761456,1.778720354038379,0.0010101787644542172,0.0014718733057632182,55.0,64071.184413074734
Barnard's star,Barnard b,0.00094076,True,0.35,1.220774588761456,1.778720354038379,0.0011484559021232275,0.0016733489602651455,55.0,64071.184413074734
Barnard's star,Barnard c,0.00105403,True,0.35,1.220774588761456,1.778720354038379,0.0012867330397922376,0.0018748246147670727,55.0,64071.184413074734
Barnard's star,Barnard e,0.00060725,True,0.35,1.220774588761456,1.778720354038379,0.0007413153690253942,0.0010801279349898056,55.0,64071.184413074734
HD 147873,HD 147873 b,5.14,True,1.0,4.283657569731186,2.3625152744489126,22.017999908418293,12.143328510667411,13.5,3192224.5150516955
HD 147873,HD 147873 c,2.3,True,1.0,4.283657569731186,2.3625152744489126,9.852412410381726,5.433785131232499,13.5,3192224.5150516955
HD 141399,HD 141399 b,0.451,True,0.7,6.765469075058578,2.6574911308893667,3.051226552851419,1.1985285000311043,8.5,2585626.2953091883
HD 141399,HD 141399 c,1.33,True,0.7,6.765469075058578,2.6574911308893667,8.998073869827909,3.534463204082858,8.5,2585626.2953091883
HD 141399,HD 141399 d,1.18,True,0.7,6.765469075058578,2.6574911308893667,7.983253508569122,3.1358395344494525,8.5,2585626.2953091883
HD 141399,HD 141399 e,0.66,True,0.7,6.765469075058578,2.6574911308893667,4.465209589538662,1.753944146386982,8.5,2585626.2953091883
GJ 887,GJ 887 e,0.00459367,True,0.95,3.0715534867572423,2.393003703942158,0.014109703105512142,0.010992669324687974,19.0,121147.16007823752
GJ 887,GJ 887 b,0.01227077,True,0.95,3.0715534867572423,2.393003703942158,0.03769032637869617,0.029363998060222316,19.0,121147.16007823752
GJ 887,GJ 887 c,0.02045129,True,0.95,3.0715534867572423,2.393003703942158,0.06281723110818352,0.04894001272039522,19.0,121147.16007823752
GJ 887,GJ 887 d,0.01919275,True,0.95,3.0715534867572423,2.393003703942158,0.058951558182960065,0.045928321838835856,19.0,121147.16007823752
HD 28471,HD 28471 b,0.01170443,True,0.95,3.0715534867572423,2.3992546193890103,0.03595078277700607,0.028081907744815313,19.0,86650.23991148676
HD 28471,HD 28471 c,0.01799713,True,0.95,3.0715534867572423,2.3992546193890103,0.05527914740312337,0.04317969728824454,19.0,86650.23991148676
HD 28471,HD 28471 d,0.01544859,True,0.95,3.0715534867572423,2.3992546193890103,0.04745117047998307,0.03706510092054687,19.0,86650.23991148676
HD 125612,HD 125612 c,0.049,True,1.0,11.473713245669856,2.6839859433367956,0.562211949037823,0.131515311223503,5.0,113748.39203459652
HD 125612,HD 125612 b,2.974,True,1.0,11.473713245669856,2.6839859433367956,34.12282319262216,7.982174195483631,5.0,113748.39203459652
HD 125612,HD 125612 d,7.178,False,1.0,11.473713245669856,2.6839859433367956,,,5.0,113748.39203459652
HD 33142,HD 33142 d,0.2,True,1.0,4.283657569731186,2.5289502963504176,0.8567315139462371,0.5057900592700836,13.5,2461327.869847897
HD 33142,HD 33142 b,1.26,True,1.0,4.283657569731186,2.5289502963504176,5.397408537861294,3.186477373401526,13.5,2461327.869847897
HD 33142,HD 33142 c,0.89,True,1.0,4.283657569731186,2.5289502963504176,3.8124552370607554,2.250765763751872,13.5,2461327.869847897
HD 48948,HD 48948 b,0.0153542,True,0.7,5.015851736254642,2.5142319410837266,0.07701439072880102,0.038604020069787755,11.499999999999998,200961.80798160413
HD 48948,HD 48948 c,0.02287398,True,0.7,5.015851736254642,2.5142319410837266,0.11473249229805395,0.057510491135710336,11.499999999999998,200961.80798160413
HD 48948,HD 48948 d,0.03331987,True,0.7,5.015851736254642,2.5142319410837266,0.16712752779127896,0.08377388142675743,11.499999999999998,200961.80798160413
HD 95089,HD 95089 b,1.26,True,0.9,1.8870799147998585,2.174653126997566,2.377720692647822,2.740062940016933,32.0,12714579.115933746
HD 95089,HD 95089 c,3.45,True,0.9,1.8870799147998585,2.174653126997566,6.510425706059512,7.502553288141603,32.0,12714579.115933746
HD 50499,HD 50499 b,1.636,True,0.9,6.765469075058578,2.7589382646795926,11.068307406795833,4.513623001015813,8.5,66997946.84685973
HD 50499,HD 50499 c,2.93,True,0.9,6.765469075058578,2.7589382646795926,19.822824389921635,8.083689115511207,8.5,66997946.84685973
HD 94890,HD 94890 b,2.13,True,1.0,5.758770483143634,2.6662306254910395,12.266181129095939,5.679071232295914,10.0,22576591.470820095
HD 94890,HD 94890 c,8.91,True,1.0,5.758770483143634,2.6662306254910395,51.31064500480978,23.756114873125163,10.0,22576591.470820095
HD 60532,HD 60532 b,1.06,True,1.0,9.566772233505626,3.0048733490978945,10.140778567515964,3.1851657500437685,6.000000000000001,5527720.757578097
HD 60532,HD 60532 c,2.51,True,1.0,9.566772233505626,3.0048733490978945,24.012598306099118,7.542232106235715,6.000000000000001,5527720.757578097
HIP 65407,HIP 65407 b,0.428,True,0.9,4.283657569731186,2.4313149104333047,1.8334054398449473,1.0406027816654544,13.5,770020.537668482
HIP 65407,HIP 65407 c,0.784,True,0.9,4.283657569731186,2.4313149104333047,3.3583875346692498,1.906150889779711,13.5,770020.537668482
HD 96700,HD 96700 b,0.02800253,True,0.65,3.6279552785433005,2.840909090909092,0.10159192652606713,0.07955264204545458,16.0,222436.68808997812
HD 96700,HD 96700 c,0.01101223,True,0.65,3.6279552785433005,2.840909090909092,0.03995187795703289,0.03128474431818183,16.0,222436.68808997812
HD 96700,HD 96700 d,0.03995867,True,0.65,3.6279552785433005,2.840909090909092,0.14496826775006982,0.11351894886363642,16.0,222436.68808997812
YZ Cet,YZ Cet b,0.00220245,True,0.6,3.0715534867572423,2.1884942649549557,0.006764942976908488,0.004820049193850042,19.0,55328.40546690435
YZ Cet,YZ Cet c,0.00358684,True,0.6,3.0715534867572423,2.1884942649549557,0.011017170908440347,0.007849778769311033,19.0,55328.40546690435
YZ Cet,YZ Cet d,0.00342952,True,0.6,3.0715534867572423,2.1884942649549557,0.010533954113903697,0.00750548485154832,19.0,55328.40546690435
L 98-59,L 98-59 b,0.00144732,False,1.0,5.758770483143634,2.8302418916180323,,,10.0,61686.89968468846
L 98-59,L 98-59 c,0.0062927,False,1.0,5.758770483143634,2.8302418916180323,,,10.0,61686.89968468846
L 98-59,L 98-59 d,0.00516002,False,1.0,5.758770483143634,2.8302418916180323,,,10.0,61686.89968468846
L 98-59,L 98-59 e,0.00887271,True,1.0,5.758770483143634,2.8302418916180323,0.051095900453493354,0.025111915534178235,10.0,61686.89968468846
L 98-59,L 98-59 f,0.00880979,True,1.0,5.758770483143634,2.8302418916180323,0.050733558614693954,0.024933836714357623,10.0,61686.89968468846
