system,planet,msini_mjup,swept,edge_on_survival,ceiling_factor,m95_factor,mass_ceiling_mjup,mass_95_mjup,inc_floor_deg,t_max_yr
TYC 1422-614-1,TYC 1422-614-1 b,2.5,True,1.0,3.0715534867572423,2.077266593342076,7.678883716893106,5.19316648335519,19.0,54318.98578476026
TYC 1422-614-1,TYC 1422-614-1 c,10.0,True,1.0,3.0715534867572423,2.077266593342076,30.715534867572423,20.77266593342076,19.0,54318.98578476026
47 UMa,47 UMa b,2.53,True,0.6,3.6279552785433005,2.3506648179478695,9.178726854714549,5.94718198940811,16.0,295140.4519763501
47 UMa,47 UMa c,0.54,True,0.6,3.6279552785433005,2.3506648179478695,1.9590958504133824,1.2693590016918497,16.0,295140.4519763501
47 UMa,47 UMa d,1.64,True,0.6,3.6279552785433005,2.3506648179478695,5.949846656811013,3.855090301434506,16.0,295140.4519763501
Barnard's star,Barnard d,0.00082749,True,0.7,2.2026892645852665,2.109499265385533,0.0018227033395516621,0.0017455895471138747,27.000000000000004,640.7121388846183
Barnard's star,Barnard b,0.00094076,True,0.7,2.2026892645852665,2.109499265385533,0.0020722019525512354,0.0019845325289040944,27.000000000000004,640.7121388846183
Barnard's star,Barnard c,0.00105403,True,0.7,2.2026892645852665,2.109499265385533,0.0023217005655508088,0.0022234755106943136,27.000000000000004,640.7121388846183
Barnard's star,Barnard e,0.00060725,True,0.7,2.2026892645852665,2.109499265385533,0.0013375830559194033,0.001280993428905365,27.000000000000004,640.7121388846183
HD 95089,HD 95089 b,1.26,True,1.0,5.015851736254642,2.393003703942158,6.319973187680849,3.0151846669671194,11.499999999999998,127145.85201690992
HD 95089,HD 95089 c,3.45,True,1.0,5.015851736254642,2.393003703942158,17.304688490078515,8.255862778600445,11.499999999999998,127145.85201690992
HIP 57274,HIP 57274 b,10.57,False,0.55,,3.3179269174408272,,,,2227.2973288820976
HIP 57274,HIP 57274 c,0.40902369,True,0.55,,3.3179269174408272,,1.3571107109219724,,2227.2973288820976
HIP 57274,HIP 57274 d,0.5267,True,0.55,,3.3179269174408272,,1.7475521074160836,,2227.2973288820976
