system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
61 Vir,90.0,1.0,0,False,1007.1914304661464,close_encounter
61 Vir,90.0,1.0,1,True,1154.0043343268837,survived
61 Vir,90.0,1.0,2,True,1154.0041610844871,survived
61 Vir,90.0,1.0,3,True,1154.0044197537184,survived
61 Vir,90.0,1.0,4,True,1154.0042553036142,survived
61 Vir,90.0,1.0,5,True,1154.0044951313373,survived
61 Vir,90.0,1.0,6,True,1154.0044900851178,survived
61 Vir,90.0,1.0,7,True,1154.0045073044585,survived
61 Vir,90.0,1.0,8,True,1154.0044198345472,survived
61 Vir,90.0,1.0,9,True,1154.0042408670822,survived
61 Vir,90.0,1.0,10,True,1154.0045317726256,survived
61 Vir,90.0,1.0,11,True,1154.0042888431226,survived
61 Vir,90.0,1.0,12,True,1154.0044862748482,survived
61 Vir,90.0,1.0,13,True,1154.00426524552,survived
61 Vir,90.0,1.0,14,True,1154.0045233948342,survived
61 Vir,90.0,1.0,15,True,1154.0041512974738,survived
61 Vir,90.0,1.0,16,True,1154.0045815888514,survived
61 Vir,90.0,1.0,17,True,1154.0044818195593,survived
61 Vir,90.0,1.0,18,True,1154.004326317735,survived
61 Vir,90.0,1.0,19,True,1154.0041874303852,survived
61 Vir,70.0,1.0641777724759123,0,True,1154.0043168992286,survived
61 Vir,70.0,1.0641777724759123,1,True,1154.0041072261406,survived
61 Vir,70.0,1.0641777724759123,2,True,1154.0042990911106,survived
61 Vir,70.0,1.0641777724759123,3,True,1154.0046413006737,survived
61 Vir,70.0,1.0641777724759123,4,True,1154.0044749087244,survived
61 Vir,70.0,1.0641777724759123,5,True,1154.0041129690408,survived
61 Vir,70.0,1.0641777724759123,6,True,1154.0044571799722,survived
61 Vir,70.0,1.0641777724759123,7,False,0.7850290541396059,close_encounter
61 Vir,70.0,1.0641777724759123,8,True,1154.0043195385979,survived
61 Vir,70.0,1.0641777724759123,9,True,1154.004127007218,survived
61 Vir,70.0,1.0641777724759123,10,True,1154.0041874961032,survived
61 Vir,70.0,1.0641777724759123,11,True,1154.004199992296,survived
61 Vir,70.0,1.0641777724759123,12,True,1154.0042331453546,survived
61 Vir,70.0,1.0641777724759123,13,False,2.5130776168743747,close_encounter
61 Vir,70.0,1.0641777724759123,14,True,1154.0042406106516,survived
61 Vir,70.0,1.0641777724759123,15,True,1154.0044864348374,survived
61 Vir,70.0,1.0641777724759123,16,True,1154.0043104938209,survived
61 Vir,70.0,1.0641777724759123,17,True,1154.0043602507772,survived
61 Vir,70.0,1.0641777724759123,18,True,1154.004526965703,survived
61 Vir,70.0,1.0641777724759123,19,True,1154.0041697946183,survived
61 Vir,55.0,1.220774588761456,0,True,1154.004249712352,survived
61 Vir,55.0,1.220774588761456,1,True,1154.0045093709757,survived
61 Vir,55.0,1.220774588761456,2,True,1154.0045961887688,survived
61 Vir,55.0,1.220774588761456,3,False,18.058573619949904,close_encounter
61 Vir,55.0,1.220774588761456,4,False,77.95203481586205,close_encounter
61 Vir,55.0,1.220774588761456,5,True,1154.004416442685,survived
61 Vir,55.0,1.220774588761456,6,True,1154.0045449134398,survived
61 Vir,55.0,1.220774588761456,7,True,1154.0044624278335,survived
61 Vir,55.0,1.220774588761456,8,True,1154.004653035244,survived
61 Vir,55.0,1.220774588761456,9,True,1154.004460280781,survived
61 Vir,55.0,1.220774588761456,10,True,1154.0044006532619,survived
61 Vir,55.0,1.220774588761456,11,True,1154.0041497514069,survived
61 Vir,55.0,1.220774588761456,12,True,1154.0044595310362,survived
61 Vir,55.0,1.220774588761456,13,False,691.7312355250982,close_encounter
61 Vir,55.0,1.220774588761456,14,True,1154.0042083749906,survived
61 Vir,55.0,1.220774588761456,15,True,1154.0044325215154,survived
61 Vir,55.0,1.220774588761456,16,True,1154.0044647899022,survived
61 Vir,55.0,1.220774588761456,17,True,1154.004158460251,survived
61 Vir,55.0,1.220774588761456,18,True,1154.0041839251146,survived
61 Vir,55.0,1.220774588761456,19,True,1154.0043056483325,survived
61 Vir,45.0,1.4142135623730951,0,True,1154.00424235525,survived
61 Vir,45.0,1.4142135623730951,1,True,1154.0045804234373,survived
61 Vir,45.0,1.4142135623730951,2,True,1154.0041712964608,survived
61 Vir,45.0,1.4142135623730951,3,True,1154.0042216590705,survived
61 Vir,45.0,1.4142135623730951,4,True,1154.0042479672609,survived
61 Vir,45.0,1.4142135623730951,5,True,1154.0043926895116,survived
61 Vir,45.0,1.4142135623730951,6,True,1154.0044210253952,survived
61 Vir,45.0,1.4142135623730951,7,True,1154.004241999586,survived
61 Vir,45.0,1.4142135623730951,8,True,1154.0043566706813,survived
61 Vir,45.0,1.4142135623730951,9,True,1154.0046140071986,survived
61 Vir,45.0,1.4142135623730951,10,True,1154.004173558277,survived
61 Vir,45.0,1.4142135623730951,11,True,1154.0044646141005,survived
61 Vir,45.0,1.4142135623730951,12,True,1154.0041097608944,survived
61 Vir,45.0,1.4142135623730951,13,True,1154.00432842442,survived
61 Vir,45.0,1.4142135623730951,14,True,1154.0043152680635,survived
61 Vir,45.0,1.4142135623730951,15,True,1154.0041459205215,survived
61 Vir,45.0,1.4142135623730951,16,True,1154.004523532946,survived
61 Vir,45.0,1.4142135623730951,17,True,1154.004311524959,survived
61 Vir,45.0,1.4142135623730951,18,True,1154.0044721912384,survived
61 Vir,45.0,1.4142135623730951,19,True,1154.004445505083,survived
61 Vir,38.0,1.624269245482744,0,True,1154.0041138249437,survived
61 Vir,38.0,1.624269245482744,1,True,1154.0043782276755,survived
61 Vir,38.0,1.624269245482744,2,True,1154.0044184167355,survived
61 Vir,38.0,1.624269245482744,3,True,1154.0041325832524,survived
61 Vir,38.0,1.624269245482744,4,True,1154.004591372731,survived
61 Vir,38.0,1.624269245482744,5,True,1154.0044002673508,survived
61 Vir,38.0,1.624269245482744,6,True,1154.0043969051635,survived
61 Vir,38.0,1.624269245482744,7,True,1154.004145177188,survived
61 Vir,38.0,1.624269245482744,8,True,1154.0044609764784,survived
61 Vir,38.0,1.624269245482744,9,True,1154.0044484026607,survived
61 Vir,38.0,1.624269245482744,10,False,0.6367097211317808,close_encounter
61 Vir,38.0,1.624269245482744,11,True,1154.0042062929226,survived
61 Vir,38.0,1.624269245482744,12,True,1154.0044482347598,survived
61 Vir,38.0,1.624269245482744,13,True,1154.0044886536048,survived
61 Vir,38.0,1.624269245482744,14,True,1154.0041150359843,survived
