system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
75 Cet,90.0,1.0,0,True,190724.200896032,survived
75 Cet,90.0,1.0,1,True,190724.22938022617,survived
75 Cet,90.0,1.0,2,True,190724.2344759023,survived
75 Cet,90.0,1.0,3,True,190724.17878367513,survived
75 Cet,90.0,1.0,4,True,190724.21306217046,survived
75 Cet,90.0,1.0,5,True,190724.18401765492,survived
75 Cet,90.0,1.0,6,True,190724.1615673237,survived
75 Cet,90.0,1.0,7,True,190724.23958571383,survived
75 Cet,90.0,1.0,8,True,190724.18119402003,survived
75 Cet,90.0,1.0,9,True,190724.1803198921,survived
75 Cet,90.0,1.0,10,True,190724.2465868855,survived
75 Cet,90.0,1.0,11,True,190724.17702208977,survived
75 Cet,90.0,1.0,12,True,190724.24130646946,survived
75 Cet,90.0,1.0,13,True,190724.24117732607,survived
75 Cet,90.0,1.0,14,True,190724.19926687813,survived
75 Cet,90.0,1.0,15,True,190724.16965118295,survived
75 Cet,90.0,1.0,16,True,190724.21358849903,survived
75 Cet,90.0,1.0,17,True,190724.19163346905,survived
75 Cet,90.0,1.0,18,True,190724.1739605671,survived
75 Cet,90.0,1.0,19,True,190724.17952870717,survived
75 Cet,70.0,1.0641777724759123,0,True,190724.19188846298,survived
75 Cet,70.0,1.0641777724759123,1,True,190724.1852701686,survived
75 Cet,70.0,1.0641777724759123,2,True,190724.19675790667,survived
75 Cet,70.0,1.0641777724759123,3,True,190724.2063954575,survived
75 Cet,70.0,1.0641777724759123,4,True,190724.19110553653,survived
75 Cet,70.0,1.0641777724759123,5,True,190724.1932299161,survived
75 Cet,70.0,1.0641777724759123,6,True,190724.23665237907,survived
75 Cet,70.0,1.0641777724759123,7,True,190724.18014032158,survived
75 Cet,70.0,1.0641777724759123,8,True,190724.18694184817,survived
75 Cet,70.0,1.0641777724759123,9,True,190724.2011616232,survived
75 Cet,70.0,1.0641777724759123,10,True,190724.20307048986,survived
75 Cet,70.0,1.0641777724759123,11,True,190724.19522404863,survived
75 Cet,70.0,1.0641777724759123,12,True,190724.22365875338,survived
75 Cet,70.0,1.0641777724759123,13,True,190724.18143743643,survived
75 Cet,70.0,1.0641777724759123,14,True,190724.1950377964,survived
75 Cet,70.0,1.0641777724759123,15,True,190724.21646593176,survived
75 Cet,70.0,1.0641777724759123,16,True,190724.1913155264,survived
75 Cet,70.0,1.0641777724759123,17,True,190724.189757111,survived
75 Cet,70.0,1.0641777724759123,18,True,190724.23121396292,survived
75 Cet,70.0,1.0641777724759123,19,True,190724.2338904035,survived
75 Cet,55.0,1.220774588761456,0,True,190724.1882290904,survived
75 Cet,55.0,1.220774588761456,1,True,190724.19324358716,survived
