system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
DMPP-6,90.0,1.0,0,True,2081.5060924746194,survived
DMPP-6,90.0,1.0,1,True,2081.5059327073313,survived
DMPP-6,90.0,1.0,2,True,2081.5058657728414,survived
DMPP-6,90.0,1.0,3,True,2081.5062429181767,survived
DMPP-6,90.0,1.0,4,True,2081.505954366968,survived
DMPP-6,90.0,1.0,5,True,2081.506402491604,survived
DMPP-6,90.0,1.0,6,True,2081.5058863485697,survived
DMPP-6,90.0,1.0,7,True,2081.5062069151745,survived
DMPP-6,90.0,1.0,8,True,2081.5062349971113,survived
DMPP-6,90.0,1.0,9,True,2081.5063442365313,survived
DMPP-6,90.0,1.0,10,True,2081.5062781534198,survived
DMPP-6,90.0,1.0,11,True,2081.505836691699,survived
DMPP-6,90.0,1.0,12,True,2081.506200272006,survived
DMPP-6,90.0,1.0,13,True,2081.506531618893,survived
DMPP-6,90.0,1.0,14,True,2081.506134826646,survived
DMPP-6,90.0,1.0,15,True,2081.5061359972533,survived
DMPP-6,90.0,1.0,16,True,2081.506272472801,survived
DMPP-6,90.0,1.0,17,True,2081.506171886414,survived
DMPP-6,90.0,1.0,18,True,2081.5058415254,survived
DMPP-6,90.0,1.0,19,True,2081.5059387686997,survived
DMPP-6,70.0,1.0641777724759123,0,True,2081.5058676203635,survived
DMPP-6,70.0,1.0641777724759123,1,True,2081.5062053521287,survived
DMPP-6,70.0,1.0641777724759123,2,True,2081.506379190788,survived
DMPP-6,70.0,1.0641777724759123,3,True,2081.506012878798,survived
DMPP-6,70.0,1.0641777724759123,4,True,2081.506108561246,survived
DMPP-6,70.0,1.0641777724759123,5,True,2081.505898742192,survived
DMPP-6,70.0,1.0641777724759123,6,True,2081.505842712892,survived
DMPP-6,70.0,1.0641777724759123,7,True,2081.5063205221118,survived
DMPP-6,70.0,1.0641777724759123,8,True,2081.5058806304296,survived
DMPP-6,70.0,1.0641777724759123,9,True,2081.5062562987314,survived
DMPP-6,70.0,1.0641777724759123,10,True,2081.5058863026034,survived
DMPP-6,70.0,1.0641777724759123,11,True,2081.5060957921282,survived
DMPP-6,70.0,1.0641777724759123,12,True,2081.5062283869734,survived
DMPP-6,70.0,1.0641777724759123,13,True,2081.5059804069597,survived
DMPP-6,70.0,1.0641777724759123,14,True,2081.5065683581856,survived
DMPP-6,70.0,1.0641777724759123,15,True,2081.5063690065454,survived
DMPP-6,70.0,1.0641777724759123,16,True,2081.5059202520056,survived
DMPP-6,70.0,1.0641777724759123,17,True,2081.5060467664716,survived
DMPP-6,70.0,1.0641777724759123,18,True,2081.5063780369437,survived
DMPP-6,70.0,1.0641777724759123,19,True,2081.5059097898197,survived
DMPP-6,55.0,1.220774588761456,0,True,2081.506536378688,survived
DMPP-6,55.0,1.220774588761456,1,True,2081.506198968866,survived
DMPP-6,55.0,1.220774588761456,2,True,2081.5059215542456,survived
DMPP-6,55.0,1.220774588761456,3,True,2081.505912480914,survived
DMPP-6,55.0,1.220774588761456,4,True,2081.505823815995,survived
DMPP-6,55.0,1.220774588761456,5,True,2081.50587801462,survived
DMPP-6,55.0,1.220774588761456,6,True,2081.506303875171,survived
DMPP-6,55.0,1.220774588761456,7,True,2081.5059497248853,survived
DMPP-6,55.0,1.220774588761456,8,True,2081.5061946959627,survived
DMPP-6,55.0,1.220774588761456,9,True,2081.5059757001727,survived
DMPP-6,55.0,1.220774588761456,10,True,2081.5060359840804,survived
DMPP-6,55.0,1.220774588761456,11,True,2081.5058575000403,survived
DMPP-6,55.0,1.220774588761456,12,True,2081.5063019615786,survived
DMPP-6,55.0,1.220774588761456,13,True,2081.5060658052107,survived
DMPP-6,55.0,1.220774588761456,14,True,2081.5060426516175,survived
DMPP-6,55.0,1.220774588761456,15,True,2081.505993554333,survived
DMPP-6,55.0,1.220774588761456,16,True,2081.506193437938,survived
DMPP-6,55.0,1.220774588761456,17,True,2081.506210872393,survived
DMPP-6,55.0,1.220774588761456,18,True,2081.5058290630836,survived
DMPP-6,55.0,1.220774588761456,19,True,2081.505904793347,survived
DMPP-6,45.0,1.4142135623730951,0,True,2081.5062199173362,survived
DMPP-6,45.0,1.4142135623730951,1,True,2081.5059523646996,survived
DMPP-6,45.0,1.4142135623730951,2,True,2081.505874885776,survived
DMPP-6,45.0,1.4142135623730951,3,True,2081.506058026779,survived
DMPP-6,45.0,1.4142135623730951,4,True,2081.506028480126,survived
DMPP-6,45.0,1.4142135623730951,5,True,2081.505914675644,survived
DMPP-6,45.0,1.4142135623730951,6,True,2081.5058789306954,survived
DMPP-6,45.0,1.4142135623730951,7,True,2081.5060336070487,survived
DMPP-6,45.0,1.4142135623730951,8,True,2081.5059712936113,survived
DMPP-6,45.0,1.4142135623730951,9,True,2081.506035530337,survived
DMPP-6,45.0,1.4142135623730951,10,True,2081.5059853732305,survived
DMPP-6,45.0,1.4142135623730951,11,True,2081.505925278662,survived
DMPP-6,45.0,1.4142135623730951,12,True,2081.5061628640156,survived
DMPP-6,45.0,1.4142135623730951,13,True,2081.5064067043672,survived
DMPP-6,45.0,1.4142135623730951,14,True,2081.5058324202278,survived
DMPP-6,45.0,1.4142135623730951,15,True,2081.5060421244116,survived
DMPP-6,45.0,1.4142135623730951,16,True,2081.5058902373703,survived
DMPP-6,45.0,1.4142135623730951,17,True,2081.5061057452754,survived
DMPP-6,45.0,1.4142135623730951,18,True,2081.5060077883177,survived
DMPP-6,45.0,1.4142135623730951,19,True,2081.506152580005,survived
DMPP-6,38.0,1.624269245482744,0,True,2081.5058350298805,survived
DMPP-6,38.0,1.624269245482744,1,True,2081.5058402764967,survived
DMPP-6,38.0,1.624269245482744,2,True,2081.505842363631,survived
DMPP-6,38.0,1.624269245482744,3,True,2081.506146382571,survived
DMPP-6,38.0,1.624269245482744,4,True,2081.5058727512255,survived
DMPP-6,38.0,1.624269245482744,5,True,2081.506245630001,survived
DMPP-6,38.0,1.624269245482744,6,True,2081.5059845968176,survived
DMPP-6,38.0,1.624269245482744,7,True,2081.506265749866,survived
DMPP-6,38.0,1.624269245482744,8,True,2081.5064135960615,survived
DMPP-6,38.0,1.624269245482744,9,True,2081.5058579520837,survived
DMPP-6,38.0,1.624269245482744,10,True,2081.5062392154477,survived
DMPP-6,38.0,1.624269245482744,11,True,2081.5062754901423,survived
DMPP-6,38.0,1.624269245482744,12,True,2081.506291494237,survived
DMPP-6,38.0,1.624269245482744,13,True,2081.506176081734,survived
DMPP-6,38.0,1.624269245482744,14,True,2081.5059664189416,survived
DMPP-6,38.0,1.624269245482744,15,True,2081.5061989432343,survived
DMPP-6,38.0,1.624269245482744,16,True,2081.5062174711366,survived
DMPP-6,38.0,1.624269245482744,17,True,2081.506051313024,survived
DMPP-6,38.0,1.624269245482744,18,True,2081.506170847106,survived
DMPP-6,38.0,1.624269245482744,19,True,2081.506116614522,survived
DMPP-6,32.0,1.8870799147998585,0,True,2081.5064055183107,survived
DMPP-6,32.0,1.8870799147998585,1,True,2081.5065300756114,survived
DMPP-6,32.0,1.8870799147998585,2,True,2081.5063292753152,survived
DMPP-6,32.0,1.8870799147998585,3,True,2081.505877072878,survived
DMPP-6,32.0,1.8870799147998585,4,True,2081.505952849032,survived
DMPP-6,32.0,1.8870799147998585,5,True,2081.506032507589,survived
DMPP-6,32.0,1.8870799147998585,6,True,2081.5064802179027,survived
DMPP-6,32.0,1.8870799147998585,7,True,2081.5060252406834,survived
DMPP-6,32.0,1.8870799147998585,8,True,2081.50582451076,survived
DMPP-6,32.0,1.8870799147998585,9,True,2081.50614419317,survived
DMPP-6,32.0,1.8870799147998585,10,True,2081.5060838120107,survived
DMPP-6,32.0,1.8870799147998585,11,True,2081.506136344987,survived
DMPP-6,32.0,1.8870799147998585,12,True,2081.505974686009,survived
DMPP-6,32.0,1.8870799147998585,13,True,2081.506329991982,survived
DMPP-6,32.0,1.8870799147998585,14,True,2081.5060265975712,survived
DMPP-6,32.0,1.8870799147998585,15,True,2081.5062084564456,survived
DMPP-6,32.0,1.8870799147998585,16,True,2081.5061056509717,survived
DMPP-6,32.0,1.8870799147998585,17,True,2081.50597022604,survived
DMPP-6,32.0,1.8870799147998585,18,True,2081.5063313187898,survived
DMPP-6,32.0,1.8870799147998585,19,True,2081.506287827667,survived
DMPP-6,27.0,2.2026892645852665,0,True,2081.50588788947,survived
DMPP-6,27.0,2.2026892645852665,1,True,2081.506051649933,survived
DMPP-6,27.0,2.2026892645852665,2,True,2081.5063176229964,survived
DMPP-6,27.0,2.2026892645852665,3,True,2081.505849332396,survived
DMPP-6,27.0,2.2026892645852665,4,True,2081.506234401644,survived
DMPP-6,27.0,2.2026892645852665,5,True,2081.506043485761,survived
DMPP-6,27.0,2.2026892645852665,6,True,2081.505836458693,survived
DMPP-6,27.0,2.2026892645852665,7,True,2081.506002209579,survived
DMPP-6,27.0,2.2026892645852665,8,True,2081.5060285850245,survived
DMPP-6,27.0,2.2026892645852665,9,True,2081.5058956871217,survived
DMPP-6,27.0,2.2026892645852665,10,True,2081.5062191130123,survived
DMPP-6,27.0,2.2026892645852665,11,True,2081.505968501103,survived
DMPP-6,27.0,2.2026892645852665,12,True,2081.506404493842,survived
DMPP-6,27.0,2.2026892645852665,13,True,2081.5060995673,survived
DMPP-6,27.0,2.2026892645852665,14,True,2081.5058383959026,survived
DMPP-6,27.0,2.2026892645852665,15,True,2081.5060081814495,survived
DMPP-6,27.0,2.2026892645852665,16,True,2081.5058580852633,survived
DMPP-6,27.0,2.2026892645852665,17,True,2081.5058285116675,survived
DMPP-6,27.0,2.2026892645852665,18,True,2081.5059780444635,survived
DMPP-6,27.0,2.2026892645852665,19,True,2081.505837895848,survived
DMPP-6,23.0,2.5593046652474523,0,True,2081.506003837967,survived
DMPP-6,23.0,2.5593046652474523,1,True,2081.505969179114,survived
DMPP-6,23.0,2.5593046652474523,2,True,2081.5061545789877,survived
DMPP-6,23.0,2.5593046652474523,3,True,2081.5059266015014,survived
DMPP-6,23.0,2.5593046652474523,4,True,2081.5061325642987,survived
DMPP-6,23.0,2.5593046652474523,5,True,2081.506065411582,survived
DMPP-6,23.0,2.5593046652474523,6,True,2081.5060850691625,survived
DMPP-6,23.0,2.5593046652474523,7,True,2081.5061570147186,survived
DMPP-6,23.0,2.5593046652474523,8,True,2081.505974918605,survived
DMPP-6,23.0,2.5593046652474523,9,True,2081.5062506052227,survived
DMPP-6,23.0,2.5593046652474523,10,True,2081.50592400815,survived
DMPP-6,23.0,2.5593046652474523,11,True,2081.506060527505,survived
