system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
HD 21693,90.0,1.0,0,True,6209.064796734443,survived
HD 21693,90.0,1.0,1,True,6209.0636129997565,survived
HD 21693,90.0,1.0,2,True,6209.064359682224,survived
HD 21693,90.0,1.0,3,True,6209.0634230117075,survived
HD 21693,90.0,1.0,4,True,6209.062495694262,survived
HD 21693,90.0,1.0,5,True,6209.063473886765,survived
HD 21693,90.0,1.0,6,True,6209.063525546195,survived
HD 21693,90.0,1.0,7,True,6209.064567069759,survived
HD 21693,90.0,1.0,8,True,6209.0631359653335,survived
HD 21693,90.0,1.0,9,True,6209.063475341294,survived
HD 21693,90.0,1.0,10,True,6209.063808650758,survived
HD 21693,90.0,1.0,11,True,6209.06342747048,survived
HD 21693,90.0,1.0,12,True,6209.0631408887975,survived
HD 21693,90.0,1.0,13,True,6209.062767923191,survived
HD 21693,90.0,1.0,14,True,6209.063923971067,survived
HD 21693,90.0,1.0,15,True,6209.063041804467,survived
HD 21693,90.0,1.0,16,True,6209.063466911502,survived
HD 21693,90.0,1.0,17,True,6209.064207304977,survived
HD 21693,90.0,1.0,18,True,6209.062413099094,survived
HD 21693,90.0,1.0,19,True,6209.0644732112305,survived
HD 21693,70.0,1.0641777724759123,0,True,6209.062989692318,survived
HD 21693,70.0,1.0641777724759123,1,True,6209.064701211794,survived
HD 21693,70.0,1.0641777724759123,2,True,6209.062691238897,survived
HD 21693,70.0,1.0641777724759123,3,True,6209.065112049293,survived
HD 21693,70.0,1.0641777724759123,4,True,6209.063442221285,survived
HD 21693,70.0,1.0641777724759123,5,True,6209.0635967747785,survived
HD 21693,70.0,1.0641777724759123,6,True,6209.063687750294,survived
HD 21693,70.0,1.0641777724759123,7,True,6209.064632840132,survived
HD 21693,70.0,1.0641777724759123,8,True,6209.064175006971,survived
HD 21693,70.0,1.0641777724759123,9,True,6209.063816501308,survived
HD 21693,70.0,1.0641777724759123,10,True,6209.063132461856,survived
HD 21693,70.0,1.0641777724759123,11,True,6209.06289150629,survived
HD 21693,70.0,1.0641777724759123,12,True,6209.064608140138,survived
HD 21693,70.0,1.0641777724759123,13,True,6209.063665574005,survived
HD 21693,70.0,1.0641777724759123,14,True,6209.062353048861,survived
HD 21693,70.0,1.0641777724759123,15,True,6209.063142717027,survived
HD 21693,70.0,1.0641777724759123,16,True,6209.063174359464,survived
HD 21693,70.0,1.0641777724759123,17,True,6209.063652678233,survived
HD 21693,70.0,1.0641777724759123,18,True,6209.065097514133,survived
HD 21693,70.0,1.0641777724759123,19,True,6209.064156106565,survived
HD 21693,55.0,1.220774588761456,0,True,6209.062500709813,survived
HD 21693,55.0,1.220774588761456,1,True,6209.063905211771,survived
HD 21693,55.0,1.220774588761456,2,True,6209.063278952027,survived
HD 21693,55.0,1.220774588761456,3,True,6209.064512868486,survived
