system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
HIP 111909,90.0,1.0,0,True,133355.29120534507,survived
HIP 111909,90.0,1.0,1,True,133355.26976894276,survived
HIP 111909,90.0,1.0,2,True,133355.27061419789,survived
HIP 111909,90.0,1.0,3,True,133355.30211223496,survived
HIP 111909,90.0,1.0,4,True,133355.2480622015,survived
HIP 111909,90.0,1.0,5,True,133355.28421580786,survived
HIP 111909,90.0,1.0,6,True,133355.2505377045,survived
HIP 111909,90.0,1.0,7,True,133355.26549274003,survived
HIP 111909,90.0,1.0,8,True,133355.28521445676,survived
HIP 111909,90.0,1.0,9,True,133355.26869760774,survived
HIP 111909,90.0,1.0,10,True,133355.27557389188,survived
HIP 111909,90.0,1.0,11,True,133355.2913939396,survived
HIP 111909,90.0,1.0,12,True,133355.30063031914,survived
HIP 111909,90.0,1.0,13,True,133355.29885231867,survived
HIP 111909,90.0,1.0,14,True,133355.23833030573,survived
HIP 111909,90.0,1.0,15,True,133355.24624044474,survived
HIP 111909,90.0,1.0,16,True,133355.24538141442,survived
HIP 111909,90.0,1.0,17,True,133355.26694121037,survived
HIP 111909,90.0,1.0,18,True,133355.2461508445,survived
HIP 111909,90.0,1.0,19,True,133355.28687622712,survived
HIP 111909,70.0,1.0641777724759123,0,True,133355.24973732026,survived
HIP 111909,70.0,1.0641777724759123,1,True,133355.29673794986,survived
HIP 111909,70.0,1.0641777724759123,2,True,133355.27103413176,survived
HIP 111909,70.0,1.0641777724759123,3,True,133355.26324197024,survived
HIP 111909,70.0,1.0641777724759123,4,True,133355.25067166454,survived
HIP 111909,70.0,1.0641777724759123,5,True,133355.2727481633,survived
HIP 111909,70.0,1.0641777724759123,6,True,133355.23917829,survived
HIP 111909,70.0,1.0641777724759123,7,True,133355.24199718793,survived
HIP 111909,70.0,1.0641777724759123,8,True,133355.25588365333,survived
HIP 111909,70.0,1.0641777724759123,9,True,133355.23892482574,survived
HIP 111909,70.0,1.0641777724759123,10,True,133355.24908459856,survived
HIP 111909,70.0,1.0641777724759123,11,True,133355.24464958068,survived
HIP 111909,70.0,1.0641777724759123,12,True,133355.25643306132,survived
HIP 111909,70.0,1.0641777724759123,13,True,133355.27846921436,survived
HIP 111909,70.0,1.0641777724759123,14,True,133355.29456957482,survived
HIP 111909,70.0,1.0641777724759123,15,True,133355.2774267551,survived
HIP 111909,70.0,1.0641777724759123,16,True,133355.2582227371,survived
HIP 111909,70.0,1.0641777724759123,17,True,133355.28179929312,survived
HIP 111909,70.0,1.0641777724759123,18,True,133355.26169534735,survived
HIP 111909,70.0,1.0641777724759123,19,True,133355.26176222792,survived
HIP 111909,55.0,1.220774588761456,0,True,133355.27144156361,survived
HIP 111909,55.0,1.220774588761456,1,True,133355.2769812192,survived
HIP 111909,55.0,1.220774588761456,2,True,133355.28373632254,survived
HIP 111909,55.0,1.220774588761456,3,True,133355.28457024938,survived
HIP 111909,55.0,1.220774588761456,4,True,133355.26147480487,survived
HIP 111909,55.0,1.220774588761456,5,True,133355.25527635755,survived
HIP 111909,55.0,1.220774588761456,6,True,133355.23947696653,survived
HIP 111909,55.0,1.220774588761456,7,True,133355.29081626292,survived
HIP 111909,55.0,1.220774588761456,8,True,133355.24520311464,survived
HIP 111909,55.0,1.220774588761456,9,True,133355.27220773476,survived
HIP 111909,55.0,1.220774588761456,10,True,133355.2382369223,survived
HIP 111909,55.0,1.220774588761456,11,True,133355.23734513164,survived
HIP 111909,55.0,1.220774588761456,12,True,133355.2418743709,survived
HIP 111909,55.0,1.220774588761456,13,True,133355.26638317702,survived
HIP 111909,55.0,1.220774588761456,14,True,133355.29238584044,survived
HIP 111909,55.0,1.220774588761456,15,True,133355.24473220043,survived
HIP 111909,55.0,1.220774588761456,16,True,133355.26721505108,survived
HIP 111909,55.0,1.220774588761456,17,True,133355.26966957664,survived
HIP 111909,55.0,1.220774588761456,18,True,133355.27073930556,survived
HIP 111909,55.0,1.220774588761456,19,True,133355.2920508347,survived
HIP 111909,45.0,1.4142135623730951,0,True,133355.28910033367,survived
HIP 111909,45.0,1.4142135623730951,1,True,133355.28479971288,survived
HIP 111909,45.0,1.4142135623730951,2,True,133355.2583830096,survived
HIP 111909,45.0,1.4142135623730951,3,True,133355.28935216172,survived
HIP 111909,45.0,1.4142135623730951,4,True,133355.25283672631,survived
HIP 111909,45.0,1.4142135623730951,5,True,133355.26066625322,survived
HIP 111909,45.0,1.4142135623730951,6,True,133355.2892348288,survived
HIP 111909,45.0,1.4142135623730951,7,True,133355.26681869946,survived
HIP 111909,45.0,1.4142135623730951,8,True,133355.29915294505,survived
HIP 111909,45.0,1.4142135623730951,9,True,133355.27890074995,survived
HIP 111909,45.0,1.4142135623730951,10,True,133355.248870188,survived
HIP 111909,45.0,1.4142135623730951,11,True,133355.24441861673,survived
HIP 111909,45.0,1.4142135623730951,12,True,133355.28787617275,survived
HIP 111909,45.0,1.4142135623730951,13,True,133355.29322450497,survived
HIP 111909,45.0,1.4142135623730951,14,True,133355.24617089462,survived
HIP 111909,45.0,1.4142135623730951,15,True,133355.25751386362,survived
HIP 111909,45.0,1.4142135623730951,16,True,133355.27123157555,survived
HIP 111909,45.0,1.4142135623730951,17,True,133355.27715591606,survived
HIP 111909,45.0,1.4142135623730951,18,True,133355.2615304652,survived
HIP 111909,45.0,1.4142135623730951,19,True,133355.26075717874,survived
HIP 111909,38.0,1.624269245482744,0,True,133355.23904580838,survived
HIP 111909,38.0,1.624269245482744,1,True,133355.24043439646,survived
HIP 111909,38.0,1.624269245482744,2,True,133355.28608354868,survived
HIP 111909,38.0,1.624269245482744,3,True,133355.29412970887,survived
HIP 111909,38.0,1.624269245482744,4,True,133355.2420402675,survived
HIP 111909,38.0,1.624269245482744,5,True,133355.27942025848,survived
HIP 111909,38.0,1.624269245482744,6,True,133355.25363972347,survived
HIP 111909,38.0,1.624269245482744,7,True,133355.2669238823,survived
HIP 111909,38.0,1.624269245482744,8,True,133355.28381989815,survived
HIP 111909,38.0,1.624269245482744,9,True,133355.25534816008,survived
HIP 111909,38.0,1.624269245482744,10,True,133355.27566033875,survived
HIP 111909,38.0,1.624269245482744,11,True,133355.2560328215,survived
HIP 111909,38.0,1.624269245482744,12,True,133355.30068530896,survived
HIP 111909,38.0,1.624269245482744,13,True,133355.2979438976,survived
HIP 111909,38.0,1.624269245482744,14,True,133355.2469938801,survived
HIP 111909,38.0,1.624269245482744,15,True,133355.27128161074,survived
HIP 111909,38.0,1.624269245482744,16,True,133355.29154768985,survived
HIP 111909,38.0,1.624269245482744,17,True,133355.29811030158,survived
HIP 111909,38.0,1.624269245482744,18,True,133355.29688078928,survived
HIP 111909,38.0,1.624269245482744,19,True,133355.29403609125,survived
HIP 111909,32.0,1.8870799147998585,0,True,133355.30176834247,survived
HIP 111909,32.0,1.8870799147998585,1,True,133355.29324005084,survived
HIP 111909,32.0,1.8870799147998585,2,True,133355.2526394919,survived
HIP 111909,32.0,1.8870799147998585,3,True,133355.27407284913,survived
HIP 111909,32.0,1.8870799147998585,4,True,133355.28634782528,survived
HIP 111909,32.0,1.8870799147998585,5,True,133355.26901650842,survived
HIP 111909,32.0,1.8870799147998585,6,True,133355.27948864808,survived
HIP 111909,32.0,1.8870799147998585,7,True,133355.2577207013,survived
HIP 111909,32.0,1.8870799147998585,8,True,133355.24047983135,survived
HIP 111909,32.0,1.8870799147998585,9,True,133355.24992938718,survived
HIP 111909,32.0,1.8870799147998585,10,True,133355.28391027398,survived
HIP 111909,32.0,1.8870799147998585,11,True,133355.25039867932,survived
HIP 111909,32.0,1.8870799147998585,12,True,133355.24451369743,survived
HIP 111909,32.0,1.8870799147998585,13,True,133355.3004756414,survived
HIP 111909,32.0,1.8870799147998585,14,True,133355.2456006842,survived
HIP 111909,32.0,1.8870799147998585,15,True,133355.2556076399,survived
HIP 111909,32.0,1.8870799147998585,16,True,133355.2875677661,survived
HIP 111909,32.0,1.8870799147998585,17,True,133355.29701013237,survived
HIP 111909,32.0,1.8870799147998585,18,True,133355.2884052105,survived
HIP 111909,32.0,1.8870799147998585,19,True,133355.2391266809,survived
HIP 111909,27.0,2.2026892645852665,0,True,133355.25378128965,survived
HIP 111909,27.0,2.2026892645852665,1,True,133355.284368417,survived
HIP 111909,27.0,2.2026892645852665,2,True,133355.28575742466,survived
HIP 111909,27.0,2.2026892645852665,3,True,133355.26454651466,survived
HIP 111909,27.0,2.2026892645852665,4,True,133355.25433204477,survived
HIP 111909,27.0,2.2026892645852665,5,True,133355.29818528568,survived
HIP 111909,27.0,2.2026892645852665,6,True,133355.26765275843,survived
HIP 111909,27.0,2.2026892645852665,7,True,133355.25252653318,survived
HIP 111909,27.0,2.2026892645852665,8,True,133355.29723657365,survived
HIP 111909,27.0,2.2026892645852665,9,True,133355.2885396573,survived
HIP 111909,27.0,2.2026892645852665,10,True,133355.29955117806,survived
HIP 111909,27.0,2.2026892645852665,11,True,133355.29668671457,survived
HIP 111909,27.0,2.2026892645852665,12,True,133355.2512161138,survived
HIP 111909,27.0,2.2026892645852665,13,True,133355.29551801097,survived
HIP 111909,27.0,2.2026892645852665,14,True,133355.2579899479,survived
HIP 111909,27.0,2.2026892645852665,15,True,133355.24304053868,survived
HIP 111909,27.0,2.2026892645852665,16,True,133355.23769562208,survived
HIP 111909,27.0,2.2026892645852665,17,True,133355.25211840545,survived
HIP 111909,27.0,2.2026892645852665,18,True,133355.25190151486,survived
HIP 111909,27.0,2.2026892645852665,19,True,133355.2488081414,survived
HIP 111909,23.0,2.5593046652474523,0,True,133355.24778683594,survived
HIP 111909,23.0,2.5593046652474523,1,False,365.4551633673685,close_encounter
HIP 111909,23.0,2.5593046652474523,2,False,5216.578328870946,close_encounter
HIP 111909,23.0,2.5593046652474523,3,True,133355.24156382846,survived
HIP 111909,23.0,2.5593046652474523,4,True,133355.292805368,survived
HIP 111909,23.0,2.5593046652474523,5,True,133355.26867189305,survived
HIP 111909,23.0,2.5593046652474523,6,True,133355.2413160919,survived
HIP 111909,23.0,2.5593046652474523,7,True,133355.27338784363,survived
HIP 111909,23.0,2.5593046652474523,8,True,133355.2741368939,survived
HIP 111909,23.0,2.5593046652474523,9,True,133355.24860191136,survived
HIP 111909,23.0,2.5593046652474523,10,False,15119.498450996842,escape
HIP 111909,23.0,2.5593046652474523,11,True,133355.28347999233,survived
HIP 111909,23.0,2.5593046652474523,12,True,133355.28991461534,survived
HIP 111909,23.0,2.5593046652474523,13,True,133355.283802128,survived
HIP 111909,23.0,2.5593046652474523,14,True,133355.27067978997,survived
HIP 111909,23.0,2.5593046652474523,15,True,133355.25960952826,survived
HIP 111909,23.0,2.5593046652474523,16,True,133355.2585019197,survived
HIP 111909,23.0,2.5593046652474523,17,True,133355.25348163064,survived
HIP 111909,23.0,2.5593046652474523,18,True,133355.26453491277,survived
HIP 111909,23.0,2.5593046652474523,19,True,133355.27359655834,survived
HIP 111909,19.0,3.0715534867572423,0,True,133355.29238860312,survived
HIP 111909,19.0,3.0715534867572423,1,True,133355.2427247345,survived
HIP 111909,19.0,3.0715534867572423,2,True,133355.29617329763,survived
HIP 111909,19.0,3.0715534867572423,3,False,5042.613206106081,close_encounter
HIP 111909,19.0,3.0715534867572423,4,True,133355.28996600866,survived
HIP 111909,19.0,3.0715534867572423,5,False,16989.929987058833,escape
HIP 111909,19.0,3.0715534867572423,6,True,133355.2789091237,survived
HIP 111909,19.0,3.0715534867572423,7,True,133355.25928677365,survived
HIP 111909,19.0,3.0715534867572423,8,True,133355.30177893816,survived
HIP 111909,19.0,3.0715534867572423,9,True,133355.25324189174,survived
HIP 111909,19.0,3.0715534867572423,10,True,133355.25093901946,survived
