system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
K2-18,90.0,1.0,0,True,2453.662003113255,survived
K2-18,90.0,1.0,1,True,2453.6621803005564,survived
K2-18,90.0,1.0,2,True,2453.662220635564,survived
K2-18,90.0,1.0,3,True,2453.661954092728,survived
K2-18,90.0,1.0,4,True,2453.6619829942492,survived
K2-18,90.0,1.0,5,True,2453.66193739734,survived
K2-18,90.0,1.0,6,True,2453.6622501542524,survived
K2-18,90.0,1.0,7,True,2453.661967112476,survived
K2-18,90.0,1.0,8,True,2453.661914341117,survived
K2-18,90.0,1.0,9,True,2453.6620634780875,survived
K2-18,90.0,1.0,10,True,2453.6622894446646,survived
K2-18,90.0,1.0,11,True,2453.6622211528247,survived
K2-18,90.0,1.0,12,True,2453.6620738144825,survived
K2-18,90.0,1.0,13,True,2453.6621140131656,survived
K2-18,90.0,1.0,14,True,2453.6619800143862,survived
K2-18,90.0,1.0,15,True,2453.6620778835954,survived
K2-18,90.0,1.0,16,True,2453.661886541148,survived
K2-18,90.0,1.0,17,True,2453.6619205795478,survived
K2-18,90.0,1.0,18,True,2453.662289958116,survived
K2-18,90.0,1.0,19,True,2453.662062258767,survived
K2-18,70.0,1.0641777724759123,0,True,2453.6621383392144,survived
K2-18,70.0,1.0641777724759123,1,True,2453.6619049540313,survived
K2-18,70.0,1.0641777724759123,2,True,2453.6623124128137,survived
K2-18,70.0,1.0641777724759123,3,True,2453.6622047312026,survived
K2-18,70.0,1.0641777724759123,4,True,2453.662074380065,survived
K2-18,70.0,1.0641777724759123,5,False,1493.9935181429046,close_encounter
K2-18,70.0,1.0641777724759123,6,True,2453.66199545767,survived
K2-18,70.0,1.0641777724759123,7,True,2453.6620985819936,survived
K2-18,70.0,1.0641777724759123,8,True,2453.6619000225123,survived
K2-18,70.0,1.0641777724759123,9,True,2453.661984116628,survived
K2-18,70.0,1.0641777724759123,10,True,2453.662087833453,survived
K2-18,70.0,1.0641777724759123,11,True,2453.662253915344,survived
K2-18,70.0,1.0641777724759123,12,True,2453.6619430685023,survived
K2-18,70.0,1.0641777724759123,13,True,2453.662124331776,survived
