system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
Kepler-68,90.0,1.0,0,True,1478.0982754436084,survived
Kepler-68,90.0,1.0,1,True,1478.0980634231187,survived
Kepler-68,90.0,1.0,2,True,1478.0983128897228,survived
Kepler-68,90.0,1.0,3,True,1478.098508016468,survived
Kepler-68,90.0,1.0,4,True,1478.098428136899,survived
Kepler-68,90.0,1.0,5,True,1478.0981326622266,survived
Kepler-68,90.0,1.0,6,True,1478.0985081200358,survived
Kepler-68,90.0,1.0,7,True,1478.0980296297678,survived
Kepler-68,90.0,1.0,8,True,1478.0979942931347,survived
Kepler-68,90.0,1.0,9,True,1478.0981830200171,survived
Kepler-68,90.0,1.0,10,True,1478.0981853379906,survived
Kepler-68,90.0,1.0,11,True,1478.0981843413028,survived
Kepler-68,90.0,1.0,12,True,1478.0984168618224,survived
Kepler-68,90.0,1.0,13,True,1478.0979653870875,survived
Kepler-68,90.0,1.0,14,True,1478.0979867593287,survived
Kepler-68,90.0,1.0,15,True,1478.0984228076127,survived
Kepler-68,90.0,1.0,16,True,1478.0979444372329,survived
Kepler-68,90.0,1.0,17,True,1478.0980408100158,survived
Kepler-68,90.0,1.0,18,True,1478.0981368572982,survived
Kepler-68,90.0,1.0,19,True,1478.0980366319423,survived
Kepler-68,70.0,1.0641777724759123,0,True,1478.0981609714747,survived
Kepler-68,70.0,1.0641777724759123,1,True,1478.0979464447223,survived
Kepler-68,70.0,1.0641777724759123,2,True,1478.0984661250968,survived
Kepler-68,70.0,1.0641777724759123,3,True,1478.09852584131,survived
Kepler-68,70.0,1.0641777724759123,4,True,1478.0981878501843,survived
Kepler-68,70.0,1.0641777724759123,5,True,1478.0984103206472,survived
Kepler-68,70.0,1.0641777724759123,6,True,1478.0985108828731,survived
Kepler-68,70.0,1.0641777724759123,7,True,1478.0980491237917,survived
Kepler-68,70.0,1.0641777724759123,8,True,1478.0982615072744,survived
Kepler-68,70.0,1.0641777724759123,9,True,1478.09823952359,survived
Kepler-68,70.0,1.0641777724759123,10,True,1478.0980267750608,survived
Kepler-68,70.0,1.0641777724759123,11,True,1478.0981113495307,survived
Kepler-68,70.0,1.0641777724759123,12,True,1478.0981371436549,survived
Kepler-68,70.0,1.0641777724759123,13,True,1478.0983914632523,survived
Kepler-68,70.0,1.0641777724759123,14,True,1478.0982594396646,survived
Kepler-68,70.0,1.0641777724759123,15,True,1478.0980876971312,survived
Kepler-68,70.0,1.0641777724759123,16,True,1478.0980978144503,survived
Kepler-68,70.0,1.0641777724759123,17,True,1478.0983031642813,survived
Kepler-68,70.0,1.0641777724759123,18,True,1478.0980554778514,survived
Kepler-68,70.0,1.0641777724759123,19,True,1478.0981240070885,survived
Kepler-68,55.0,1.220774588761456,0,True,1478.09824895265,survived
Kepler-68,55.0,1.220774588761456,1,True,1478.098161720393,survived
Kepler-68,55.0,1.220774588761456,2,True,1478.0980959939827,survived
Kepler-68,55.0,1.220774588761456,3,True,1478.0980247485018,survived
Kepler-68,55.0,1.220774588761456,4,True,1478.0985039132738,survived
Kepler-68,55.0,1.220774588761456,5,True,1478.0982238860156,survived
Kepler-68,55.0,1.220774588761456,6,True,1478.0985125880024,survived
Kepler-68,55.0,1.220774588761456,7,True,1478.0982155031427,survived
Kepler-68,55.0,1.220774588761456,8,True,1478.0980487563404,survived
Kepler-68,55.0,1.220774588761456,9,True,1478.0981901963087,survived
Kepler-68,55.0,1.220774588761456,10,True,1478.0984755373956,survived
Kepler-68,55.0,1.220774588761456,11,True,1478.0981462866393,survived
Kepler-68,55.0,1.220774588761456,12,True,1478.0981821767211,survived
Kepler-68,55.0,1.220774588761456,13,True,1478.0983005680093,survived
Kepler-68,55.0,1.220774588761456,14,True,1478.0979283375723,survived
Kepler-68,55.0,1.220774588761456,15,True,1478.0979263540976,survived
Kepler-68,55.0,1.220774588761456,16,True,1478.0981001822952,survived
Kepler-68,55.0,1.220774588761456,17,True,1478.0981535298974,survived
Kepler-68,55.0,1.220774588761456,18,True,1478.0980718271526,survived
Kepler-68,55.0,1.220774588761456,19,True,1478.0982256344673,survived
Kepler-68,45.0,1.4142135623730951,0,True,1478.0981126654988,survived
Kepler-68,45.0,1.4142135623730951,1,True,1478.0981989612515,survived
Kepler-68,45.0,1.4142135623730951,2,True,1478.0980296980645,survived
Kepler-68,45.0,1.4142135623730951,3,True,1478.098170089008,survived
Kepler-68,45.0,1.4142135623730951,4,True,1478.098541718763,survived
Kepler-68,45.0,1.4142135623730951,5,True,1478.098182974586,survived
Kepler-68,45.0,1.4142135623730951,6,True,1478.098356870577,survived
Kepler-68,45.0,1.4142135623730951,7,True,1478.0984183587782,survived
Kepler-68,45.0,1.4142135623730951,8,True,1478.0984022109253,survived
Kepler-68,45.0,1.4142135623730951,9,True,1478.098307287251,survived
Kepler-68,45.0,1.4142135623730951,10,True,1478.0984735497336,survived
Kepler-68,45.0,1.4142135623730951,11,True,1478.0980897234467,survived
Kepler-68,45.0,1.4142135623730951,12,True,1478.0980533773786,survived
Kepler-68,45.0,1.4142135623730951,13,True,1478.098220392835,survived
Kepler-68,45.0,1.4142135623730951,14,True,1478.0984051557057,survived
Kepler-68,45.0,1.4142135623730951,15,True,1478.098054067221,survived
Kepler-68,45.0,1.4142135623730951,16,True,1478.0983309715996,survived
Kepler-68,45.0,1.4142135623730951,17,True,1478.0980820949237,survived
Kepler-68,45.0,1.4142135623730951,18,True,1478.0981388580533,survived
Kepler-68,45.0,1.4142135623730951,19,True,1478.0982014530402,survived
