system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
L 98-59,90.0,1.0,0,True,616.8690944317544,survived
L 98-59,90.0,1.0,1,True,616.869123251039,survived
L 98-59,90.0,1.0,2,True,616.8691933684269,survived
L 98-59,90.0,1.0,3,True,616.869165605801,survived
L 98-59,90.0,1.0,4,True,616.8691293057087,survived
L 98-59,90.0,1.0,5,True,616.8690882720446,survived
L 98-59,90.0,1.0,6,True,616.8692683516164,survived
L 98-59,90.0,1.0,7,True,616.8691126676525,survived
L 98-59,90.0,1.0,8,True,616.8691303244917,survived
L 98-59,90.0,1.0,9,True,616.8691212159883,survived
L 98-59,90.0,1.0,10,True,616.86906499808,survived
L 98-59,90.0,1.0,11,True,616.8692616466916,survived
L 98-59,90.0,1.0,12,True,616.8692321059684,survived
L 98-59,90.0,1.0,13,True,616.8690974704291,survived
L 98-59,90.0,1.0,14,True,616.869280966388,survived
L 98-59,90.0,1.0,15,True,616.8692154400683,survived
L 98-59,90.0,1.0,16,True,616.8692244253283,survived
L 98-59,90.0,1.0,17,True,616.8692304537783,survived
L 98-59,90.0,1.0,18,True,616.8691615124592,survived
L 98-59,90.0,1.0,19,True,616.8690098473854,survived
L 98-59,70.0,1.0641777724759123,0,True,616.8692603479378,survived
L 98-59,70.0,1.0641777724759123,1,True,616.8692288734061,survived
L 98-59,70.0,1.0641777724759123,2,True,616.869165563007,survived
L 98-59,70.0,1.0641777724759123,3,True,616.8691720524736,survived
L 98-59,70.0,1.0641777724759123,4,True,616.8690369516652,survived
L 98-59,70.0,1.0641777724759123,5,True,616.8689986324033,survived
L 98-59,70.0,1.0641777724759123,6,True,616.8692210922279,survived
L 98-59,70.0,1.0641777724759123,7,True,616.8692628524556,survived
L 98-59,70.0,1.0641777724759123,8,True,616.8692279632317,survived
L 98-59,70.0,1.0641777724759123,9,True,616.8691217097162,survived
L 98-59,70.0,1.0641777724759123,10,True,616.8692524681456,survived
L 98-59,70.0,1.0641777724759123,11,True,616.8692750666453,survived
L 98-59,70.0,1.0641777724759123,12,True,616.8690654932454,survived
L 98-59,70.0,1.0641777724759123,13,True,616.869201725779,survived
L 98-59,70.0,1.0641777724759123,14,True,616.8691028567654,survived
L 98-59,70.0,1.0641777724759123,15,True,616.869181652707,survived
L 98-59,70.0,1.0641777724759123,16,True,616.8691590170697,survived
L 98-59,70.0,1.0641777724759123,17,True,616.8692697076903,survived
L 98-59,70.0,1.0641777724759123,18,True,616.8691665280729,survived
L 98-59,70.0,1.0641777724759123,19,True,616.8690464283318,survived
L 98-59,55.0,1.220774588761456,0,True,616.869017219,survived
L 98-59,55.0,1.220774588761456,1,True,616.8691319441394,survived
L 98-59,55.0,1.220774588761456,2,True,616.86901218855,survived
L 98-59,55.0,1.220774588761456,3,True,616.869226972874,survived
L 98-59,55.0,1.220774588761456,4,True,616.8690714890339,survived
L 98-59,55.0,1.220774588761456,5,True,616.8690306322449,survived
L 98-59,55.0,1.220774588761456,6,True,616.8690689650334,survived
L 98-59,55.0,1.220774588761456,7,True,616.8692495219092,survived
L 98-59,55.0,1.220774588761456,8,True,616.8692715592019,survived
L 98-59,55.0,1.220774588761456,9,True,616.8691961581611,survived
L 98-59,55.0,1.220774588761456,10,True,616.8692182178503,survived
L 98-59,55.0,1.220774588761456,11,True,616.8689996495398,survived
L 98-59,55.0,1.220774588761456,12,True,616.8692170460645,survived
L 98-59,55.0,1.220774588761456,13,True,616.8692568502705,survived
L 98-59,55.0,1.220774588761456,14,True,616.8691525081528,survived
L 98-59,55.0,1.220774588761456,15,True,616.8689950277288,survived
L 98-59,55.0,1.220774588761456,16,True,616.8691683898854,survived
L 98-59,55.0,1.220774588761456,17,True,616.8689995504382,survived
L 98-59,55.0,1.220774588761456,18,True,616.869189704819,survived
L 98-59,55.0,1.220774588761456,19,True,616.869038607913,survived
L 98-59,45.0,1.4142135623730951,0,True,616.86916817962,survived
L 98-59,45.0,1.4142135623730951,1,True,616.8691702253803,survived
L 98-59,45.0,1.4142135623730951,2,True,616.8692376079073,survived
L 98-59,45.0,1.4142135623730951,3,True,616.8691612084612,survived
L 98-59,45.0,1.4142135623730951,4,True,616.869054311252,survived
L 98-59,45.0,1.4142135623730951,5,True,616.869121894665,survived
L 98-59,45.0,1.4142135623730951,6,True,616.8691724119693,survived
L 98-59,45.0,1.4142135623730951,7,True,616.869068037025,survived
L 98-59,45.0,1.4142135623730951,8,True,616.8691376342243,survived
L 98-59,45.0,1.4142135623730951,9,True,616.8692628751779,survived
L 98-59,45.0,1.4142135623730951,10,True,616.8691220832274,survived
L 98-59,45.0,1.4142135623730951,11,True,616.8691857628339,survived
L 98-59,45.0,1.4142135623730951,12,True,616.8692575989706,survived
L 98-59,45.0,1.4142135623730951,13,True,616.8690443630259,survived
L 98-59,45.0,1.4142135623730951,14,True,616.8692466224453,survived
L 98-59,45.0,1.4142135623730951,15,True,616.8690052041813,survived
L 98-59,45.0,1.4142135623730951,16,True,616.8691841502795,survived
L 98-59,45.0,1.4142135623730951,17,True,616.8692451148102,survived
L 98-59,45.0,1.4142135623730951,18,True,616.8691325804826,survived
L 98-59,45.0,1.4142135623730951,19,True,616.8692502756362,survived
L 98-59,38.0,1.624269245482744,0,True,616.8690720863613,survived
L 98-59,38.0,1.624269245482744,1,True,616.8691825869936,survived
L 98-59,38.0,1.624269245482744,2,True,616.8691556877163,survived
L 98-59,38.0,1.624269245482744,3,True,616.8692275961588,survived
L 98-59,38.0,1.624269245482744,4,True,616.8691811921723,survived
L 98-59,38.0,1.624269245482744,5,True,616.869063766275,survived
L 98-59,38.0,1.624269245482744,6,True,616.869009346866,survived
L 98-59,38.0,1.624269245482744,7,True,616.869285730871,survived
L 98-59,38.0,1.624269245482744,8,True,616.8692818098433,survived
L 98-59,38.0,1.624269245482744,9,True,616.8690804891794,survived
L 98-59,38.0,1.624269245482744,10,True,616.8691399897453,survived
L 98-59,38.0,1.624269245482744,11,True,616.8690355690119,survived
L 98-59,38.0,1.624269245482744,12,True,616.869117000808,survived
L 98-59,38.0,1.624269245482744,13,True,616.8692764694913,survived
L 98-59,38.0,1.624269245482744,14,True,616.8692265570779,survived
L 98-59,38.0,1.624269245482744,15,True,616.8690582322456,survived
L 98-59,38.0,1.624269245482744,16,True,616.869245646823,survived
L 98-59,38.0,1.624269245482744,17,True,616.869125525975,survived
L 98-59,38.0,1.624269245482744,18,True,616.869029788601,survived
L 98-59,38.0,1.624269245482744,19,True,616.8692528513978,survived
L 98-59,32.0,1.8870799147998585,0,True,616.8690659462826,survived
L 98-59,32.0,1.8870799147998585,1,True,616.8692333360058,survived
L 98-59,32.0,1.8870799147998585,2,True,616.8691225410879,survived
L 98-59,32.0,1.8870799147998585,3,True,616.8691416320887,survived
L 98-59,32.0,1.8870799147998585,4,True,616.8692417143834,survived
L 98-59,32.0,1.8870799147998585,5,True,616.869260853448,survived
L 98-59,32.0,1.8870799147998585,6,True,616.869106914165,survived
L 98-59,32.0,1.8870799147998585,7,True,616.8691526250775,survived
L 98-59,32.0,1.8870799147998585,8,True,616.8692921738186,survived
L 98-59,32.0,1.8870799147998585,9,True,616.8690826466625,survived
L 98-59,32.0,1.8870799147998585,10,True,616.8692469353458,survived
L 98-59,32.0,1.8870799147998585,11,True,616.869108879926,survived
