system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
rho CrB,90.0,1.0,0,True,3532.9229267143633,survived
rho CrB,90.0,1.0,1,True,3532.923836621669,survived
rho CrB,90.0,1.0,2,True,3532.9235396743347,survived
rho CrB,90.0,1.0,3,True,3532.922732485506,survived
rho CrB,90.0,1.0,4,True,3532.9229565085843,survived
rho CrB,90.0,1.0,5,True,3532.9230589033127,survived
rho CrB,90.0,1.0,6,True,3532.923164946416,survived
rho CrB,90.0,1.0,7,True,3532.9226970592526,survived
rho CrB,90.0,1.0,8,True,3532.9230915865464,survived
rho CrB,90.0,1.0,9,True,3532.9226793651806,survived
rho CrB,90.0,1.0,10,True,3532.9236802815867,survived
rho CrB,90.0,1.0,11,True,3532.923870219881,survived
rho CrB,90.0,1.0,12,True,3532.923422030427,survived
rho CrB,90.0,1.0,13,True,3532.9234361304248,survived
rho CrB,90.0,1.0,14,True,3532.923375777832,survived
rho CrB,90.0,1.0,15,True,3532.923822997036,survived
rho CrB,90.0,1.0,16,True,3532.9237379010196,survived
rho CrB,90.0,1.0,17,True,3532.9237166970183,survived
rho CrB,90.0,1.0,18,True,3532.922738210435,survived
rho CrB,90.0,1.0,19,True,3532.922849705916,survived
rho CrB,70.0,1.0641777724759123,0,True,3532.9236517823356,survived
rho CrB,70.0,1.0641777724759123,1,True,3532.9231702202983,survived
rho CrB,70.0,1.0641777724759123,2,True,3532.922718371951,survived
rho CrB,70.0,1.0641777724759123,3,True,3532.9234778067844,survived
rho CrB,70.0,1.0641777724759123,4,True,3532.924067848926,survived
rho CrB,70.0,1.0641777724759123,5,True,3532.9230709153926,survived
rho CrB,70.0,1.0641777724759123,6,True,3532.923601582593,survived
rho CrB,70.0,1.0641777724759123,7,True,3532.9231160950612,survived
rho CrB,70.0,1.0641777724759123,8,True,3532.923401245713,survived
rho CrB,70.0,1.0641777724759123,9,True,3532.9235434731695,survived
rho CrB,70.0,1.0641777724759123,10,True,3532.9240189202155,survived
rho CrB,70.0,1.0641777724759123,11,True,3532.922829426387,survived
rho CrB,70.0,1.0641777724759123,12,True,3532.922687853528,survived
rho CrB,70.0,1.0641777724759123,13,True,3532.9235329377116,survived
rho CrB,70.0,1.0641777724759123,14,True,3532.9238248632996,survived
rho CrB,70.0,1.0641777724759123,15,True,3532.923735246507,survived
rho CrB,70.0,1.0641777724759123,16,True,3532.9230686821693,survived
rho CrB,70.0,1.0641777724759123,17,True,3532.9240679617656,survived
rho CrB,70.0,1.0641777724759123,18,True,3532.923045268834,survived
